prefix,year,inputs,outputs,initial_soil_water_total,final_soil_water_total,delta_soil_water_total,residual,abs_residual
p1,2,970.4444774860931,987.908455549661,443.67787804509226,378.91373789035947,-64.76414015473279,47.30016209116491,47.30016209116491
p1,3,886.6377659398838,954.4116278504362,378.91373789035947,311.1398759798076,-67.77386191055189,-4.547473508864641e-13,4.547473508864641e-13
p1,4,1133.2810899073563,986.5585610048297,311.1398759798076,520.4083953114163,209.26851933160867,-62.54599042908205,62.54599042908205
p1,5,810.4366666666667,925.5939167561114,520.4083953114163,423.4657603109879,-96.94263500042837,-18.21461508901632,18.21461508901632
p1,6,750.7,806.0204061867145,423.4657603109879,335.2695761888959,-88.196184122092,32.875777935377585,32.875777935377585
p1,7,718.656296303368,721.1632841885531,335.2695761888959,356.59941922728166,21.329843038385775,-23.836830923570915,23.836830923570915
p3,2,969.2162088031613,980.0609065773192,448.19594143777397,379.08889127324994,-69.10705016452403,58.26235239036612,58.26235239036612
p3,3,887.7191865995632,955.2398406582487,379.08889127324994,311.5682372145645,-67.52065405868547,-5.684341886080802e-14,5.684341886080802e-14
p3,4,1133.427937930609,1000.5865400125591,311.5682372145645,517.3124951488754,205.74425793431095,-72.90286001626106,72.90286001626106
p3,5,810.4366666666667,912.9012354490536,517.3124951488754,433.24116244563544,-84.07133270323999,-18.393236079146902,18.393236079146902
p3,6,750.7,804.4730135120896,433.24116244563544,346.122199783904,-87.11896266173142,33.34594914964191,33.34594914964191
p3,7,718.48202753806,720.3326014922612,346.122199783904,368.5583115798678,22.436111795963768,-24.286685750164963,24.286685750164963
p4,2,1018.7669189072363,916.5588645299192,316.90124462301264,382.67389623667884,65.7726516136662,36.43540276365093,36.43540276365093
p4,3,850.7645387621703,959.0452956347476,382.67389623667884,274.39313936409957,-108.28075687257927,1.9895196601282805e-12,1.9895196601282805e-12
p4,4,1120.8318756639264,1076.8304974436287,274.39313936409957,373.91075484496383,99.51761548086427,-55.51623726056653,55.51623726056653
p4,5,810.8785614794263,854.8474949724618,373.91075484496383,351.22532910329346,-22.68542574167037,-21.28350775136522,21.28350775136522
p4,6,750.2581051872405,757.9025562837439,351.22532910329346,304.7959025742714,-46.42942652902207,38.78497543251865,38.78497543251865
p4,7,747.2662421819563,783.4971558280673,304.7959025742714,297.43129203626,-7.364610538011391,-28.866303108099657,28.866303108099657
p5,2,1001.7579852588149,892.51326714262,712.2521404814028,774.2001811149881,61.94804063358538,47.29667748260954,47.29667748260954
p5,3,865.3352589522027,973.0484714336941,774.2001811149881,666.4869686335234,-107.71321248146478,-2.660272002685815e-11,2.660272002685815e-11
p5,4,1123.2700891223158,1092.8888702772056,666.4869686335234,761.7279495364326,95.2409809029092,-64.859762057799,64.859762057799
p5,5,810.4366666666667,875.547983503446,761.7279495364326,714.0328106472556,-47.695138889176974,-17.41617794760225,17.41617794760225
p5,6,750.7,793.4679686482345,714.0328106472556,636.8720864965175,-77.16072415073813,34.39275550250363,34.39275550250363
p5,7,745.2527019176825,800.6433459279688,636.8720864965175,610.9671593633207,-25.904927133196793,-29.48571687708943,29.48571687708943
p6,2,1001.8592149842091,892.7477136143743,707.8983089602452,769.7096482389403,61.81133927869507,47.30016209113967,47.30016209113967
p6,3,865.2289744700549,975.3353344697712,769.7096482389403,659.60328823925,-110.10635999969031,-2.5920599000528455e-11,2.5920599000528455e-11
p6,4,1123.2751438790692,1091.2217833132881,659.60328823925,756.5516183057545,96.94833006650447,-64.89496950072339,64.89496950072339
p6,5,810.4366666666667,885.5323217365899,756.5516183057545,698.8472203243418,-57.704397981412626,-17.391257088510542,17.391257088510542
p6,6,750.7,800.9681501426578,698.8472203243418,614.1776711752332,-84.66954914910866,34.4013990064509,34.4013990064509
p6,7,745.3278473787007,803.686740595095,614.1776711752332,585.280161756459,-28.89750941877412,-29.461383797620215,29.461383797620215
p7,2,1000.8648388140774,903.3451293084613,641.0939555434343,680.3494365880667,39.25548104463246,58.264228460983645,58.264228460983645
p7,3,866.100003693434,983.6298924786591,680.3494365880667,562.8195478028559,-117.5298887852108,-1.432454155292362e-11,1.432454155292362e-11
p7,4,1123.3984908258217,1073.8665263097748,562.8195478028559,687.4468721527979,124.627324349942,-75.09535983389515,75.09535983389515
p7,5,810.4366666666667,901.8993087024799,687.4468721527979,613.6564722456721,-73.79039990712579,-17.672242128687344,17.672242128687344
p7,6,750.7,804.5795711690622,613.6564722456721,524.9607202156332,-88.69575203003899,34.81618086097683,34.81618086097683
p7,7,745.1249836490715,763.1907748898861,524.9607202156332,536.7831149308206,11.822394715187443,-29.888185956002076,29.888185956002076
p8,2,1003.6530596651635,904.4464654692273,661.2156305964767,707.6361611944446,46.42053059796797,52.78606359796822,52.78606359796822
p8,3,863.7077733941456,976.5966667063865,707.6361611944446,594.7472678822184,-112.88889331222629,-1.4551915228366852e-11,1.4551915228366852e-11
p8,4,1123.002500274024,1082.491798739375,594.7472678822184,705.2961148260284,110.54884694381008,-70.03814540916119,70.03814540916119
p8,5,810.4366666666667,885.8926401600413,705.2961148260284,647.8856643136119,-57.41045051241656,-18.045522980958026,18.045522980958026
p8,6,750.7,797.9263519550034,647.8856643136119,565.4854085843012,-82.40025572931063,35.17390377430729,35.17390377430729
p8,7,745.4680396719049,795.1726867983498,565.4854085843012,545.4362047113183,-20.049203872982957,-29.655443253461954,29.655443253461954
p9,2,998.899277832055,909.1516682313809,536.6228449723958,568.015197872859,31.392352900463152,58.35525670021093,58.35525670021093
p9,3,867.8315547842599,945.3869155256705,568.015197872859,490.4598371314579,-77.55536074140105,-9.549694368615746e-12,9.549694368615746e-12
p9,4,1123.6325007170185,1106.1927757793944,490.4598371314579,582.842916875594,92.38307974413613,-74.94335480651205,74.94335480651205
p9,5,810.4366666666667,842.5369918739719,582.842916875594,568.1663442374742,-14.676572638119865,-17.423752569185353,17.423752569185353
p9,6,750.7,761.1553292547853,568.1663442374742,523.2832263129094,-44.88311792456477,34.42778866977949,34.42778866977949
p9,7,747.9000000000001,777.7744399304252,523.2832263129094,522.4581302503682,-0.8250960625412063,-29.049343867883863,29.049343867883863
p10,2,1008.1992945227834,917.0391562275835,628.2793250200793,661.1682390688941,32.88891404881474,58.271224246385145,58.271224246385145
p10,3,859.7943062813584,978.4217645044714,661.1682390688941,542.5407808457948,-118.62745822309932,-1.3642420526593924e-11,1.3642420526593924e-11
p10,4,1122.3697325291914,1068.9492085244215,542.5407808457948,671.3946386736081,128.85385782781339,-75.43333382304343,75.43333382304343
p10,5,810.4366666666667,913.3452333766795,671.3946386736081,587.7184237105421,-83.67621496306606,-19.232351746946733,19.232351746946733
p10,6,750.7,778.3991716275839,587.7184237105421,523.308266268949,-64.41015744159313,36.71098581400929,36.71098581400929
p10,7,746.0417674195129,766.797519722481,523.308266268949,532.4324469741962,9.124180705247227,-29.87993300821529,29.87993300821529
p11,2,968.731245521288,931.8513075931814,598.8519174273783,577.4618999475592,-21.390017479819107,58.269955407925636,58.269955407925636
p11,3,887.6338555954155,941.5502867851573,577.4618999475592,523.5454687578327,-53.916431189726495,-1.5234036254696548e-11,1.5234036254696548e-11
p11,4,1133.9982322166297,1051.6946886434127,523.5454687578327,678.7320103238172,155.1865415659845,-72.88299799276751,72.88299799276751
p11,5,810.4366666666667,920.1105386061175,678.7320103238172,587.9712774568428,-90.76073286697442,-18.913139072476383,18.913139072476383
p11,6,750.7,773.1809980199058,587.9712774568428,531.6481524873354,-56.323124969507376,33.84212694960161,33.84212694960161
p11,7,715.9465897300581,712.4666631150083,531.6481524873354,558.6755458858089,27.027393398473464,-23.5474667834236,23.5474667834236
p12,2,1009.2731923418612,930.8758806224014,606.7829338729715,626.9098077932023,20.126873920230764,58.27043779922906,58.27043779922906
p12,3,858.8975326948682,982.5292343127381,626.9098077932023,503.27810617534664,-123.63170161785564,-1.4267698134062812e-11,1.4267698134062812e-11
p12,4,1122.1926082966038,1048.8824057256525,503.27810617534664,652.0274815494322,148.74937537408556,-75.43917280313423,75.43917280313423
p12,5,810.4366666666667,909.3008890530788,652.0274815494322,572.7664112144766,-79.26107033495555,-19.603152051456505,19.603152051456505
p12,6,750.7,763.0748379189489,572.7664112144766,523.3072818191372,-49.45912939533946,37.084291476390604,37.084291476390604
p12,7,746.0990894746418,771.6316272598687,523.3072818191372,527.6348460402384,4.32756422110117,-29.86010200632802,29.86010200632802
p13,2,1004.6710952586836,905.7543471322249,659.623128935743,705.7527270576296,46.1295981218866,52.78715000457214,52.78715000457214
p13,3,862.8316356183949,976.7518622854645,705.7527270576296,591.832500390574,-113.92022666705566,-1.3983481039758772e-11,1.3983481039758772e-11
p13,4,1122.8606024562546,1081.573071162703,591.832500390574,703.219311588702,111.38681119812804,-70.0992799045764,70.0992799045764
p13,5,810.4366666666667,888.0551686576159,703.219311588702,643.8415428878251,-59.37776870087691,-18.240733290072285,18.240733290072285
p13,6,750.7,798.8193329940063,643.8415428878251,560.2922496195251,-83.54929326829995,35.42996027429365,35.42996027429365
p13,7,745.5913843511725,794.9293175393217,560.2922496195251,540.6667779300527,-19.62547168947242,-29.712461498676817,29.712461498676817
p14,2,996.1951279214078,919.6225846778107,560.0501096415934,578.36390459637,18.313794954776654,58.25874828882047,58.25874828882047
p14,3,870.137425964879,958.2588634271315,578.36390459637,490.24246713412873,-88.12143746224132,-1.1198153515579179e-11,1.1198153515579179e-11
p14,4,1124.0307794470464,1078.5236365648948,490.24246713412873,610.6553170424712,120.41284990834248,-74.9057070261909,74.9057070261909
p14,5,810.4366666666667,870.4003601950986,610.6553170424712,567.6046188230584,-43.050698219412766,-16.912995309019152,16.912995309019152
p14,6,750.7,761.1416011561114,567.6046188230584,523.2923485660467,-44.31227025701173,33.870669100900386,33.870669100900386
p14,7,744.6354857386591,774.5420608355978,523.2923485660467,523.3152815445903,0.022932978543622085,-29.929508075482318,29.929508075482318
p15,2,1006.3411175426304,909.9484653052547,634.7066346035955,672.8283955119574,38.12176090836192,58.27089132901381,58.27089132901381
p15,3,861.3987178677844,985.3907189364332,672.8283955119574,548.8363944433222,-123.9920010686352,-1.3642420526593924e-11,1.3642420526593924e-11
p15,4,1122.6234979229184,1067.1839313229814,548.8363944433222,679.6267542852585,130.79035984193627,-75.35079324199921,75.35079324199921
p15,5,810.4366666666667,908.8326889712357,679.6267542852585,600.0305091571581,-79.59624512810035,-18.799777176468638,18.799777176468638
p15,6,750.7,791.2263492700893,600.0305091571581,523.3086811923887,-76.72182796476943,36.19547869468022,36.19547869468022
p15,7,745.7863660972587,764.4386292855264,523.3086811923887,534.53195893183,11.2232777394413,-29.87554092770904,29.87554092770904
p16,2,1000.6916265656508,914.2219203213656,626.3276444422505,654.5261264401503,28.198481997899762,58.271224246385486,58.271224246385486
p16,3,866.2322680881556,982.3652727856561,654.5261264401503,538.3931217426644,-116.13300469748583,-1.4665602066088468e-11,1.4665602066088468e-11
p16,4,1123.4394386795268,1067.5886172504565,538.3931217426644,669.4146035297765,131.02148178711207,-75.1706603580418,75.1706603580418
p16,5,810.4366666666667,913.4516066600667,669.4146035297765,583.9598658276607,-85.45473770211584,-17.5602022912841,17.5602022912841
p16,6,750.7,776.5758332019225,583.9598658276607,523.3078697323945,-60.65199609526621,34.77616289334378,34.77616289334378
p16,7,745.1971821228599,766.684149517627,523.3078697323945,531.7155560633927,8.407686330998217,-29.89465372576535,29.89465372576535
p17,2,1004.4985352332201,928.0797857673526,582.4075854898362,600.4616401358215,18.05405464598539,58.36469481988206,58.36469481988206
p17,3,863.0033155820563,973.3844820901693,600.4616401358215,490.0804736277222,-110.38116650809934,-1.3642420526593924e-11,1.3642420526593924e-11
p17,4,1122.8614825180568,1056.658955649106,490.0804736277222,631.4750113268478,141.39453769912564,-75.19201083017481,75.19201083017481
p17,5,810.4366666666667,891.016516077479,631.4750113268478,569.3480643755604,-62.12694695128744,-18.452902459524807,18.452902459524807
p17,6,750.7,761.0569381735506,569.3480643755604,523.2897627073318,-46.05830166822864,35.70136349467805,35.70136349467805
p17,7,745.4600134835255,775.360014286602,523.2897627073318,523.2707288346483,-0.01903387268350798,-29.880966930393015,29.880966930393015
p18,2,998.8934862449414,923.8963197755984,609.9748377217348,626.7033090090212,16.72847128728631,58.26869518205672,58.26869518205672
p18,3,867.7943073835987,981.1413141517328,626.7033090090212,513.3563022409006,-113.34700676812054,-1.3528733688872308e-11,1.3528733688872308e-11
