prefix,row_count,legacy_max_depth_mm,open_max_depth_mm,max_depth_delta_mm_open_minus_legacy,open_days_gt_200mm,legacy_days_gt_200mm,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_frozen_days_wat,open_frozen_days_wat,frozen_days_delta_open_minus_legacy
p1,1062,387.9,597.1821614622129,209.2821614622129,112,211,129.33691344904258,172.7733600791371,-0.2096521534917255,827,470,-357
p2,1057,280.0,1756.6037758327177,1476.6037758327177,106,81,102.3806959150875,170.53653369581937,-0.1232909691891663,825,473,-352
p3,1073,384.5,1639.9350755585738,1255.4350755585738,181,266,192.2352595647715,299.85957364303715,-0.2905052901694626,815,536,-279
p4,1070,240.0,490.774886655666,250.77488665566602,111,15,68.69063585663228,116.23235478233647,0.036581544306755746,928,484,-444
p5,1083,420.0,951.9870425611773,531.9870425611773,142,175,132.23323321285406,188.6497944390114,-0.10417369500907014,910,492,-418
p6,1071,420.0,531.5611766613385,111.56117666133855,116,178,123.67714120756035,169.67951192352317,-0.21085970386020342,910,477,-433
p7,1058,420.0,478.3106098983534,58.31060989835339,119,186,126.73053473217473,172.0677614244425,-0.2208324749987828,888,470,-418
p8,1079,440.0,657.244442657583,217.24444265758302,131,186,127.3544268761741,180.2162886395198,-0.20874167816552516,911,484,-427
p9,1059,460.0,430.8517552172829,-29.148244782717086,125,198,127.98227602805582,175.1107100158254,-0.16352483159714976,894,464,-430
p10,1057,421.1,487.31231941981827,66.21231941981824,112,187,126.74316750976537,172.5188564813039,-0.20162354501858956,902,467,-435
p11,1048,503.2,478.87955985320855,-24.32044014679144,88,111,109.77186825378034,158.6307420452867,-0.012835225537076158,819,429,-390
p12,1056,440.0,443.2388147550141,3.2388147550141184,111,194,127.81165424982149,173.70728047197494,-0.20699533579528767,892,465,-427
p13,1066,440.0,479.8931715688344,39.89317156883442,118,183,123.37535001681492,173.10354709645995,-0.1933731634664256,909,473,-436
p14,1060,460.0,442.88674634672543,-17.11325365327457,117,195,129.31176750867724,175.06587484443278,-0.1783039176006865,895,467,-428
p15,1059,420.0,480.97669360808203,60.97669360808203,128,186,129.70699570783398,175.24144770665094,-0.21265226928950265,901,473,-428
p16,1056,424.1,487.3123190112256,63.21231901122559,110,192,128.5755865140945,174.4072164752552,-0.21511872471520307,897,464,-433
p17,1072,440.0,434.70599894947645,-5.294001050523548,140,195,127.43175746992297,173.89059210052912,-0.15142441376910568,894,480,-414
p18,1058,440.0,487.3123191215685,47.31231912156852,111,193,129.3381280983939,175.7009282420223,-0.21582398715701512,899,464,-435
p19,1056,420.0,451.8033738510082,31.80337385100819,122,185,123.41205530070452,167.7003643215617,-0.1277202525946841,901,470,-431
p20,1054,374.3,548.7005560921867,174.40055609218672,102,262,141.50749314293586,178.68951941144493,-0.26445561316043037,816,462,-354
p21,1079,387.0,1577.984311085433,1190.984311085433,140,211,154.59464313496,241.70038199885468,-0.10663132294466048,821,490,-331
p22,1079,426.1,1355.2544758524757,929.1544758524757,149,180,140.70676035957644,220.0913076470804,0.0940356301192317,910,493,-417
p23,1095,440.0,1789.9130899451595,1349.9130899451595,164,188,169.77773233781343,309.32351804432705,0.0713151555648903,912,506,-406
p24,1055,420.0,487.3123193159292,67.31231931592919,111,185,126.60928344671989,172.29560335355995,-0.20317474319428952,901,466,-435
p25,1079,400.0,535.1915011646684,135.19150116466835,110,119,110.3502508693443,157.80207737730385,-0.1754101120172219,917,485,-432
p26,1067,440.0,578.0232834471122,138.02328344711225,109,191,124.36672731934479,174.4691335556013,-0.18179838834342696,914,466,-448
p27,1057,420.0,581.7398588304062,161.7398588304062,129,182,125.20046150952834,169.40498897866374,-0.12345863364712453,894,471,-423
p28,1068,440.0,578.0232835519357,138.02328355193572,110,189,125.43371856999512,175.95938353901263,-0.18158714998617673,917,467,-450
p29,1060,420.0,444.4342062470685,24.434206247068516,122,187,126.8181398203527,171.72140216314716,-0.21409065005684844,892,470,-422
p30,1053,420.0,487.3123189390289,67.3123189390289,110,184,126.62680285123781,171.842396906275,-0.21576185187445196,891,464,-427
p31,1059,440.0,487.3123191111431,47.3123191111431,111,190,128.5585086778373,174.734298252718,-0.21113555861090558,906,465,-441
p32,1053,403.3,429.03717485562566,25.737174855625653,107,264,143.50490201217906,182.55836425238343,-0.26491537607305454,814,461,-353
p33,1078,400.0,535.191501235051,135.19150123505096,110,85,104.03420063362725,151.97524074719527,-0.173774546597732,918,485,-433
p34,1077,420.0,486.67035717912216,66.67035717912216,129,156,123.657806432691,169.77612338408602,-0.21617345675589114,904,486,-418
p35,1077,400.0,466.6055852482718,66.60558524827178,116,119,108.92595307944832,154.82528932953807,-0.12830039493844234,915,487,-428
p36,1070,420.0,531.5611766639373,111.56117666393732,116,178,123.70558862666199,169.71845725184923,-0.21064574601052397,909,477,-432
p37,1076,420.0,514.4554710151702,94.45547101517025,127,145,120.5122392130137,168.48431564406638,-0.21182512105090767,902,485,-417
p38,1079,400.0,496.63050551547025,96.63050551547025,115,118,109.24191296530643,157.17542798666446,-0.1802669643840174,914,488,-426
p39,1068,420.0,531.56117666243,111.56117666242994,116,145,117.96536351037318,165.64391257597288,-0.1876255663636445,907,477,-430
p40,1073,400.0,469.84350058308354,69.84350058308354,120,83,98.3790673866816,146.60518309471317,-0.10426057790024355,913,492,-421
p41,1070,420.0,531.5611766499209,111.56117664992087,116,171,122.29933092310402,168.19793281948975,-0.20987839236244307,906,477,-429
p42,1078,400.0,535.1915011578453,135.19150115784532,110,119,110.54857114504856,158.0938543501745,-0.17553098419273633,917,485,-432
p43,1075,420.0,473.5048699207151,53.50486992071512,123,164,121.21429077587071,166.2088041864705,-0.1583308987706864,917,483,-434
