prefix,active_days,corr_frozwt_frdp,ratio_min,ratio_p10,ratio_median,ratio_p90,ratio_max,ratio_std
p1,788,0.9994496229297982,0.13899999999999998,0.14490009792135522,0.1491702824477758,0.1579433044852662,0.15900000000000003,0.0046132842471938796
p2,764,0.8399719260106896,0.02230236468247234,0.0303832695518162,0.0729660825433615,0.13460883254574282,0.16272943765281173,0.03689698683242996
p3,814,0.9983728787784195,0.12799999999999992,0.14980099945100414,0.15804380222769276,0.16499999999999998,0.16500000000000004,0.006505186430484617
p4,818,0.9181153416846601,0.022302364682472348,0.057193504447157414,0.08865057281720967,0.13688730926730916,0.16272943765281175,0.02988288507130111
p5,834,0.9996822102679676,0.139,0.14878474818675388,0.15180135141847217,0.15768571839684584,0.15900000000000003,0.0033365626450653973
p6,833,0.9996788632365025,0.139,0.14869560295582995,0.1519605446508372,0.15769358593580587,0.15900000000000003,0.0033517846048733454
p7,865,0.9992699431641706,0.14465131238880988,0.15550207487184792,0.16079848583853104,0.16499999999999998,0.16500000000000006,0.0037946384437353175
p8,849,0.9984706915361816,0.10900000000000001,0.14633650661764197,0.15477559828998827,0.16169461818028374,0.16600000000000004,0.005779699149466521
p9,862,0.9984327015790785,0.1328118218821072,0.15062131805411982,0.15862600955817668,0.16499048674085937,0.16500000000000006,0.005834696754678497
p10,867,0.9990909714122135,0.1420228215655457,0.15467552821511973,0.15975831298477208,0.16499999999999998,0.16500000000000006,0.004372678498709508
p11,823,0.9992085931254576,0.14147861333182912,0.15487705714414043,0.16002085139821381,0.16499999999999998,0.16500000000000004,0.004384833308135356
p12,870,0.9988855181024656,0.1348534758069048,0.15403803701363192,0.1598295671134196,0.16496406783623419,0.16500000000000006,0.0047458160859217965
p13,852,0.9984939632801095,0.10899999999999999,0.14632607332341777,0.1540604391805867,0.1616630298586346,0.166,0.00597741524044277
p14,861,0.9984961096161729,0.13285849961232915,0.15115844430779005,0.1592541028426003,0.16499999999999998,0.16500000000000004,0.005934380974979678
p15,868,0.9992985563514081,0.14557589212972535,0.15493073390844905,0.15993659819061987,0.16498517049132333,0.16500000000000006,0.0040072813983948125
p16,864,0.9989569443274264,0.13565363002482522,0.15459569495121492,0.15975334502145155,0.16499999999999998,0.16500000000000006,0.00464801826177397
p17,866,0.998596425470925,0.13282838628190557,0.15169083131886862,0.15921086179001348,0.16498007040083573,0.16500000000000006,0.00576267036900777
p18,862,0.9987984851020072,0.1334502210279837,0.15324480790806067,0.1598626850481525,0.16499999999999998,0.16500000000000006,0.005116174760430537
p19,867,0.9992973405607252,0.1450027200367066,0.15487978741293293,0.1599263107890028,0.16499999999999998,0.16500000000000006,0.004006529321912635
p20,814,0.998398193892044,0.12799999999999992,0.14991090408853855,0.15819019662222822,0.16499999999999998,0.16500000000000006,0.006340595633418191
p21,789,0.999452751823337,0.13899999999999998,0.14475306715845165,0.14910023771804357,0.15791051222039001,0.15900000000000003,0.0046261289841619535
