prefix,row_count,legacy_max_depth_mm,open_max_depth_mm,max_depth_delta_mm_open_minus_legacy,open_days_gt_200mm,legacy_days_gt_200mm,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_frozen_days_wat,open_frozen_days_wat,frozen_days_delta_open_minus_legacy
p1,1260,387.9,1782.0838802534058,1394.1838802534057,643,211,506.08527236181635,725.3221422121579,-0.053622288783456325,777,710,-67
p10,1228,421.1,1782.7774780127052,1361.6774780127053,672,187,559.2785576043191,770.153850460172,-0.1318843913186554,755,754,-1
p11,1270,503.2,1782.7774780127052,1279.5774780127051,666,111,501.7164811996261,730.4923785937237,0.012621080349258875,773,743,-30
p12,1228,440.0,1783.3549358132752,1343.3549358132752,672,194,561.4539025916238,772.932165746864,-0.10921311113848772,753,754,1
p13,1228,440.0,1782.4565544701084,1342.4565544701084,664,183,549.4395004982719,764.9689460683417,-0.07388414466222802,758,741,-17
p14,1230,460.0,1782.8031147246293,1322.8031147246293,671,195,560.0862847865062,769.8399904789205,-0.11850506958193849,757,750,-7
p15,1227,420.0,1782.7958131215464,1362.7958131215464,671,186,559.7040470658201,771.6745373099267,-0.12483077981403246,755,753,-2
p16,1230,424.1,1782.7774780127052,1358.6774780127053,672,192,558.0991844640993,768.6426613034541,-0.12353518966944017,760,752,-8
p17,1230,440.0,1783.367120061987,1343.367120061987,672,195,562.0850571510333,772.9438480625454,-0.10755355026490555,758,754,-4
p18,1230,440.0,1782.7848589385749,1342.7848589385749,672,193,558.5175809711621,768.5451436244829,-0.12204037579118256,759,751,-8
p19,1227,420.0,1782.7779212801204,1362.7779212801204,671,185,558.5628491971327,769.9220235823162,-0.12943289447034897,755,753,-2
p20,1264,374.3,1782.7774780127052,1408.4774780127052,667,262,524.1065410674217,735.0698872226462,-0.06890781499905449,779,736,-43
p21,1260,387.0,1782.1193431515585,1395.1193431515585,644,211,509.47593760308513,730.609589647835,-0.050970545073412935,777,710,-67
p22,1227,426.1,1782.4473513643018,1356.3473513643016,664,180,547.5987180246917,763.1633309725576,-0.07610470560115024,759,740,-19
p23,1229,440.0,1782.454753408546,1342.454753408546,663,188,548.2975663555876,763.1059271004011,-0.07180876670126726,764,739,-25
p24,1228,420.0,1782.7774780127052,1362.7774780127052,672,185,559.156265727133,770.2989869141459,-0.13258060904263433,755,754,-1
p25,1227,400.0,1780.5858115160443,1380.5858115160443,606,119,506.0801396726338,731.6964423534799,-0.07310762103878068,755,689,-66
p26,1229,440.0,1782.43752455774,1342.43752455774,663,191,547.0125531883692,760.2220359759763,-0.07105526959228274,764,738,-26
p27,1230,420.0,1782.7908905500076,1362.7908905500076,672,182,559.307158877877,772.039952083646,-0.128683262477661,754,753,-1
p28,1228,440.0,1782.43752455774,1342.43752455774,663,189,548.1365337338297,760.5799361224825,-0.0751368962157739,768,739,-29
p29,1230,420.0,1782.8002609928299,1362.8002609928299,672,187,560.038467898052,772.5311699419128,-0.1227088906634725,751,753,2
p3,1264,384.5,1782.7774780127052,1398.2774780127052,667,266,523.1971806225572,733.540580409265,-0.0582300800149329,782,736,-46
p30,1230,420.0,1782.7774780127052,1362.7774780127052,672,184,557.5763443921927,769.5375764866398,-0.12562779503484994,754,753,-1
p31,1229,440.0,1782.7774780127052,1342.7774780127052,671,190,558.1059227913618,768.1734043132427,-0.12813513777765162,763,752,-11
p32,1263,403.3,1782.811616271055,1379.5116162710551,667,264,525.803909790814,737.0857630420076,-0.058495773474764166,781,735,-46
p33,1227,400.0,1780.5852693307895,1380.5852693307895,606,85,504.92869325601845,736.3854928890222,-0.1004453177700605,756,689,-67
p34,1228,420.0,1782.105412629539,1362.105412629539,653,156,543.3371471134612,760.814271880529,-0.11703936895096066,761,729,-32
p35,1227,400.0,1780.6025147403682,1380.6025147403682,606,119,507.0038624383691,732.8015362773413,-0.0696032110765163,755,688,-67
p36,1228,420.0,1782.0838802534058,1362.0838802534058,652,178,541.9025127518205,756.9047572856681,-0.12166319699578902,764,727,-37
p37,1227,420.0,1782.1097276703324,1362.1097276703324,652,145,541.1815499996992,759.644819218781,-0.0784910168432298,755,727,-28
p38,1225,400.0,1780.5936974747729,1380.5936974747729,605,118,508.68901283099905,735.0522285846569,-0.08889533574215379,750,688,-62
p39,1226,420.0,1782.0861609123403,1362.0861609123403,652,145,539.1717836903023,757.0002431407203,-0.07858457964494628,756,727,-29
p4,1211,240.0,1781.3470601744752,1541.3470601744752,628,15,507.951044022161,761.767614358119,-0.03896573839583584,728,704,-24
p40,1223,400.0,1780.593863750441,1380.593863750441,605,83,506.43655996056793,741.0037857114302,-0.0996701460483803,746,691,-55
p41,1228,420.0,1782.0838802534058,1362.0838802534058,652,171,541.8060041950686,757.689618636901,-0.1250779380450951,760,727,-33
p42,1227,400.0,1780.5852693307895,1380.5852693307895,606,119,506.05351916931943,731.6089969440094,-0.07272213420598526,756,689,-67
p43,1229,420.0,1782.0942373293303,1362.0942373293303,653,164,542.6167763149709,757.9609657122925,-0.12182736504648327,770,727,-43
p5,1229,420.0,1782.1036715706718,1362.1036715706718,652,175,543.0672530639938,759.3664107779553,-0.12158025110208366,761,727,-34
p6,1228,420.0,1782.0838802534058,1362.0838802534058,652,178,541.6525228144834,756.638397345373,-0.1192916950086136,764,727,-37
p7,1230,420.0,1782.8036957007926,1362.8036957007926,672,186,559.9297252498566,772.6743558080251,-0.12273232750240055,750,753,3
p8,1228,440.0,1782.4583249863306,1342.4583249863306,663,186,549.3859064841106,765.0131993893503,-0.07400264882791396,759,739,-20
p9,1230,460.0,1783.3684719591115,1323.3684719591115,672,198,562.3347752667559,772.5102628699269,-0.10558853947064563,755,751,-4
