prefix,active_days,corr_frozwt_frdp,ratio_median,ratio_std,ratio_min,ratio_max
p1,793,0.9247613961428165,0.251159710773411,0.04483669031557581,0.1712153962788575,0.38581505830309526
p2,767,0.8210678396408894,0.22495069363083547,0.05995435340040255,0.09428452158516709,0.38781944174005806
p3,818,0.9326180450539462,0.24292995879050955,0.043433500023132156,0.1719623709934065,0.3964892705699073
p4,819,0.9292247177064034,0.23491059160598873,0.04602987395873046,0.14203436233520836,0.384450763282426
p5,839,0.9736263209205739,0.31562596814275296,0.060508748194064814,0.1963237376680339,0.4447406432676494
p6,839,0.9688229542510283,0.30972271419426256,0.060084284357020956,0.19679831707885065,0.44400514585999024
p7,869,0.961603246526146,0.27690505830652684,0.057217729594363546,0.1797149803043874,0.4238799620346248
p8,852,0.9635362793734238,0.29456476792075675,0.06047420275204042,0.17862827988878793,0.4459673172362986
p9,868,0.9707373454983387,0.26081696241518626,0.04748772120179074,0.17990318402846367,0.39501300571652814
p10,870,0.9640348824120417,0.27093018696237425,0.053648112204537586,0.17970964826710087,0.3960472437346644
p11,828,0.9724433814168476,0.2730882688516465,0.07001069966662421,0.12165410907345227,0.4341017242962172
p12,872,0.9676458626306679,0.2665738249860746,0.05049014763834788,0.1798010196920246,0.395455505357546
p13,854,0.9622294768827242,0.29324191423159185,0.0603121408548166,0.1787833172302489,0.4453652303718819
p14,866,0.9713163013831124,0.26190691743045413,0.047977884552870644,0.1799029947013688,0.39473654404609304
p15,871,0.9626093606974968,0.27323215220657593,0.05538314388218668,0.17970875783780918,0.40444078980675474
p16,867,0.9642641916608848,0.26918680591302185,0.05342917385662536,0.17971087145740794,0.39480458082440206
p17,871,0.9710735234903809,0.26361622096149573,0.048340730889708264,0.17988755421982866,0.3953135296632338
p18,866,0.9667746581324771,0.2660434484913679,0.051231954552753256,0.17976307344015896,0.39481070968309895
p19,871,0.9624729648281309,0.2740317046300221,0.0556742003642107,0.17970969098307768,0.4063496740037193
p20,818,0.9321608944618663,0.24329280560894928,0.043679167298313025,0.17196818685714965,0.396621559135721
p21,794,0.9257883479234058,0.2512934953893181,0.04453858216281358,0.17121538671141878,0.3862754335395836
p22,853,0.9673790065774883,0.29990036599670583,0.060405871106429664,0.1782950382273272,0.4495890150847083
p23,851,0.9608390404444658,0.29129753704698236,0.06029328011157142,0.1789905570374316,0.44881877987421526
p24,870,0.9632798209787925,0.2728321723625054,0.0545945244764913,0.1797082349931653,0.40078099296834785
p25,791,0.9861047281453903,0.34512974733470025,0.054602162592559664,0.2334324784350085,0.4554649324442481
p26,850,0.9552875992965378,0.28304055168060166,0.05961156468549676,0.18005850462321565,0.44626123365071146
p27,869,0.963349627277772,0.28392963498596435,0.057918716983665096,0.17972492209780652,0.4223660395448218
p28,851,0.9568887967280827,0.27016321122753156,0.05528232950394985,0.1820344380772189,0.4130634278980288
p29,869,0.962268787797049,0.274608839413959,0.05604863960449559,0.17971117538068943,0.40674221131167715
p30,868,0.962649015470563,0.2822483175034701,0.0577779090672467,0.17972112478361663,0.4247746119149787
p31,868,0.9664021526083367,0.2672726486162374,0.051593333195200375,0.179718326307672,0.3949647124187174
p32,819,0.9340627190940051,0.2423977848303758,0.042985331278907905,0.17196737498098777,0.39638448050376124
p33,791,0.9857493504615611,0.34446318154123573,0.0535810996255441,0.23301261055565997,0.45350098899036534
p34,841,0.9586359771611868,0.29896136791791533,0.058737385960487096,0.19837817789732745,0.44227206916304357
p35,790,0.9857955142170569,0.34463632199867056,0.05401718086407211,0.233166173471808,0.4548397368561757
p36,839,0.9681146087158019,0.3088332219619539,0.05986339288849162,0.1969177951300258,0.4431745907331953
p37,839,0.9586632197478399,0.29816808851833004,0.05908186536461986,0.1982889914815379,0.4431648369528963
p38,791,0.9861968090242198,0.345990081293432,0.05477177610254702,0.2335855626945575,0.45411969262184604
p39,839,0.9705406587355787,0.31244928896828017,0.06007972611827171,0.19666207768734575,0.443388404810035
p40,794,0.9815669460139278,0.3353318551576391,0.05183921482895755,0.22456113030571698,0.44991422510032775
p41,839,0.9770783959098809,0.32114546424355156,0.060505848114986494,0.19669833565468703,0.4439661691716792
p42,791,0.9858453275870951,0.3445758941160187,0.053885869879776394,0.23314359810313717,0.4546619354646507
p43,839,0.958732193440225,0.28513618618610226,0.052946065137298576,0.2015939762630074,0.4223145782152175
