prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,1123,1123,1791.4697234597702,526.5500749613119,1800.0
p10,2557,1174,1174,1789.9706455032233,471.69890779979147,1800.0
p11,2557,1209,1209,1789.9706455032233,458.5941317012209,1800.0
p12,2557,1178,1178,1790.3045964523506,471.7045019901219,1800.0
p13,2557,1214,1214,1790.6202497871423,499.21697255686666,1800.0
p14,2557,1176,1176,1790.2937329969288,471.70030559544193,1800.0
p15,2557,1177,1177,1790.2983615947894,471.7023464783471,1800.0
p16,2557,1172,1172,1789.9706455032233,471.69890779979147,1800.0
p17,2557,1177,1177,1790.3117225077506,471.70662314281975,1800.0
p18,2557,1174,1174,1789.974951577988,471.69890779979147,1800.0
p19,2557,1175,1175,1789.9709041135632,471.7000758957606,1800.0
p2,2557,765,765,1792.1180512499395,515.0565771713779,1800.0
p20,2557,1069,1069,1790.8090018130576,463.7599781183577,1800.0
p21,2557,1127,1127,1791.482620304909,526.5500749613119,1800.0
p22,2557,1213,1213,1790.3100132915158,499.2164382793145,1800.0
p23,2557,1214,1214,1790.3141075457397,499.21631340527784,1800.0
p24,2557,1174,1174,1789.9706455032233,471.69890779979147,1800.0
p25,2557,1264,1264,1791.1273247044535,526.6438216538643,1800.0
p26,2557,1213,1213,1790.3045775461896,499.2156046867249,1800.0
p27,2557,1175,1175,1789.9784703139574,471.70084165508655,1800.0
p28,2557,1213,1213,1790.3045775461896,499.2156046867249,1800.0
p29,2557,1175,1175,1790.2980482832925,471.7020760577543,1800.0
p3,2557,1070,1070,1790.8140188279185,463.7599781183577,1800.0
p30,2557,1172,1172,1789.9706455032233,471.69890779979147,1800.0
p31,2557,1173,1173,1789.9706455032233,471.69890779979147,1800.0
p32,2557,1070,1070,1790.8262800266598,463.7628188111389,1800.0
p33,2557,1264,1264,1791.1273247044535,526.6438216538643,1800.0
p34,2557,1260,1260,1791.4793536102463,535.9622400166728,1800.0
p35,2557,1265,1265,1791.1298149363954,526.6445863484457,1800.0
p36,2557,1259,1259,1791.4697234597702,535.96074471341,1800.0
p37,2557,1260,1260,1791.4772355789667,535.9618835734698,1800.0
p38,2557,1265,1265,1791.128878071391,526.6442986581385,1800.0
p39,2557,1259,1259,1791.4697234597702,535.96074471341,1800.0
p4,2557,1029,1029,1793.0216922288394,468.09910970480485,1800.0
p40,2557,1265,1265,1791.1315418692523,526.645116650935,1800.0
p41,2557,1259,1259,1791.4697234597702,535.96074471341,1800.0
p42,2557,1264,1264,1791.1273247044535,526.6438216538643,1800.0
p43,2557,1259,1259,1791.4726643136669,535.9612037178409,1800.0
p5,2557,1260,1260,1791.475312237911,535.9616006769537,1800.0
p6,2557,1259,1259,1791.4697234597702,535.96074471341,1800.0
p7,2557,1175,1175,1790.29777285017,471.7018547464265,1800.0
p8,2557,1214,1214,1790.62027916161,499.2168932396304,1800.0
p9,2557,1175,1175,1790.3125132126222,471.70659096020154,1800.0
