prefix,max_frdp_mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,days_above_200mm,frozen_days,mean_active_frdp_mm
p1,1792.683226256394,1800.0,7.316773743606063,False,737,804,872.515619922501
p2,1789.8414971347097,1800.0,10.158502865290302,False,468,570,676.9476399949214
p3,1790.978597187973,1800.0,9.021402812026963,False,792,849,869.6689525087381
p4,1789.8039934588865,1800.0,10.196006541113547,False,576,706,796.5464790262562
p5,1794.1751407913468,1800.0,5.824859208653152,False,1017,1095,970.4742998026124
p6,1794.1638162916934,1800.0,5.836183708306635,False,1018,1094,969.2656155704751
p7,1791.1782408489778,1800.0,8.821759151022206,False,1075,1141,959.2566077365074
p8,1791.4574361454993,1800.0,8.542563854500713,False,983,1056,972.3180850702529
p9,1791.2846985868396,1800.0,8.715301413160432,False,1081,1147,962.8986515486079
p10,1791.164763204191,1800.0,8.835236795808896,False,1070,1144,953.15237674068
p11,1791.164763195962,1800.0,8.835236804038004,False,1125,1167,925.6884136368551
p12,1791.1791171155096,1800.0,8.820882884490402,False,1076,1148,956.4024221990974
p13,1791.4565720471815,1800.0,8.543427952818547,False,983,1058,970.5867523505478
p14,1791.1779422126722,1800.0,8.822057787327822,False,1072,1139,959.6735818843266
p15,1791.1741889170573,1800.0,8.825811082942664,False,1074,1145,955.7962462780531
p16,1791.164763204191,1800.0,8.835236795808896,False,1069,1137,956.8584229714088
p17,1791.2771466593163,1800.0,8.722853340683741,False,1079,1147,961.6742654812734
p18,1791.168557733151,1800.0,8.83144226684908,False,1070,1137,957.9717831335925
p19,1791.1649910933863,1800.0,8.835008906613666,False,1071,1144,953.3484697374662
p20,1790.9785963095014,1800.0,9.021403690498573,False,792,849,867.9400871372873
p21,1792.6944194149198,1800.0,7.305580585080179,False,738,805,878.7439874542874
p22,1791.4520803163043,1800.0,8.547919683695682,False,983,1058,969.5356400277263
p23,1791.4556930308968,1800.0,8.544306969103218,False,981,1055,972.211049029066
p24,1791.164763204191,1800.0,8.835236795808896,False,1070,1142,954.48416144357
p25,1792.4337463722663,1800.0,7.5662536277336585,False,1068,1159,961.1557128564211
p26,1791.4472838505308,1800.0,8.552716149469234,False,979,1053,971.9960000013068
p27,1791.1716584357628,1800.0,8.828341564237235,False,1073,1142,956.3445842224304
p28,1791.4472838505308,1800.0,8.552716149469234,False,980,1055,970.7369201351962
p29,1791.1764753081254,1800.0,8.823524691874582,False,1075,1143,957.47090448633
p30,1791.164763204191,1800.0,8.835236795808896,False,1069,1138,956.1278588730532
p31,1791.164763204191,1800.0,8.835236795808896,False,1070,1139,956.0703536876507
p32,1792.3736906791187,1800.0,7.626309320881319,False,792,849,873.5707246277354
p33,1792.4335306793346,1800.0,7.566469320665419,False,1068,1159,960.9893894234478
p34,1794.1582880906337,1800.0,5.841711909366268,False,1019,1098,968.932226936145
p35,1792.4402730110687,1800.0,7.559726988931288,False,1069,1160,961.6296397564732
p36,1794.1628937679498,1800.0,5.837106232050246,False,1018,1094,969.3427437521684
p37,1794.1604777990244,1800.0,5.83952220097558,False,1017,1095,971.0571307845571
p38,1792.4368300566493,1800.0,7.563169943350658,False,1068,1159,962.034744664249
p39,1794.1661651355807,1800.0,5.833834864419259,False,1018,1094,969.512900386855
p40,1792.4368768918778,1800.0,7.563123108122227,False,1069,1160,961.8140206931065
p41,1794.1720721637255,1800.0,5.827927836274512,False,1018,1094,969.4053651218782
p42,1792.4335317001032,1800.0,7.566468299896769,False,1068,1159,961.0759273269023
p43,1794.130627331859,1800.0,5.869372668141068,False,1018,1095,969.6491279801247
