prefix,legacy_max_depth_mm,openwepp_max_depth_mm,max_depth_delta_mm_open_minus_legacy,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_depth_nonzero_days,openwepp_depth_nonzero_days,legacy_frozen_days_wat,openwepp_frozen_days_wat,frozen_days_delta_open_minus_legacy,open_days_above_200mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,overlap_days
p1,387.9,1793.1566138762416,1405.2566138762418,502.3476429004695,720.8525104507152,-0.017544273818331728,806,656,777,656,-121,607,1800.0,6.843386123758364,False,1194
p2,280.0,1789.8414971347097,1509.8414971347097,283.18644195428084,516.2273343987613,0.19389645706206324,800,448,741,448,-293,387,1800.0,10.158502865290302,False,1181
p3,384.5,1791.5663216911562,1407.0663216911562,479.83949060444485,682.9203839640005,-0.01973512313557206,796,642,782,642,-140,599,1800.0,8.43367830884381,False,1198
p4,240.0,1789.8039934588865,1549.8039934588865,421.6960545468506,691.1162566495587,0.05099509881848016,906,560,728,560,-168,482,1800.0,10.196006541113547,False,1145
p5,420.0,1794.4512870819199,1374.4512870819199,769.351615810802,964.9667773577193,-0.22900142243044794,890,888,761,888,127,837,1800.0,5.548712918080128,False,1163
p6,420.0,1794.4406774240497,1374.4406774240497,764.6377690976302,961.0303751740777,-0.22472800316783845,890,886,764,886,122,836,1800.0,5.559322575950318,False,1162
p7,420.0,1793.5514731956346,1373.5514731956346,718.5337989479423,917.3732394911594,-0.16630830768605456,869,864,750,864,114,815,1800.0,6.448526804365429,False,1164
p8,440.0,1793.6624886371346,1353.6624886371346,721.4378936023952,921.5701040036219,-0.1614382498614046,891,853,759,853,94,798,1800.0,6.337511362865371,False,1162
p9,460.0,1793.8383591440236,1333.8383591440236,714.5003985727221,911.5742138051748,-0.1533326732100062,875,861,755,861,106,812,1800.0,6.1616408559764295,False,1164
p10,421.1,1793.534515452334,1372.434515452334,717.8905837822624,916.5090476170276,-0.17257192669926075,883,868,755,868,113,814,1800.0,6.4654845476659375,False,1162
p11,503.2,1793.5052578793113,1290.3052578793113,711.1709951268139,913.4619078863354,-0.09710862848725733,798,924,773,924,151,887,1800.0,6.49474212068867,False,1204
p12,440.0,1793.5506221672513,1353.5506221672513,718.1002626921421,915.6833621977795,-0.15372610269406142,873,868,753,868,115,815,1800.0,6.4493778327487234,False,1162
p13,440.0,1793.661214857775,1353.661214857775,721.4981610072912,921.598621454133,-0.16141305392985605,889,855,758,855,97,797,1800.0,6.338785142225106,False,1162
p14,460.0,1793.552269648545,1333.552269648545,711.6823923108527,909.9665652032921,-0.16722397856345997,876,860,757,860,103,810,1800.0,6.447730351454993,False,1164
p15,420.0,1793.5453929940068,1373.5453929940068,717.8267067361666,916.4016112949018,-0.16903465874555776,882,865,755,865,110,813,1800.0,6.454607005993239,False,1161
p16,424.1,1793.534515452334,1369.434515452334,716.4475351146643,915.0872574070263,-0.1659788429802962,878,864,760,864,104,815,1800.0,6.4654845476659375,False,1164
p17,440.0,1793.7397043136639,1353.7397043136639,719.108463075067,915.8195425435463,-0.1479338752047018,875,866,758,866,108,816,1800.0,6.260295686336121,False,1164
