prefix,rows,frost_active_days_frdp_gt0,frost_active_days_frozwt_gt0,max_frdp_mm,max_frozwt_mm,profile_depth_mm
p1,2557,1297,1297,1794.3786484817917,717.6975777808403,1800.0
p2,2557,1082,1082,1793.3194506663845,612.2830920698145,1800.0
p3,2557,1301,1301,1793.5042845201008,687.418150976195,1800.0
p4,2557,1309,1309,1793.180889284538,581.4103875166129,1800.0
p5,2557,1421,1421,1794.6473016430734,714.711289582145,1800.0
p6,2557,1421,1421,1794.6423611111418,716.1622905298435,1800.0
p7,2557,1449,1449,1793.814994218414,651.9064766502438,1800.0
p8,2557,1436,1436,1793.9212188323963,667.0317788573598,1800.0
p9,2557,1447,1447,1793.8675812833055,649.5832435888207,1800.0
p10,2557,1454,1454,1793.8071399966655,654.7498380437307,1800.0
p11,2557,1369,1369,1793.5813138040023,653.3597051584769,1800.0
p12,2557,1455,1455,1793.8202286560165,652.7952730398518,1800.0
p13,2557,1430,1430,1793.9211962918394,667.3558445681005,1800.0
p14,2557,1457,1457,1793.8133166267824,652.8166683144811,1800.0
p15,2557,1455,1455,1793.8154070727664,653.1631243576613,1800.0
p16,2557,1446,1446,1793.8071785135744,654.8045442431428,1800.0
p17,2557,1453,1453,1793.8625228003482,651.4351112748714,1800.0
p18,2557,1456,1456,1793.8071919383922,652.7595221454573,1800.0
p19,2557,1454,1454,1793.8095933504426,654.7584462738309,1800.0
p20,2557,1293,1293,1793.502010815743,655.538569793944,1800.0
p21,2557,1297,1297,1794.390851701554,714.7829255551198,1800.0
p22,2557,1430,1430,1793.9180627419698,668.3116414033942,1800.0
p23,2557,1429,1429,1793.9188534202785,667.0130005858978,1800.0
p24,2557,1454,1454,1793.807140069321,654.7611818099696,1800.0
p25,2557,1441,1441,1794.5630940180904,722.8413016640126,1800.0
p26,2557,1430,1430,1793.9138025908921,668.6592215892955,1800.0
p27,2557,1452,1452,1793.8120629229184,653.0860110177846,1800.0
p28,2557,1438,1438,1793.9138025908921,668.7949488051813,1800.0
p29,2557,1454,1454,1793.8151826689382,652.4110427621292,1800.0
p30,2557,1444,1444,1793.8071728731047,654.8030037817821,1800.0
p31,2557,1451,1451,1793.8071402141145,654.7889635351781,1800.0
p32,2557,1366,1366,1793.517028147255,653.11556871277,1800.0
p33,2557,1441,1441,1794.5635299917215,723.4132450607323,1800.0
p34,2557,1423,1423,1794.649641389708,715.0894737532781,1800.0
p35,2557,1441,1441,1794.5648218827444,720.9623392225149,1800.0
p36,2557,1421,1421,1794.642395322318,716.1533726601259,1800.0
p37,2557,1421,1421,1794.6485298431448,714.0001192369909,1800.0
p38,2557,1439,1439,1794.5642675857127,722.0722867714793,1800.0
p39,2557,1421,1421,1794.642667923345,715.7162955321317,1800.0
p40,2557,1440,1440,1794.5662372982179,722.6005908040856,1800.0
p41,2557,1421,1421,1794.6424036471503,716.1433263023596,1800.0
p42,2557,1441,1441,1794.5631896812404,722.9884108742978,1800.0
p43,2557,1422,1422,1794.6454846067938,715.4079441352608,1800.0
