prefix,legacy_max_depth_mm,openwepp_max_depth_mm,max_depth_delta_mm_open_minus_legacy,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_depth_nonzero_days,openwepp_depth_nonzero_days,legacy_frozen_days_wat,openwepp_frozen_days_wat,frozen_days_delta_open_minus_legacy,open_days_above_200mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,overlap_days
p1,387.9,1794.3786484817917,1406.4786484817919,800.943286004944,972.9381979374957,-0.3966679564670091,827,1154,777,1154,377,1102,1800.0,5.621351518208257,False,1260
p10,421.1,1793.8071399966655,1372.7071399966653,830.4280941507938,1016.6706310071045,-0.43650287515582664,902,1139,755,1139,384,1087,1800.0,6.192860003334545,False,1228
p11,503.2,1793.5813138040023,1290.3813138040023,827.5415968085914,1000.5386645927362,-0.3309669489243222,819,1158,773,1158,385,1099,1800.0,6.4186861959976795,False,1270
p12,440.0,1793.8202286560165,1353.8202286560165,829.096694782181,1014.6040087838348,-0.4087053763401444,892,1140,753,1140,387,1088,1800.0,6.179771343983475,False,1228
p13,440.0,1793.9211962918394,1353.9211962918394,818.6203673730632,1008.8606362996317,-0.29688464822042904,909,1132,758,1132,374,1081,1800.0,6.078803708160649,False,1228
p14,460.0,1793.8133166267824,1333.8133166267824,829.0515936134879,1014.3181202791013,-0.41128405116721506,895,1141,757,1141,384,1084,1800.0,6.186683373217647,False,1230
p15,420.0,1793.8154070727664,1373.8154070727664,830.3262150203477,1016.5570836306669,-0.4311838936249941,901,1139,755,1139,384,1086,1800.0,6.1845929272335525,False,1227
p16,424.1,1793.8071785135744,1369.7071785135745,837.2845521326691,1019.6488145996591,-0.42778077885163585,897,1140,760,1140,380,1089,1800.0,6.192821486425601,False,1230
p17,440.0,1793.8625228003482,1353.8625228003482,825.0369972110146,1011.0691033173099,-0.4062785998843286,894,1140,758,1140,382,1085,1800.0,6.137477199651812,False,1230
p18,440.0,1793.8071919383922,1353.8071919383922,833.0728457766219,1017.8396804441819,-0.4118265059762315,899,1142,759,1142,383,1088,1800.0,6.1928080616078205,False,1230
p19,420.0,1793.8095933504426,1373.8095933504426,830.2728344404522,1016.745051382207,-0.43609096411221854,901,1138,755,1138,383,1086,1800.0,6.190406649557417,False,1227
p2,280.0,1793.3194506663845,1513.3194506663845,655.1927275821909,892.741794703307,-0.026555296318821548,825,911,741,911,170,799,1800.0,6.680549333615545,False,1247
p20,374.3,1793.502010815743,1419.202010815743,749.767194292479,935.4938428642868,-0.3262087765448394,816,1134,779,1134,355,1058,1800.0,6.497989184256994,False,1264
p21,387.0,1794.390851701554,1407.390851701554,801.7892266811829,973.6297246626083,-0.3940253862028615,821,1155,777,1155,378,1103,1800.0,5.609148298445916,False,1260
p22,426.1,1793.9180627419698,1367.8180627419697,817.8639840638681,1008.9451658164844,-0.29876657041018545,910,1131,759,1131,372,1080,1800.0,6.081937258030166,False,1227
p23,440.0,1793.9188534202785,1353.9188534202785,817.8731558407907,1007.9317749943733,-0.2964156790926728,912,1131,764,1131,367,1080,1800.0,6.081146579721462,False,1229
