prefix,active_days,corr_frozwt_frdp,ratio_std,ratio_mean,ratio_min,ratio_max
p1,287,0.8238039023967683,0.07232312179017282,0.17145164118803016,0.0007205449780749573,0.3116412217431357
p2,290,0.8426343439726829,0.06901480729251358,0.18212454914169093,0.010140775508020753,0.3132759082669399
p3,277,0.7658732311541061,0.08086505861806156,0.15803364047980092,0.006468519820383251,0.3134237695548915
p4,320,0.8342797278986963,0.0674690334719802,0.18189078866646535,0.008742492717354918,0.31099994811780945
p5,311,0.8244946147732901,0.07017192341771629,0.16933851394492078,0.001037565584572964,0.3088332219619538
p6,311,0.8240430915829784,0.07022307168785563,0.16927918415342053,0.0007205449780749657,0.3088332219619538
p7,301,0.7704523766563287,0.07732471331094498,0.15263747907200764,0.006820552489862933,0.3106157697737096
p8,301,0.7588557843241952,0.07563064922584764,0.16072124104710017,0.005119505409281393,0.3205415988069661
p9,301,0.7718825800318848,0.07765391431783326,0.1523715984864046,0.004201317312379635,0.3106157697737095
p10,304,0.7643235491942741,0.07729815415493296,0.15288650238507034,0.0064646773871735634,0.3106157697737096
p11,278,0.7755447138088334,0.07761044443761186,0.15545965335552883,0.006468521971217581,0.3113649698228858
p12,304,0.7630867717132497,0.07740076903708488,0.1527750953744272,0.004156930938328093,0.3106157697737096
p13,303,0.7602221604859145,0.07546624461180483,0.16051705393317225,0.005123646367652651,0.3205415988069661
p14,300,0.7729380723194605,0.07756524637605759,0.15270909577061217,0.006640653150325927,0.3106157697737095
p15,304,0.7672971298804692,0.07732044818876799,0.15280575289582207,0.006848274449033255,0.3106157697737096
p16,301,0.7699662279652899,0.07730056648744471,0.15272731878791762,0.006468522052027785,0.3106157697737096
p17,302,0.7674215593863387,0.07722703568063098,0.1528958096982745,0.00420393812849264,0.3106157697737095
p18,301,0.7716116121810137,0.07737340505347441,0.15270248730628147,0.006468522050957892,0.31061576977370947
p19,304,0.7659078880935729,0.07732883626124162,0.15286319079414934,0.006731240321842575,0.3106157697737096
p20,277,0.7647358781145466,0.08083031723781327,0.15810458944568803,0.006468519822313907,0.3134237695548915
p21,287,0.8242678015955774,0.072221098549378,0.17150016160862333,0.001195867366013328,0.31164122174313563
p22,303,0.7601581238818609,0.0754648659586064,0.16053678953570263,0.0050966357909637125,0.32054159880696603
p23,301,0.7610307103216647,0.07569849689353648,0.1606999257477044,0.00508736579003558,0.32054159880696614
p24,304,0.7657886752236022,0.07732466609648365,0.1528752668864268,0.00646422788849724,0.3106157697737096
p25,324,0.8677445027624422,0.07054030108373253,0.19612682650117008,0.006535363898237695,0.3299507281096833
p26,300,0.7603085854426392,0.07580690861700057,0.16087758886389128,0.005043817999786453,0.3205415988069661
p27,302,0.7685107916942563,0.07727694661523586,0.15273512178634682,0.0067931721537797885,0.3106157697737095
p28,301,0.7585445427147528,0.07559160033440898,0.16080879059446604,0.005043818000242759,0.32054159880696603
p29,302,0.7691263108731553,0.07729853551798063,0.15265144051629598,0.006832943898059633,0.3106157697737095
p30,302,0.7709622492575549,0.07718343176093734,0.15261219877210577,0.00646852205228894,0.3106157697737096
p31,302,0.7673090377261459,0.07730440233108944,0.15281977029239568,0.006468522055301437,0.3106157697737096
p32,277,0.7656983895788616,0.08081414713670158,0.15798333660515904,0.00681346330859619,0.31342376955489154
p33,324,0.8676556149467896,0.07053943535785444,0.1961288675570967,0.006572730573487468,0.3299507281096833
p34,313,0.8240313368721578,0.06999680616765759,0.16930114415738715,0.0010203411054036326,0.30883322196195384
p35,323,0.8677965769488014,0.0706131461457498,0.1962789679514362,0.0062422137427556035,0.3299507281096833
p36,311,0.8237164342372706,0.07021467187748251,0.1692866298825384,0.0007205449780749734,0.3088332219619538
p37,311,0.8247387141954546,0.070173899952796,0.16933403714039874,0.0011114672251091521,0.30883322196195384
p38,324,0.8674191670183574,0.07051479364131548,0.19612895944041941,0.0066448242275029806,0.3299507281096834
p39,311,0.8238296818441678,0.07020894571469713,0.16928164061217293,0.0007812964615662161,0.30883322196195384
p40,326,0.8677993973935473,0.0704313141826601,0.19611688665090232,0.007490176149449795,0.32995072810968334
p41,311,0.8235951515092791,0.0702133221831626,0.16929146335057466,0.0007205449780749629,0.3088332219619538
p42,324,0.8677760579493213,0.07054286961221246,0.19612632268665503,0.00652319613279709,0.32995072810968334
p43,311,0.8233854335914598,0.07020715524743669,0.16928251538480693,0.000895074491253348,0.3088332219619538
