prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,wat_flux_balance_mm,initial_storage_mm,final_storage_mm,rm_mm,irr_mm,interception_mm,q_mm,ep_mm,es_mm,er_mm,dp_mm,latqcc_mm,tile_mm,ledger
p1,1,-0.9616983527049001,0.9616983527049001,-314.8727911028852,-315.8344894555901,605.8465601499812,290.973769047096,1011.2,0.0,93.75848944941498,917.441510550585,261.44136931548326,0.07223773010382978,0.0,39.58006181663857,14.740820593364415,0.0,independent_wat_flux_minus_additive_storage_delta
p1,2,-0.022261272887243777,0.022261272887243777,-14.478113272520659,-14.500374545407903,290.95150777420884,276.4733945016882,970.4444774860931,0.0,87.40963838211141,883.0348391039818,14.500374545407789,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,3,-0.00843914682748359,0.00843914682748359,-5.37104001680467,-5.379479163632154,276.46495535486065,271.093915338056,886.6377659398838,0.0,77.43923411289717,809.1985318269867,5.379479163632154,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,4,-0.004141040299066923,0.004141040299066923,-2.0513849795403303,-2.055526019839397,271.0897742977571,269.0383893182168,1133.2810899073563,0.0,102.08406391576321,1031.1970259915934,2.05552601983917,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,5,-0.00357719732668782,0.00357719732668782,-0.9430795757448891,-0.9466567730715769,269.03481212089014,268.09173254514525,810.4366666666667,0.0,95.48794334925576,714.9487233174109,0.9466567730716906,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,6,-0.0018906428494974703,0.0018906428494974703,-0.540181858310973,-0.5420725011604705,268.0898419022958,267.54966004398483,750.7,0.0,91.2840639157632,659.4159360842368,0.5420725011604705,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,7,-0.001165891802146768,0.001165891802146768,-0.35010360635737925,-0.351269498159526,267.54849415218257,267.1983905458252,718.656296303368,0.0,95.89800008163374,622.7582962217341,0.3512694981596397,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,1,-1.0505061950727281,1.0505061950727281,-232.99767887732847,-234.0481850724012,372.3159799599492,139.3183010826207,1011.2,0.0,93.75848944941498,917.441510550585,182.09661176597194,0.047194777736972754,0.0,29.806876623208495,22.09750190548379,0.0,independent_wat_flux_minus_additive_storage_delta
p2,2,-0.009814287055202264,0.009814287055202264,-3.534462919456786,-3.544277206511988,139.30848679556559,135.7740238761088,970.571889862038,0.0,87.40963838211141,883.1622514799267,3.5442772065118744,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,3,-0.003666272715413754,0.003666272715413754,-1.1660157573211336,-1.1696820300365474,135.77035760339356,134.60434184607243,887.7584684293508,0.0,77.65144687972305,810.1070215496279,1.1696820300364337,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,4,-0.001573140833641573,0.001573140833641573,-0.5676374455493658,-0.5692105863830074,134.6027687052388,134.03513125968942,1132.0329750419444,0.0,102.08406391576321,1029.9489111261812,0.5692105863830074,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,5,-0.0011634867751262323,0.0011634867751262323,-0.3347028558432328,-0.335866342618359,134.0339677729143,133.69926491707108,810.4366666666667,0.0,95.57127668258909,714.8653899840776,0.335866342618359,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,6,-0.0007437928543185535,0.0007437928543185535,-0.22511010910380946,-0.22585390195812802,133.6985211242168,133.473411015113,750.7,0.0,91.2840639157632,659.4159360842368,0.22585390195812802,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,7,-0.000514444813591225,0.000514444813591225,-0.14034890438708203,-0.14086334920067325,133.47289657029953,133.33254766591244,732.0419084384423,0.0,95.99800008163375,636.0439083568086,0.14086334920055957,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p3,1,-0.929553675483362,0.929553675483362,-268.91219836531207,-269.8417520407954,554.8511975036711,285.938999138359,1011.2,0.0,93.75848944941498,917.441510550585,259.88099795520077,0.14916824689566105,0.0,9.81158583869899,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p3,2,-0.023365417184511017,0.023365417184511017,-12.180536331241399,-12.20390174842591,285.91563372117463,273.73509738993323,969.2162088031613,0.0,87.40963838211141,881.80657042105,12.203901748425796,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
