prefix,year,residual_mm,abs_residual_mm,storage_delta_mm,wat_flux_balance_mm,initial_storage_mm,final_storage_mm,rm_mm,irr_mm,interception_mm,q_mm,ep_mm,es_mm,er_mm,dp_mm,latqcc_mm,tile_mm,ledger
p1,1,-0.9616983498050331,0.9616983498050331,-314.8711818637975,-315.83288021360255,605.8465601499814,290.9753782861839,1011.2,0.0,93.75848944941498,917.441510550585,261.4419744917929,0.07002331180668547,0.0,39.58006181663857,14.740820593364415,0.0,independent_wat_flux_minus_additive_storage_delta
p1,2,-7.460698725481052e-14,7.460698725481052e-14,-14.501572065045082,-14.501572065045156,290.9753782861839,276.47380622113883,970.4444774860931,0.0,87.40963838211141,883.0348391039818,14.501572065045043,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,3,-2.5757174171303632e-14,2.5757174171303632e-14,-5.379715040287238,-5.379715040287263,276.47380622113883,271.0940911808516,886.6377659398838,0.0,77.43923411289717,809.1985318269867,5.379715040287263,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,4,-2.5357493882438575e-13,2.5357493882438575e-13,-2.0556311377488896,-2.055631137749143,271.0940911808516,269.0384600431027,1133.2810899073563,0.0,102.08406391576321,1031.1970259915934,2.055631137748916,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,5,1.4654943925052066e-13,1.4654943925052066e-13,-0.9466899792064964,-0.9466899792063499,269.0384600431027,268.0917700638962,810.4366666666667,0.0,95.48794334925576,714.9487233174109,0.9466899792064636,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,6,-1.91402449445377e-13,1.91402449445377e-13,-0.5420869206279235,-0.5420869206281149,268.0917700638962,267.5496831432683,750.7,0.0,91.2840639157632,659.4159360842368,0.5420869206281149,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p1,7,4.18554080283684e-14,4.18554080283684e-14,-0.3512773541801266,-0.35127735418008477,267.5496831432683,267.19840578908816,718.656296303368,0.0,95.89800008163374,622.7582962217341,0.35127735418019845,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,1,-1.0505061950726997,1.0505061950726997,-232.83667546033374,-233.88718165540644,372.3159799599492,139.47930449961544,1011.2,0.0,93.75848944941498,917.441510550585,181.94389107421827,0.03891205249587322,0.0,29.806876623208495,22.09750190548379,0.0,independent_wat_flux_minus_additive_storage_delta
p2,2,-1.4077627952246985e-13,1.4077627952246985e-13,-3.6641931992470234,-3.664193199247164,139.47930449961544,135.81511130036841,970.571889862038,0.0,87.40963838211141,883.1622514799267,3.6641931992470504,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
p2,3,-1.432187701766452e-13,1.432187701766452e-13,-1.193100299555141,-1.1931002995552842,135.81511130036841,134.62201100081327,887.7584684293508,0.0,77.65144687972305,810.1070215496279,1.1931002995551705,0.0,0.0,0.0,0.0,0.0,independent_wat_flux_minus_additive_storage_delta
