prefix,active_days,corr_frozwt_frdp,ratio_std,ratio_mean,ratio_min,ratio_max
p1,1258,0.7572024833395269,0.052291571749276504,0.1408706075838511,0.00011394903869864295,0.3116412217431357
p2,1270,0.6923646035695221,0.05417044039157855,0.14353721636508113,0.0006902707488939931,0.31327590826693985
p3,1252,0.7519921164558834,0.05429451012948711,0.12761546995020628,0.0009217075131238172,0.31342376955489154
p4,1286,0.6770815336409134,0.05601888734114157,0.14277948602926116,0.0011207933582210422,0.3109999481178094
p5,1264,0.7194726679470356,0.05559235022283455,0.14072189571301674,0.0005633711473693077,0.3088332219619538
p6,1263,0.7227054416185534,0.05540902214218318,0.1409015106904927,0.00011394903869864295,0.30883322196195384
p7,1247,0.7134567125791033,0.05710074220029686,0.13010097093324446,7.43798644466877e-05,0.3106157697737096
p8,1269,0.700445177101215,0.05440720144404182,0.12841659966301253,0.00033029197963761254,0.32054159880696614
p9,1247,0.7157735957673484,0.05708423390809659,0.13003573215429795,0.0013254857402845864,0.3106157697737095
p10,1259,0.7085863024639076,0.057180949910991014,0.1307597626967613,0.00019271423366990626,0.3106157697737096
p11,1235,0.7678885766208438,0.059204744021841865,0.13880405601766835,0.00087440951850507,0.31136496982288586
p12,1257,0.7020200109165053,0.05719723600540816,0.13058759181272084,0.0004983064675057498,0.31061576977370947
p13,1269,0.7022336058183387,0.05425440627077584,0.1285964919069588,0.001397241100035941,0.3205415988069661
p14,1242,0.7198794966439732,0.05695422322324498,0.12991512396664473,0.001965918788220766,0.3106157697737096
p15,1258,0.7080225118065157,0.057300315363034364,0.1308035813571946,0.0011947571941276882,0.3106157697737095
p16,1252,0.712578345427864,0.05722515187553848,0.13019322968915373,0.000873809885339265,0.3106157697737096
p17,1254,0.7059913939508207,0.057266688270066465,0.13044396722910703,0.0001957818791509206,0.3106157697737096
p18,1251,0.7106597104591531,0.05733104609292821,0.12989072462067625,0.0003450605924550148,0.3106157697737095
p19,1259,0.7086737509966509,0.05726651623562251,0.13075654508608875,0.0008737181751194386,0.3106157697737096
p20,1253,0.7511553531669798,0.05437422683037898,0.12763767669709078,0.0008738092767121171,0.3134237695548915
p21,1256,0.7592819189800563,0.05228178532175974,0.1408638027373581,0.000917555463978918,0.3116412217431357
p22,1269,0.7013134408671469,0.05428718890543378,0.1285734602773903,0.0005175220278878146,0.3205415988069661
p23,1266,0.7024671542126206,0.05438304422172463,0.12836609737948584,0.0007890643895326736,0.32054159880696603
p24,1259,0.7080270402180844,0.05729567405586638,0.13071276913783114,0.0008738098860477365,0.3106157697737096
p25,1262,0.7308551412119447,0.06151197065878126,0.16372198069938257,0.0007192147114917871,0.33103497546426
p26,1264,0.7028222286478479,0.0543562297724068,0.12838848702899125,1.4209098409546008e-06,0.32054159880696603
p27,1255,0.7088922160103763,0.057225908986066686,0.13061331662888762,0.00036515763640014044,0.3106157697737096
p28,1269,0.699566397783884,0.05445360226792,0.12837535077301312,0.0001634979916076707,0.32054159880696614
p29,1250,0.7093164886612218,0.0571841504262918,0.13033769907929685,0.00023960505349086408,0.3106157697737096
p30,1254,0.7104968164974887,0.05735357823660598,0.13010711189856589,0.0006558010652536936,0.3106157697737096
p31,1258,0.7070914045562217,0.05742289102026315,0.13048013272022835,3.379594530794709e-05,0.3106157697737096
p32,1250,0.7527390259977813,0.05431927013264283,0.12747342440441117,0.00031942417152565214,0.3134237695548915
p33,1262,0.7313985211437206,0.061460288139934705,0.16375880407157256,0.001223561755006563,0.331064157668066
p34,1264,0.7172876148511403,0.05545811289754435,0.14083641028082186,0.00033547824190801006,0.30883322196195384
p35,1259,0.7410880622127652,0.060827741464521426,0.16426668686371868,0.0013160560765828905,0.33097265946312393
p36,1263,0.7236099301168131,0.055323827421833706,0.14097438473212776,0.00011394903869864295,0.30883322196195384
p37,1259,0.7205542799834179,0.05547926808368653,0.14083229235076342,0.000174258344110914,0.30883322196195384
p38,1262,0.731640805875645,0.06139252394893968,0.16380648281209317,0.0012570649990571114,0.33109679419963617
p39,1263,0.7232530250561476,0.05535563005561363,0.14094617904000348,0.00015906610586551552,0.3088332219619538
p40,1264,0.731535152717038,0.06114783799382407,0.16390636295568642,0.0015792493578239881,0.3310723937498306
p41,1263,0.7238035377831509,0.055293081642508894,0.14099957727914536,0.00011394903869864295,0.30883322196195384
p42,1262,0.7306367006323098,0.06153413079741366,0.16370715282159415,0.0006144648357637597,0.33103074218454576
p43,1264,0.7214294200984486,0.05539786643040848,0.14089582336079587,0.00042556740294260936,0.30883322196195384
