prefix,legacy_max_depth_mm,openwepp_max_depth_mm,max_depth_delta_mm_open_minus_legacy,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_depth_nonzero_days,openwepp_depth_nonzero_days,legacy_frozen_days_wat,openwepp_frozen_days_wat,frozen_days_delta_open_minus_legacy,open_days_above_200mm,open_full_wat_days_above_200mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,overlap_days,metric_basis
p1,387.9,662.5128003882418,274.6128003882418,118.91637159977905,169.70011154749747,0.8763369531536204,827,950,777,950,173,490,505,1800.0,1137.4871996117581,False,1260,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p2,280.0,740.1063016676253,460.1063016676253,153.21797399061708,230.7863517850268,0.7005494720846162,825,974,741,974,233,486,519,1800.0,1059.8936983323747,False,1247,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p3,384.5,649.0999542591815,264.59995425918146,111.74764707661316,155.33665271410155,0.9241776507304044,815,910,782,910,128,555,564,1800.0,1150.9000457408185,False,1264,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p4,240.0,741.4969698215496,501.49696982154956,190.43541350332004,271.3730375696407,0.5826555622003189,928,1028,728,1028,300,513,570,1800.0,1058.5030301784504,False,1211,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p5,420.0,664.6992901232692,244.69929012326918,130.5957212284135,190.97417133409246,0.7520953322205255,910,955,761,955,194,531,564,1800.0,1135.3007098767307,False,1229,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p6,420.0,664.9776574864459,244.97765748644588,129.80633474077,190.0985038158014,0.7536688069742243,910,956,764,956,192,531,564,1800.0,1135.0223425135541,False,1228,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p7,420.0,649.8559389221068,229.85593892210682,128.57463951759112,185.50777596454543,0.7717669047015118,888,913,750,913,163,558,586,1800.0,1150.1440610778932,False,1230,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p8,440.0,677.7757710204047,237.7757710204047,146.03321437733965,207.93260910559752,0.7833869424927375,911,959,759,959,200,551,583,1800.0,1122.2242289795954,False,1228,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p9,460.0,648.9567620333221,188.9567620333221,122.4919422481493,178.82027408083357,0.7710988117730501,894,908,755,908,153,557,586,1800.0,1151.043237966678,False,1230,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p10,421.1,652.8382100502781,231.7382100502781,131.62410561130145,189.6029606623665,0.7662961915311604,902,928,755,928,173,561,593,1800.0,1147.1617899497219,False,1228,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p11,503.2,558.1869128158116,54.98691281581165,131.82519983595387,187.94067624020408,0.6951309857265983,819,889,773,889,116,564,575,1800.0,1241.8130871841884,False,1270,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p12,440.0,653.1478779641836,213.14787796418364,128.47876851546883,185.46929002207486,0.7753586293990758,892,922,753,922,169,561,592,1800.0,1146.8521220358164,False,1228,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p13,440.0,678.3098746954158,238.30987469541583,146.5042858343118,208.55947485749033,0.7836143249398381,909,962,758,962,204,551,584,1800.0,1121.6901253045842,False,1228,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p14,460.0,648.1345621338289,188.13456213382892,122.12141158822958,178.34712358451173,0.770042438411068,895,905,757,905,148,556,584,1800.0,1151.865437866171,False,1230,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p15,420.0,652.044363247955,232.04436324795495,131.36700982073108,189.2110395153474,0.771972811794707,901,925,755,925,170,561,591,1800.0,1147.955636752045,False,1227,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p16,424.1,649.865637110386,225.76563711038602,127.70498078545879,184.6971963433381,0.7726742143127325,897,918,760,918,158,560,589,1800.0,1150.1343628896138,False,1230,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p17,440.0,650.9075011458751,210.90750114587513,126.66103981335262,183.40634992475782,0.772692715198731,894,918,758,918,160,561,590,1800.0,1149.0924988541249,False,1230,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p18,440.0,649.352833009984,209.352833009984,125.64871867735344,182.3060638747935,0.7716751316147282,899,914,759,914,155,558,586,1800.0,1150.647166990016,False,1230,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p19,420.0,652.4402757195883,232.44027571958827,131.9449116707218,189.98302338565412,0.7688224251495115,901,927,755,927,172,561,592,1800.0,1147.5597242804117,False,1227,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p20,374.3,649.6080964227579,275.30809642275784,113.41386031971425,157.28485712790433,0.9265898847305204,816,911,779,911,132,555,564,1800.0,1150.3919035772421,False,1264,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p21,387.0,662.3298117376063,275.3298117376063,118.93951293494534,169.8309552223487,0.8767957351814,821,946,777,946,169,491,506,1800.0,1137.6701882623938,False,1260,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p22,426.1,678.3374044859448,252.2374044859448,147.40740839354405,209.56718874936988,0.7825335949847987,910,963,759,963,204,552,585,1800.0,1121.6625955140553,False,1227,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p23,440.0,677.2188871446524,237.2188871446524,143.95746565338365,205.50923014314787,0.7853695626365055,912,954,764,954,190,549,580,1800.0,1122.7811128553476,False,1229,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p24,420.0,652.3375464029963,232.33754640299628,131.42175460068898,189.50104706215836,0.7680487673410425,901,926,755,926,171,561,592,1800.0,1147.6624535970036,False,1228,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p25,400.0,623.8888146852803,223.8888146852803,119.04569453884726,177.7860408389425,0.740069947782989,917,975,755,975,220,494,526,1800.0,1176.1111853147197,False,1227,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p26,440.0,676.9086030621829,236.90860306218292,141.7627930564909,203.29160373263056,0.7856518441698686,914,952,764,952,188,550,581,1800.0,1123.091396937817,False,1229,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p27,420.0,650.8131592105163,230.81315921051635,132.03962372636576,189.7103142736933,0.7691618212847917,894,924,754,924,170,562,591,1800.0,1149.1868407894835,False,1230,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p28,440.0,677.9892893513418,237.98928935134177,142.39496134309454,204.27180498467536,0.7831625799575683,917,959,768,959,191,551,582,1800.0,1122.0107106486582,False,1228,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p29,420.0,650.9882092579145,230.9882092579145,129.51332637085608,186.72282827346132,0.770364345889922,892,919,751,919,168,561,589,1800.0,1149.0117907420854,False,1230,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p30,420.0,649.950751700848,229.95075170084795,130.05384614242035,187.0290775680499,0.7736827044735121,891,919,754,919,165,562,591,1800.0,1150.0492482991522,False,1230,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p31,440.0,651.1646941065245,211.1646941065245,129.62047672979836,187.22610624101492,0.766812919037986,906,924,763,924,161,562,591,1800.0,1148.8353058934754,False,1229,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p32,403.3,649.4153090132845,246.1153090132845,110.79462802306735,153.8471933851043,0.9194847486834004,814,908,781,908,127,554,564,1800.0,1150.5846909867155,False,1263,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p33,400.0,624.1440569234958,224.14405692349578,125.95848913753302,184.55156867091546,0.7357739994656848,918,975,756,975,219,494,526,1800.0,1175.8559430765042,False,1227,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p34,420.0,665.9670587745713,245.96705877457134,131.9558248303032,191.83958986796392,0.7568185606372635,904,955,761,955,194,532,565,1800.0,1134.0329412254287,False,1228,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p35,400.0,623.2496655523798,223.24966555237984,117.40190485853829,175.79891992367996,0.7417802720016156,915,969,755,969,214,491,522,1800.0,1176.7503344476202,False,1227,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p36,420.0,665.2812572215958,245.28125722159575,129.8716389282725,190.39058135125325,0.7538454360507185,909,956,764,956,192,532,565,1800.0,1134.7187427784042,False,1228,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p37,420.0,664.4344208326562,244.4344208326562,130.5505459333263,190.47326157467867,0.768398769370553,902,950,755,950,195,529,561,1800.0,1135.565579167344,False,1227,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p38,400.0,624.2820889807609,224.28208898076093,121.5545099381817,183.36876739991249,0.7081910208815209,914,976,750,976,226,492,525,1800.0,1175.7179110192392,False,1225,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p39,420.0,665.1312583122567,245.1312583122567,133.00296887133408,193.1148471622367,0.770320106945254,907,956,756,956,200,531,564,1800.0,1134.8687416877433,False,1226,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p40,400.0,625.0271502579272,225.02715025792725,131.68323591664813,193.71094026882142,0.6982569109472959,913,981,746,981,235,491,526,1800.0,1174.9728497420729,False,1223,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p41,420.0,665.2623546513178,245.26235465131776,131.34131145104345,191.82378284769956,0.7537146395088289,906,956,760,956,196,533,566,1800.0,1134.7376453486822,False,1228,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p42,400.0,623.8544001042251,223.85440010422508,118.69356866613825,177.53779535770906,0.7399663991428046,917,975,756,975,219,494,526,1800.0,1176.145599895775,False,1227,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p43,420.0,665.2343997553238,245.2343997553238,130.59467318599306,190.92393471406692,0.7497845225466487,917,956,770,956,186,531,564,1800.0,1134.765600244676,False,1229,legacy FDMC01 winter-depth pairs joined to De forced-legacy-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
