prefix,active_days,corr_frozwt_frdp,ratio_std,ratio_mean,ratio_min,ratio_max
p1,1074,0.8022173574252781,0.05107372127253032,0.14681245388783568,0.0005747659551775329,0.31164122174313574
p2,1113,0.7732841888266538,0.050980627075788314,0.15107477271531375,0.0008326495984537744,0.3132759082669399
p3,1018,0.787042971216214,0.054983640921717855,0.13261737032449664,0.003910639533072216,0.3134237695548915
p4,1107,0.7534502498814636,0.054065566241847766,0.1516955958643154,0.0007437091156367799,0.3109999481178094
p5,1063,0.7825316637644415,0.054247609328276096,0.14636052897704097,0.0001334771120422008,0.3088332219619539
p6,1065,0.7830919434625185,0.05418270341024162,0.14637352056132208,0.00016305727397585213,0.3088332219619538
p7,1012,0.7720810177682284,0.05832540174742189,0.13257244807150156,0.0006770806150273052,0.3106157697737096
p8,1057,0.7528938801114848,0.05462407458517249,0.13338500723112454,8.705422107197416e-05,0.32054159880696614
p9,1009,0.7722201153110158,0.05831874403376742,0.13263644155569065,0.0008574661624609252,0.3106157697737095
p10,1023,0.7709898636074511,0.058444226438079734,0.13225627574691406,0.0003368303270083915,0.3106157697737095
p11,980,0.8118070287755077,0.05845800496922583,0.1372785690046256,0.000584774964909503,0.311364969822886
p12,1024,0.7718285030706575,0.05837562099142471,0.1323071625442629,0.00045573940468516497,0.3106157697737096
p13,1057,0.7534221797177472,0.054554723724187223,0.13344278915953905,0.001380647447191047,0.32054159880696603
p14,1010,0.7741427473541866,0.05818834102167315,0.13278685088599265,0.0003334610114555448,0.31061576977370947
p15,1019,0.7700667133504575,0.05849539476722928,0.13231884313099646,7.283520226253795e-05,0.3106157697737095
p16,1013,0.7721910054232377,0.05828914864919605,0.1325607055407806,0.000380647760615456,0.3106157697737095
p17,1015,0.7747299572176831,0.05823718616808738,0.1326121547653637,0.0008902802725427454,0.3106157697737096
p18,1010,0.7726563295341292,0.058281760775956634,0.13263593796801956,0.0008045026446272675,0.3106157697737096
p19,1020,0.769637527900591,0.058559239569414626,0.13225477648692757,0.0002586086370872734,0.3106157697737095
p20,1019,0.7879533477958984,0.05492455128818263,0.13264058892821018,0.0040237850890135,0.31342376955489143
p21,1073,0.8020382462807865,0.05112189918810539,0.14679468784757801,0.0005400926886373722,0.31164122174313574
p22,1058,0.7537459025986415,0.05452197920808386,0.1334501982539583,0.0013838493487639074,0.3205415988069661
p23,1052,0.752430353361308,0.05453256256500079,0.13355274415173055,0.0002824361623551435,0.32054159880696603
p24,1020,0.7694871099826067,0.05857153978666838,0.13223889259438415,0.00016587976880467505,0.3106157697737095
p25,1084,0.803410457325692,0.05721451543286505,0.17294058964726064,0.0005212587487392354,0.3301215374530463
p26,1052,0.7540300433424464,0.054494848652087875,0.13355846068603672,0.0021894022456068686,0.32054159880696603
p27,1014,0.7738658008466673,0.05829919407618534,0.13258037439817358,0.0021341405647779077,0.3106157697737095
p28,1056,0.7545819741843492,0.05457848690698151,0.13341996574518,0.0008871370655555836,0.3205415988069661
p29,1014,0.7736650914953771,0.05831652891052796,0.13255943915340906,0.0007511193367194745,0.31061576977370964
p30,1013,0.7723863266933135,0.05827100192624144,0.13258859938538758,0.0009560461924213729,0.3106157697737095
p31,1014,0.7741039066703364,0.0582737040246345,0.13261347932258324,0.0022968993981295305,0.3106157697737095
p32,1019,0.7877332284743915,0.05493613763471019,0.1326198299504887,0.004014090475096437,0.3134237695548915
p33,1084,0.8034944394435993,0.05718131211670864,0.172956634577865,0.0004903861807180729,0.3301221047630702
p34,1067,0.7812411883003294,0.05428160685652037,0.14626006696594823,0.0010907378282257322,0.3088332219619539
p35,1081,0.8045953680604345,0.05692008536698959,0.1732519765098903,0.0007493363598911469,0.3301186297809455
p36,1064,0.7830980334290673,0.054181428307884666,0.1463938900159193,0.0003241265673249078,0.3088332219619538
p37,1062,0.7821606161058446,0.054286252740992406,0.14635226399449938,0.00027220156710681275,0.3088332219619538
p38,1083,0.8020420841680574,0.05734657085217926,0.17284221290164611,0.00024191679822732173,0.33012178505598105
p39,1063,0.7827349952262018,0.05421551733348317,0.14638843212462965,0.00023814617147142403,0.3088332219619539
p40,1083,0.8031348514416855,0.0570755997126642,0.17297787819305277,0.0006295390444970069,0.33012121187731586
p41,1064,0.7831459805206384,0.05416917852042386,0.1464021421065952,0.00022030524400762437,0.3088332219619538
p42,1084,0.8034119088551821,0.0572261852355948,0.17293552268289095,0.0004989875859017563,0.33012171500978843
p43,1063,0.7831069477016496,0.05417095353357035,0.1464166915580949,0.0007229914239045621,0.3088332219619538
