prefix,legacy_max_depth_mm,openwepp_max_depth_mm,max_depth_delta_mm_open_minus_legacy,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_depth_nonzero_days,openwepp_depth_nonzero_days,legacy_frozen_days_wat,openwepp_frozen_days_wat,frozen_days_delta_open_minus_legacy,open_days_above_200mm,open_full_wat_days_above_200mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,overlap_days,metric_basis
p1,387.9,581.028296134498,193.128296134498,76.55358961698641,122.95806610106999,0.8721011781132543,779,844,777,874,97,493,523,1800.0,1218.9717038655021,False,1260,legacy FDMC01 winter-depth pairs joined to Dg native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p2,280.0,616.5385754860384,336.53857548603844,102.52022995503431,176.29374428001182,0.6006437358149749,743,850,741,899,158,463,510,1800.0,1183.4614245139614,False,1247,legacy FDMC01 winter-depth pairs joined to Dg native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p3,384.5,578.634961747191,194.13496174719103,74.86008483809792,113.81274391547262,0.927099581880252,785,832,782,853,71,524,545,1800.0,1221.365038252809,False,1264,legacy FDMC01 winter-depth pairs joined to Dg native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p4,240.0,484.1251357309388,244.12513573093878,98.49791210297715,156.68541613899524,0.41147992630566715,737,773,728,864,136,303,375,1800.0,1315.8748642690612,False,1211,legacy FDMC01 winter-depth pairs joined to Dg native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p5,404.7,479.1871395181549,74.48713951815489,49.97771287276702,102.29755039643435,0.7532825686513619,768,783,761,848,87,346,398,1800.0,1320.812860481845,False,1229,legacy FDMC01 winter-depth pairs joined to Dg native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p6,406.3,479.40124758580214,73.10124758580213,49.249589633538896,101.42993124798494,0.7565896518705756,771,782,764,848,84,346,398,1800.0,1320.5987524141979,False,1228,legacy FDMC01 winter-depth pairs joined to Dg native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p7,420.0,487.910614651981,67.910614651981,56.59351914998622,108.4953636361021,0.7685250286035231,759,777,750,834,84,412,459,1800.0,1312.089385348019,False,1230,legacy FDMC01 winter-depth pairs joined to Dg native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p8,426.7,538.5134914684227,111.81349146842268,66.36282328571667,125.48480621892939,0.7306890072451316,766,783,759,847,88,385,437,1800.0,1261.4865085315773,False,1228,legacy FDMC01 winter-depth pairs joined to Dg native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p9,449.9,487.25253731172677,37.35253731172679,51.02762306247062,102.25807002013475,0.7885257952309999,765,776,755,833,78,412,459,1800.0,1312.7474626882731,False,1230,legacy FDMC01 winter-depth pairs joined to Dg native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
p10,421.1,488.93281543312185,67.83281543312182,56.941426658360434,109.55771150719988,0.7639280917730426,764,777,755,837,82,413,462,1800.0,1311.067184566878,False,1228,legacy FDMC01 winter-depth pairs joined to Dg native-snow WAT frdp by sim_day_index; duration uses full WAT frozwt days
