prefix,legacy_max_depth_mm,openwepp_max_depth_mm,max_depth_delta_mm_open_minus_legacy,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_depth_nonzero_days,openwepp_depth_nonzero_days,legacy_frozen_days_wat,openwepp_frozen_days_wat,frozen_days_delta_open_minus_legacy,open_days_above_200mm,open_full_wat_days_above_200mm,profile_depth_mm,margin_to_profile_mm,pinned_profile_bound,overlap_days,metric_basis
p1,387.9,575.986434148365,188.08643414836502,59.60644399155202,102.23936215789327,0.8934256565499201,779,811,779,825,46,392,406,1800.0,1224.0135658516351,False,1260,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p2,280.0,608.1707348530412,328.17073485304115,85.47906718130416,160.29073026308993,0.5702240564350198,743,814,743,844,101,374,403,1800.0,1191.8292651469587,False,1247,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p3,384.5,574.5503832237142,190.05038322371422,58.30367736801121,91.8275002217165,0.9502932896444937,785,804,785,813,28,470,479,1800.0,1225.449616776286,False,1264,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p4,240.0,477.346419632815,237.346419632815,94.23496971984933,150.62023128304435,0.4300817944822122,737,786,737,837,100,317,361,1800.0,1322.653580367185,False,1211,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p5,404.7,485.5196011519498,80.81960115194983,50.888091457342064,102.04900746987029,0.7622573031014612,768,797,768,833,65,389,421,1800.0,1314.4803988480503,False,1229,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p6,406.3,486.04795555228975,79.74795555228974,50.29269250688217,101.50829260599431,0.7644006122946242,771,796,771,833,62,389,421,1800.0,1313.9520444477103,False,1228,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p7,420.0,493.91824687899737,73.91824687899737,58.071740287474256,108.42142112686939,0.7741518005113405,759,788,759,821,62,426,455,1800.0,1306.0817531210027,False,1230,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p8,426.7,542.0465511412103,115.34655114121034,68.1358120676053,126.0690367401913,0.7394175874677787,766,802,766,838,72,401,433,1800.0,1257.9534488587897,False,1228,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p9,449.9,494.2322672680058,44.33226726800581,52.50330547133421,103.34904517819054,0.7877827380373283,765,789,765,823,58,428,458,1800.0,1305.7677327319943,False,1230,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p10,421.1,489.83972718311395,68.73972718311393,56.484994272066636,107.63346946957668,0.7730120733432834,764,787,764,822,58,420,450,1800.0,1310.160272816886,False,1228,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p11,503.2,533.4930312260968,30.293031226096844,118.10122130750905,175.60220422286994,0.6383814209585084,781,833,781,837,56,531,535,1800.0,1266.5069687739033,False,1270,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p12,428.8,488.3040860884294,59.5040860884294,53.609582660547595,103.67219482760714,0.7853665229644805,760,788,760,822,62,420,450,1800.0,1311.6959139115706,False,1228,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p13,426.7,541.5783166499424,114.8783166499424,67.92453867886186,125.86361304803488,0.7401744158360307,766,802,766,838,72,400,432,1800.0,1258.4216833500577,False,1228,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p14,446.8,497.27011767093927,50.47011767093926,54.461886148333264,106.23493615060865,0.7779145910992168,765,788,765,822,57,430,460,1800.0,1302.7298823290607,False,1230,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p15,418.9,490.5195731804913,71.61957318049133,57.115791265080006,107.69171545058416,0.7744126065173523,763,787,763,821,58,422,452,1800.0,1309.4804268195087,False,1227,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p16,424.1,494.7020095594032,70.6020095594032,56.86486317451143,107.68094963934593,0.7781940022288479,767,791,767,825,58,429,459,1800.0,1305.2979904405968,False,1230,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p17,440.0,490.651237836998,50.65123783699801,52.830042194507385,102.74556596259762,0.7911675873528075,766,788,766,821,55,422,451,1800.0,1309.348762163002,False,1230,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p18,433.0,495.80372250042456,62.803722500424556,55.701225886045805,106.61944606828905,0.7812784411432802,769,788,769,822,53,429,459,1800.0,1304.1962774995754,False,1230,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p19,418.2,490.25868576827224,72.05868576827226,57.347373954920286,108.20954798281403,0.7735837887421045,763,788,763,822,59,422,452,1800.0,1309.7413142317278,False,1227,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p20,374.3,574.0403344035725,199.7403344035725,59.782189779076155,94.23755615017048,0.9478805664895509,782,808,782,816,34,471,479,1800.0,1225.9596655964274,False,1264,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p21,387.0,575.7553638287994,188.75536382879943,59.61176350074833,102.37890608691147,0.8929396322813271,779,810,779,824,45,392,406,1800.0,1224.2446361712005,False,1260,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p22,426.1,541.7478001825874,115.64780018258739,68.60450624297876,126.41765030699516,0.7404901815733569,768,802,768,838,70,401,433,1800.0,1258.2521998174125,False,1227,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p23,428.1,543.4747704092794,115.37477040927934,67.64527231052321,125.38800142938385,0.7435450982981866,769,803,769,838,69,404,435,1800.0,1256.5252295907208,False,1229,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p24,420.0,490.4898841022819,70.4898841022819,56.77583368497454,107.60338414132718,0.7757546642916764,763,788,763,822,59,422,452,1800.0,1309.5101158977182,False,1228,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p25,400.0,423.3781711838094,23.3781711838094,41.373252756486735,88.79965617329731,0.7414015378260055,767,793,767,828,61,296,327,1800.0,1376.6218288161906,False,1227,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p26,428.9,544.4947870213703,115.59478702137028,66.92878875121606,124.89658238390099,0.7438890174348017,772,804,772,839,67,406,437,1800.0,1255.5052129786297,False,1229,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p27,420.0,492.4305670078043,72.43056700780431,58.191181192115046,108.54467524768107,0.7778005471975477,763,789,763,823,60,425,455,1800.0,1307.5694329921957,False,1230,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
p28,435.6,542.8219554962536,107.2219554962536,65.21486022334471,123.29340697557062,0.7469395988938304,777,802,777,838,61,402,433,1800.0,1257.1780445037464,False,1228,legacy FDMC01 winter-depth hour-24 pairs joined to Dj forced_snow WAT frdp by calendar-derived sim_day_index; duration uses full WAT frozwt days
