prefix,active_days,corr_frozwt_frdp,ratio_std,ratio_mean,ratio_min,ratio_max
p1,862,0.8480535036093932,0.044983591722415776,0.14371503319706705,0.002004200243297905,0.31164122174313574
p2,886,0.8339532330803553,0.047652361835075784,0.15317699924520212,0.0008833461172752038,0.31327590826693996
p3,846,0.8430852944918078,0.04267768039845917,0.12720467794082646,0.0008084891793405011,0.31342376955489143
p4,850,0.8476777702182069,0.04302976946126654,0.14846152119973988,0.0011715197011228095,0.3109999481178093
p5,843,0.8633542196311723,0.03855732943038029,0.1378664984922269,0.004683626154150748,0.30883322196195384
p6,845,0.8644991533947985,0.03844543720464565,0.1379371204407725,0.004976541727850611,0.30883322196195384
p7,831,0.8630466934782265,0.03377721749117551,0.11824973720080238,0.0008160561274901573,0.31061576977370964
p8,846,0.8612384370442622,0.03590786457478665,0.12288359567700861,0.0018358801329681706,0.3205415988069661
p9,828,0.8628725959389159,0.03381415062426195,0.11836660041344876,0.001344051697225881,0.3106157697737096
p10,828,0.8598622039230185,0.03357328561482722,0.1175752929095544,0.0009171421470670322,0.3106157697737095
p11,905,0.8114142748475659,0.05374768536747824,0.13709980165390448,0.0015626922924116499,0.31136496982288586
p12,828,0.860737876654137,0.03344928893115988,0.11748693807529366,0.0005210944445968428,0.3106157697737096
p13,846,0.8604498753233948,0.0359669475803782,0.1227940315767432,0.0009379888502140831,0.3205415988069659
p14,829,0.866523475600917,0.033724256660339104,0.11895407848156359,0.0022419763149328395,0.3106157697737096
p15,828,0.8605106748090381,0.03354160141039761,0.11782685562045517,0.0009312987019172664,0.3106157697737096
p16,831,0.8634939814282196,0.033707152836303066,0.11838331940966584,0.0014663247171731956,0.3106157697737096
p17,828,0.8614942494109092,0.03354421684670586,0.11790427474068199,0.0007640753928859106,0.3106157697737096
p18,831,0.8650450438572249,0.03363855321187638,0.11857924655432045,0.0026494170940666085,0.3106157697737095
p19,828,0.8603102005872671,0.0335549146221038,0.11766419196136395,0.001045897747091917,0.3106157697737097
p20,847,0.8450588691117892,0.04247674708218474,0.12718237351852374,0.0003002676597403723,0.3134237695548914
p21,861,0.8475261321884165,0.045024577801800976,0.14369471310641818,0.001883365018137737,0.31164122174313563
p22,846,0.8606240940748713,0.03594048832763592,0.12281653101458209,0.0013237110397511082,0.3205415988069661
p23,847,0.8622031841448663,0.03577298812312582,0.12318149102059159,0.0024087233242671867,0.32054159880696603
p24,828,0.8605864059329978,0.033544459320155616,0.11770676766714197,0.00119466436384849,0.3106157697737095
p25,839,0.8601168441210687,0.04496181526005823,0.16588232287590152,0.005761344724235708,0.3299507281096833
p26,848,0.8598529345086576,0.035906994114617084,0.123176295366935,0.000271377184621481,0.3205415988069661
p27,828,0.8631020286697597,0.033417963557334174,0.11817605636699512,0.0019268334228118812,0.3106157697737096
p28,846,0.8618737616367453,0.035838810171883055,0.12295162809961678,0.002189216467096212,0.32054159880696614
p29,828,0.8631137412758303,0.03343041063462216,0.11817782557517979,0.001828651082125992,0.3106157697737097
p30,831,0.8632006767221522,0.0337199935551367,0.11832704806807269,0.0015373715057544798,0.3106157697737096
p31,828,0.8628741099384922,0.03340887927040184,0.11815961778066712,0.0020395218606289356,0.31061576977370947
p32,845,0.8420264133204974,0.04273934580202478,0.12709617875469137,0.00010279267950246135,0.3134237695548917
p33,839,0.8599957573277907,0.04497864614031015,0.16586152019399666,0.005489421790389673,0.3299507281096833
p34,843,0.8614848937074114,0.03875993255481607,0.13742037158234713,0.002024573425583435,0.30883322196195373
p35,840,0.8571482191051245,0.045206688609258444,0.16583025823057856,0.0006140268674118134,0.3299507281096831
p36,844,0.8646394461872473,0.03850034521967398,0.13778556664361014,0.00488250498220995,0.3088332219619537
p37,842,0.8633782894923551,0.03856768900254866,0.1378835605618978,0.00477696480017658,0.30883322196195384
p38,838,0.8600764486086386,0.04509685424791738,0.16560897351912937,0.004365810818244171,0.3299507281096834
p39,844,0.8647500130263864,0.03849088515592357,0.13779752326354264,0.004884464466736047,0.3088332219619538
p40,838,0.8576200468238441,0.04538793871064376,0.16527236548071164,0.00011000509769430513,0.32995072810968334
p41,843,0.8641794435772766,0.038531951736321776,0.13776099536876113,0.004848065267654004,0.30883322196195384
p42,839,0.8602195397343386,0.04497003376022869,0.16588305099155373,0.0058869637197291064,0.3299507281096833
p43,843,0.8637339528553335,0.03858027534638231,0.13769719734435604,0.004604611168532662,0.3088332219619538
