prefix,dj_outlier_above_503_2mm,iresd,rtyp,cover_factor,stem_diameter_m,cancov_seed_base_line_1,inrcov_seed_base_line_5,rilcov_seed,rrinit_seed,rspace_seed_m,width_seed_m,open_current_static_residue_depth_mm,candidate_infile_default_static_residue_depth_mm,legacy_first_winter_resdep_mm,legacy_last_winter_resdep_mm,legacy_min_resdep_mm,legacy_max_resdep_mm,legacy_median_resdep_mm,legacy_mode_resdep_round_0_1_mm,legacy_frost_active_mode_resdep_round_0_1_mm,current_minus_first_mm,current_minus_mode_round_0_1_mm,current_minus_frost_active_mode_round_0_1_mm,infile_default_minus_current_mm,winter_rows,frost_active_rows
p1,True,1,2,5.0,1.0,0.9,1.0,1.0,0.1,0.0,0.0,23.025850929940454,23.025850929940454,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.025850929940453682,0.025850929940453682,0.025850929940453682,0.0,30240,19125
p2,True,1,2,5.0,1.0,0.9,1.0,1.0,0.1,0.0,0.0,23.025850929940454,23.025850929940454,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.025850929940453682,0.025850929940453682,0.025850929940453682,0.0,29928,18545
p3,True,1,2,5.0,1.0,0.9,1.0,1.0,0.1,0.0,0.0,23.025850929940454,23.025850929940454,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.025850929940453682,0.025850929940453682,0.025850929940453682,0.0,30336,19105
p4,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,30.0,0.1,81.2,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29064,18101
p5,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29496,18964
p6,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.05,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29472,19028
p7,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29520,18738
p8,True,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29472,18908
p9,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29520,18881
p10,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.05,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29472,18890
p11,True,1,2,5.0,0.0022,0.5,0.5,0.5,0.02,0.0,0.0,4.620981203732969,4.620981203732969,4.6,102.7,2.4,139.2,106.5,5.4,5.4,0.020981203732969078,-0.7790187962670316,-0.7790187962670316,0.0,30480,18789
p12,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29472,18797
p13,True,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29472,18922
p14,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29520,18874
p15,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29448,18858
p16,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29520,18910
p17,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29520,18869
p18,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29520,18948
p19,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29448,18883
p20,True,1,2,5.0,1.0,0.9,1.0,1.0,0.1,0.0,0.0,23.025850929940454,23.025850929940454,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.025850929940453682,0.025850929940453682,0.025850929940453682,0.0,30336,19064
p21,True,1,2,5.0,1.0,0.9,1.0,1.0,0.1,0.0,0.0,23.025850929940454,23.025850929940454,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.025850929940453682,0.025850929940453682,0.025850929940453682,0.0,30240,19092
p22,True,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29448,18917
p23,True,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29496,18956
p24,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.05,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29472,18879
p25,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.0,3.1,2.0,0.0358593951535795,54.43585939515358,55.53585939515358,0.0,29448,18852
p26,True,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29496,19010
p27,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29520,18786
p28,True,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29472,19098
p29,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29520,18746
p30,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29520,18806
p31,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,76.7,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29496,18977
p32,True,1,2,5.0,1.0,0.9,1.0,1.0,0.1,0.0,0.0,23.025850929940454,23.025850929940454,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.025850929940453682,0.025850929940453682,0.025850929940453682,0.0,30312,19085
p33,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.0,3.1,3.1,0.0358593951535795,54.43585939515358,54.43585939515358,0.0,29448,18823
p34,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.05,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29472,18932
p35,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.0,3.1,3.1,0.0358593951535795,54.43585939515358,54.43585939515358,0.0,29448,18828
p36,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.05,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29472,19024
p37,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29448,18783
p38,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.0,2.0,2.0,0.0358593951535795,55.53585939515358,55.53585939515358,0.0,29400,18728
p39,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29424,18837
p40,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29352,18572
p41,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.1,3.1,3.1,0.0358593951535795,54.43585939515358,54.43585939515358,0.0,29472,18954
p42,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.0,3.1,3.1,0.0358593951535795,54.43585939515358,54.43585939515358,0.0,29448,18857
p43,False,1,1,2.3,0.051,0.0,0.9,0.9,0.02,0.0,0.0254,57.53585939515358,57.53585939515358,57.5,29.6,0.1,77.0,28.0,2.1,2.1,0.0358593951535795,55.43585939515358,55.43585939515358,0.0,29496,19157
