prefix,exit,wat,frsoil_active,wint_red_enabled,frdp_final_mm,frozwt_final_mm,row_count,sum_frozwt,max_frozwt,nonzero_frozwt_days,max_frdp,mean_frdp_positive,days_frdp_gt_200,Q,Dp,latqcc,RM,Irr,Interception
p1,0,True,True,True,459.0051103883698,123.43804194790609,2557,177008.14621841192,606.2508833476579,793,1782.0838802534058,888.3667964218963,720,778.4655215297895,183.118685267623,110.43450029474421,6281.356296303367,0.0,643.3614332068394
p2,0,True,True,True,434.4507929468121,113.7385704611539,2557,130960.42720790817,375.62051780912566,767,1782.2098057944054,894.9679990854681,692,777.9551389206811,200.5127958743094,237.29264696026308,6294.741908438442,0.0,643.7569793069987
p3,0,True,True,True,509.0537832268155,129.55432067927435,2557,182772.0716001626,569.8876283576833,818,1782.7774780127052,895.8065438725706,747,804.846110828346,130.49015977371238,107.15281239233687,6281.18202753806,0.0,641.8992204400136
p4,0,True,True,True,445.40448761732614,110.44820228244564,2557,156640.81809262309,400.5516816391127,819,1781.3470601744755,884.4215549994491,741,1027.3266802309988,540.195992152079,938.3635869886514,6309.966242181957,0.0,615.0133788383012
p5,0,True,True,True,497.95130579334597,114.7896823865784,2557,252886.84258632836,763.9865060943565,839,1782.103671570672,890.8414337248553,759,1279.4005176410337,615.4234010901166,148.51476829586232,6307.952701917682,0.0,615.0133788383012
p6,0,True,True,True,497.79327796531464,114.95459602093325,2557,247482.84972731167,742.2288835491752,839,1782.0838802534058,887.6016168255818,758,1241.7784517124896,616.1577965568113,227.23067558277504,6308.0278473787,0.0,615.0133788383012
p7,0,True,True,True,546.1756485690228,121.36446294935708,2557,236082.74316761867,706.9845719744161,869,1782.8036957007926,894.2603526670296,785,1189.409582290615,586.3431573910752,249.09066613726293,6307.824983649072,0.0,615.0133788383012
p8,0,True,True,True,522.2793051686922,110.43293892574343,2557,241846.233226131,724.47110660808,852,1782.4583249863308,895.261905935369,772,1154.9899371066863,613.5183404245968,269.01950224756496,6308.168039671906,0.0,615.0133788383012
p9,0,True,True,True,540.8056733277634,120.70624621331747,2557,221780.61381959514,617.4898465448814,868,1783.3684719591117,898.9489438318167,785,1062.541704559042,446.14369682229244,703.4345632988357,6310.6,0.0,615.0133788383012
p10,0,True,True,True,546.1840754851715,121.65017635045028,2557,230734.9108079004,661.7994601858712,870,1782.7774780127052,890.6852401153692,785,1109.6816727177945,564.2430453793708,398.78318645585387,6308.741767419513,0.0,615.0133788383012
p11,0,True,True,True,504.2468117170359,109.37544142023955,2557,212568.99621794443,681.5867241109426,828,1782.7774780127052,874.9889521890638,748,681.2966153565321,500.46173075782684,279.45100071071465,6278.646589730059,0.0,1510.2966016771388
p12,0,True,True,True,546.0730707995658,121.72563396973146,2557,229208.83379661693,677.4751086141855,872,1783.3549358132755,895.622864347762,786,1081.3468577678782,544.9076048019092,512.739501049548,6308.799089474643,0.0,615.0133788383012
p13,0,True,True,True,522.684507432832,110.61143102272902,2557,240699.0473278692,724.1016501199236,854,1782.4565544701084,893.2940695607297,773,1141.9917626688464,613.5154815349042,295.3354590594015,6308.291384351172,0.0,615.0133788383012
p14,0,True,True,True,546.4203486991648,121.80221431259088,2557,222327.05691884586,599.5028630959991,866,1782.8031147246293,895.3301230470399,783,1042.3130606075629,486.25781299762764,665.1186321696465,6307.3354857386585,0.0,615.0133788383012
p15,0,True,True,True,546.141172373844,121.51033162750961,2557,233981.37760336077,698.8319309703322,871,1782.7958131215466,893.1649636589251,786,1154.4061328009743,573.3967364050675,326.9632201628247,6308.486366097259,0.0,615.0133788383012
p16,0,True,True,True,546.2145533407918,121.67590762520663,2557,229854.49684430077,658.8037860387097,867,1782.7774780127052,891.8106830031422,784,1108.138751745993,560.2875169154926,409.8069140868697,6307.897182122861,0.0,615.0133788383012
p17,0,True,True,True,546.0890965563947,121.73699242011598,2557,226166.68694920518,646.3418768412266,871,1783.3671200619872,896.5621770393574,785,1071.2354274954778,508.7491713497347,595.5301545943046,6308.160013483526,0.0,615.0133788383012
p18,0,True,True,True,546.4886366950972,121.80280279544289,2557,227187.43859084303,639.8866239356065,866,1782.7848589385749,893.012030278383,784,1068.171949582018,546.130032090469,508.2184767608278,6307.657840842103,0.0,615.0133788383012
p19,0,True,True,True,546.3752549813721,121.5301847620802,2557,233385.3676996724,682.1665010988227,871,1782.7779212801204,890.3958289997198,785,1149.1523286918346,576.5449527756723,316.6169479093628,6308.6518689741715,0.0,615.0133788383012
p20,0,True,True,True,509.4947932725174,129.61569647289372,2557,183453.0957330865,570.8322465657169,818,1782.7774780127052,894.7404088478115,747,801.0679160377613,162.33474775276875,67.49785113078771,6281.339411137869,0.0,643.3614332068394
p21,0,True,True,True,458.980975005972,123.42875406279744,2557,178458.7283197396,606.21522455871,794,1782.1193431515585,894.1975720354372,722,793.2203164187283,184.27756310198413,107.81192476428973,6281.332595335036,0.0,643.3614332068394
p22,0,True,True,True,522.6196441278463,110.24015275013728,2557,244357.86536093042,714.3622361779701,853,1782.447351364302,892.5718363230802,774,1190.7782618846163,613.783438953217,206.79899085268482,6308.324583861968,0.0,615.0133788383012
p23,0,True,True,True,522.7058565845937,110.75125566627743,2557,239233.5212147224,716.9227922574051,851,1782.4547534085461,894.6918759019491,772,1147.1553006886454,613.7776257870793,313.6782274375298,6307.949823997282,0.0,615.0133788383012
p24,0,True,True,True,546.4425732652044,121.63035472725392,2557,231811.8885717658,668.1111855795791,870,1782.7774780127052,890.374772114845,785,1130.655586790966,569.866898017332,359.10883869214456,6308.620299825977,0.0,615.0133788383012
p25,0,True,True,True,393.4622759869855,113.50137140388897,2557,255344.03315274324,779.9249550744048,791,1780.5858115160445,870.271899466052,702,1334.6363922468154,616.3949852780503,77.17998188993612,6307.999435121367,0.0,615.0133788383012
p26,0,True,True,True,522.3805857331718,111.23872007941257,2557,233185.81650233638,699.958499452399,850,1782.4375245577403,892.8462197065794,772,1079.213660986677,614.5965435134617,440.90412930154463,6307.894012041883,0.0,615.0133788383012
p27,0,True,True,True,546.1081560359366,120.91685824158951,2557,238410.13627676124,697.0677678471632,869,1782.7908905500078,892.9403415065954,784,1207.6674911111304,603.0502253026046,156.55621979161978,6308.175341625654,0.0,615.0133788383012
p28,0,True,True,True,522.2263335950859,112.0547763527071,2557,226515.68714746638,674.5770496770914,851,1782.4375245577403,892.3559282282114,772,1012.662330075874,596.2508998261801,620.7572552485817,6308.210896137089,0.0,615.0133788383012
p29,0,True,True,True,546.2397971920857,121.46179477758047,2557,234675.72473650216,700.7498519150722,869,1782.8002609928299,894.6139886323909,785,1170.317950796807,578.1440486075234,295.1994015362544,6308.106234204143,0.0,615.0133788383012
p30,0,True,True,True,546.5479987962152,121.32264753710638,2557,236750.29512748725,682.9521472131293,868,1782.7774780127052,890.8753874026252,784,1212.6632736600613,603.4769851036745,177.4758226905405,6307.940900345979,0.0,615.0133788383012
p31,0,True,True,True,546.5219963589399,121.797675552662,2557,228027.89725254907,643.3782480868922,868,1782.7774780127052,891.5804566729458,784,1078.6771484345977,552.4616395982852,477.7678154780614,6308.282855999024,0.0,615.0133788383012
