prefix,row_count,legacy_max_depth_mm,open_max_depth_mm,max_depth_delta_mm_open_minus_legacy,open_days_gt_200mm,legacy_days_gt_200mm,depth_mae_mm,depth_rmse_mm,depth_corr,legacy_frozen_days_wat,open_frozen_days_wat,frozen_days_delta_open_minus_legacy
p1,970,387.9,1781.8402712554873,1393.9402712554875,310,211,339.4013836560295,535.1278357100408,0.05443665189384599,827,344,-483
p2,962,280.0,1782.053404216382,1502.053404216382,300,81,321.4593860516476,557.488737560389,-0.018425125860479116,825,334,-491
p3,968,384.5,1782.5427559624627,1398.0427559624627,322,266,362.93994315209994,548.9426322508505,-0.011563143379863803,815,356,-459
p4,1039,240.0,1781.108829010218,1541.108829010218,329,15,321.8631976351263,590.0937959308127,-0.2217853783346429,928,361,-567
p5,1047,420.0,1781.848729140739,1361.848729140739,346,175,372.95936764844214,597.4520409408572,-0.2955773577818919,910,374,-536
p6,1048,420.0,1781.8402712554873,1361.8402712554873,345,178,370.65079151319947,592.9845039521291,-0.29488277148901065,910,374,-536
p7,1035,420.0,1782.553545186707,1362.553545186707,357,186,393.22560465480433,614.5765359847358,-0.32093280343585434,888,389,-499
p8,1047,440.0,1782.2097168836785,1342.2097168836785,351,186,376.39322836623427,603.711899810637,-0.26701608050328596,911,382,-529
p9,1040,460.0,1783.3684719591117,1323.3684719591117,357,198,400.84576931117795,620.9513956099818,-0.3293187847182006,894,390,-504
p10,1050,421.1,1782.5427559624627,1361.4427559624628,356,187,384.9648164721073,605.1305485358156,-0.3125709005850994,902,388,-514
p11,986,503.2,1782.5427559624627,1279.3427559624627,323,111,316.5328114534828,532.8597396996945,0.0998593257918263,819,364,-455
p12,1042,440.0,1783.3549358132755,1343.3549358132755,357,194,396.1429707934204,618.2824510246974,-0.33146520552689673,892,390,-502
p13,1045,440.0,1782.209961029765,1342.209961029765,351,183,377.16933330469175,604.2967004444189,-0.2688482086068598,909,382,-527
p14,1039,460.0,1782.5474315027257,1322.5474315027257,356,195,394.9250771367205,612.796211227119,-0.31985614863103706,895,389,-506
p15,1048,420.0,1782.5557494076793,1362.5557494076793,357,186,387.9588537759383,610.6950294303813,-0.3096086112632432,901,389,-512
p16,1043,424.1,1782.5427559624627,1358.4427559624628,356,192,388.6430827333568,606.9060975882495,-0.3178164538040101,897,388,-509
p17,1041,440.0,1783.3671200619872,1343.3671200619872,357,195,398.8162524383765,619.6824796042604,-0.33164770539328803,894,390,-504
p18,1044,440.0,1782.5427559624627,1342.5427559624627,356,193,389.7038822860419,607.4886845056723,-0.3176568106413049,899,388,-511
p19,1049,420.0,1782.547372026801,1362.547372026801,356,185,385.2545328674694,606.4638985952076,-0.3098804004691232,901,389,-512
p20,969,374.3,1782.5427559624627,1408.2427559624628,322,262,362.0202086777701,548.3081472227464,-0.019014949342138047,816,356,-460
p21,970,387.0,1781.8581918976304,1394.8581918976304,312,211,344.81673480292307,543.6142079606329,0.06700111084555371,821,345,-476
p22,1044,426.1,1782.2051125398652,1356.1051125398653,351,180,375.0683273833623,601.8283361802088,-0.2650822923596111,910,381,-529
p23,1047,440.0,1782.2054811531336,1342.2054811531336,351,188,376.8040338594436,602.3743427492726,-0.2715396357167761,912,381,-531
p24,1049,420.0,1782.5427559624627,1362.5427559624627,356,185,384.6866131320599,605.0713257349416,-0.30980655790302947,901,388,-513
p25,1042,400.0,1780.3226093850215,1380.3226093850215,318,119,340.152751583986,571.5559892675559,-0.24750729907806437,917,353,-564
p26,1050,440.0,1782.1984412387262,1342.1984412387262,351,191,375.0781884148462,598.2411865392453,-0.2741369167066684,914,381,-533
p27,1041,420.0,1782.549963615406,1362.549963615406,356,182,388.5299900501843,610.0050044079496,-0.31382846785998114,894,389,-505
p28,1053,440.0,1782.1984412387262,1342.1984412387262,351,189,374.5253057866335,597.6457299466737,-0.27314667297614587,917,381,-536
p29,1039,420.0,1782.55453361205,1362.55453361205,357,187,392.13218271634713,613.5360360820773,-0.3205153289999398,892,389,-503
p30,1037,420.0,1782.5427559624627,1362.5427559624627,356,184,388.4702406836737,607.798631608071,-0.3159030751313392,891,388,-503
p31,1049,440.0,1782.5427559624627,1342.5427559624627,356,190,386.8699854388079,605.4874184240219,-0.3143365287716911,906,388,-518
p32,970,403.3,1782.5533698720951,1379.2533698720952,324,264,367.83154793413166,554.601898157078,-0.0071290023904474345,814,357,-457
p33,1042,400.0,1780.3226093850215,1380.3226093850215,318,85,335.39543852776393,570.3664373437953,-0.22939382253298246,918,353,-565
p34,1042,420.0,1781.8531871416449,1361.8531871416449,346,156,375.9168057256931,600.9966159512503,-0.3023340676294181,904,374,-530
p35,1041,400.0,1780.327549387001,1380.327549387001,318,119,342.6281555096987,574.7150052837071,-0.25028563694965644,915,353,-562
p36,1047,420.0,1781.8402712554873,1361.8402712554873,345,178,370.98970633363615,593.3350042022432,-0.29569273190988044,909,374,-535
p37,1036,420.0,1781.8514882638326,1361.8514882638326,346,145,371.7207732414531,600.8967612641419,-0.26986423917884134,902,374,-528
p38,1040,400.0,1780.3254157420718,1380.3254157420718,318,118,342.9948758924626,576.526105923872,-0.27756218032931956,914,353,-561
