prefix,sim_day_index,sim_year,julian,legacy_frdp_mm,open_proxy_frdp_mm,legacy_wat_frozwt_mm,open_wat_frozwt_mm
p1,1,1,1,10.0,200.0,3.58,29.8
p1,2,1,2,18.5,200.0,5.87,29.8
p1,3,1,3,23.4,200.0,7.35,29.8
p1,4,1,4,36.8,200.0,11.24,29.8
p1,5,1,5,48.1,200.0,14.5,29.8
p1,6,1,6,61.2,200.0,18.45,29.8
p1,7,1,7,67.1,200.0,19.68,29.8
p1,8,1,8,69.0,200.0,20.4,29.8
p1,9,1,9,73.5,200.0,21.88,29.8
p1,10,1,10,78.4,200.0,23.12,29.8
p1,11,1,11,80.0,200.0,23.92,29.8
p1,12,1,12,90.0,200.0,26.59,29.8
p1,13,1,13,100.0,200.0,29.49,29.8
p1,14,1,14,105.4,200.0,30.67,29.8
p1,15,1,15,108.0,200.0,31.33,29.8
p1,16,1,16,110.0,200.0,32.13,29.8
p1,17,1,17,111.5,200.0,31.9,29.8
p1,18,1,18,114.1,200.0,33.19,29.8
p1,19,1,19,120.0,200.0,34.46,29.8
p1,20,1,20,121.2,200.0,35.33,29.8
p1,21,1,21,125.7,200.0,36.7,29.8
p1,22,1,22,127.5,200.0,37.21,29.8
p1,23,1,23,129.0,200.0,37.62,29.8
p1,24,1,24,130.0,200.0,38.34,29.8
p1,25,1,25,134.5,200.0,39.42,29.8
p1,26,1,26,138.2,200.0,40.45,29.8
p1,27,1,27,141.5,200.0,41.55,29.8
p1,28,1,28,144.6,200.0,42.38,29.8
p1,29,1,29,147.3,200.0,43.06,29.8
p1,30,1,30,152.2,200.0,44.52,29.8
p1,31,1,31,157.8,200.0,45.94,29.8
p1,32,1,32,163.1,200.0,47.56,29.8
p1,33,1,33,170.0,200.0,49.61,29.8
p1,34,1,34,174.9,200.0,50.77,29.8
p1,35,1,35,180.0,200.0,52.03,29.8
p1,36,1,36,181.0,200.0,52.53,29.8
p1,37,1,37,184.2,200.0,53.27,29.8
p1,38,1,38,186.6,200.0,53.82,29.8
p1,39,1,39,188.0,200.0,54.12,29.8
p1,40,1,40,190.0,200.0,54.84,29.8
p1,41,1,41,194.6,200.0,55.87,29.8
p1,42,1,42,197.0,200.0,56.41,29.8
p1,43,1,43,198.5,200.0,56.25,29.8
p1,44,1,44,203.9,200.0,58.41,29.8
p1,45,1,45,220.0,200.0,62.7,29.8
p1,46,1,46,225.9,200.0,64.59,29.8
p1,47,1,47,230.1,200.0,65.74,29.8
p1,48,1,48,234.9,200.0,67.06,29.8
p1,49,1,49,238.0,200.0,67.91,29.8
p1,50,1,50,243.6,200.0,69.66,29.8
p1,51,1,51,247.5,200.0,70.71,29.8
p1,52,1,52,249.0,200.0,71.11,29.8
p1,53,1,53,250.1,200.0,71.39,29.8
p1,54,1,54,251.8,200.0,71.82,29.8
p1,55,1,55,255.9,200.0,72.84,29.8
p1,56,1,56,261.8,200.0,74.57,29.8
p1,57,1,57,264.3,200.0,75.2,29.8
p1,58,1,58,266.7,200.0,75.81,29.8
p1,59,1,59,269.3,200.0,76.45,29.8
p1,60,1,60,270.5,200.0,76.73,29.8
p1,61,1,61,271.4,200.0,76.92,29.8
p1,62,1,62,275.5,200.0,77.85,29.8
p1,63,1,63,276.9,200.0,78.16,29.8
p1,64,1,64,280.0,200.0,78.97,29.8
p1,65,1,65,282.5,200.0,79.65,29.8
p1,66,1,66,285.2,200.0,80.27,29.8
p1,67,1,67,285.7,200.0,80.4,29.8
p1,68,1,68,286.2,200.0,80.49,29.8
p1,69,1,69,286.2,200.0,80.49,29.8
p1,70,1,70,286.2,0.0,73.48,0.0
p1,71,1,71,286.2,0.0,64.64,0.0
p1,72,1,72,286.2,0.0,58.49,0.0
p1,73,1,73,286.2,0.0,52.01,0.0
p1,74,1,74,286.2,0.0,48.33,0.0
p1,75,1,75,286.2,0.0,45.95,0.0
p1,76,1,76,286.2,0.0,45.48,0.0
p1,77,1,77,286.2,101.66666666666667,46.95,15.148333333333333
p1,78,1,78,286.2,138.33333333333337,49.21,20.61166666666667
p1,79,1,79,286.2,138.33333333333337,48.59,20.61166666666667
p1,80,1,80,286.2,138.33333333333337,44.52,20.61166666666667
p1,81,1,81,286.2,138.33333333333337,43.97,20.61166666666667
p1,82,1,82,286.2,193.33333333333337,47.19,28.80666666666667
p1,83,1,83,286.2,193.33333333333337,49.03,28.80666666666667
p1,84,1,84,286.2,193.33333333333337,48.98,28.80666666666667
p1,85,1,85,286.2,193.33333333333337,49.69,28.80666666666667
p1,86,1,86,286.2,193.33333333333337,48.1,28.80666666666667
p1,87,1,87,286.2,193.33333333333337,46.02,28.80666666666667
p1,88,1,88,286.2,6.66666666666671,42.86,0.9933333333333397
p1,89,1,89,286.2,6.66666666666671,39.57,0.9933333333333397
p1,90,1,90,286.2,0.0,36.19,0.0
p1,91,1,91,286.2,0.0,33.52,0.0
p1,92,1,92,286.2,0.0,32.62,0.0
p1,93,1,93,286.2,0.0,31.21,0.0
p1,94,1,94,286.2,0.0,28.24,0.0
p1,95,1,95,286.2,0.0,27.36,0.0
p1,96,1,96,286.2,101.66666666666667,28.37,15.148333333333333
p1,97,1,97,280.0,101.66666666666667,27.31,15.148333333333333
p1,98,1,98,280.0,101.66666666666667,23.39,15.148333333333333
p1,99,1,99,280.0,0.0,19.08,0.0
p1,100,1,100,280.0,0.0,17.33,0.0
p1,101,1,101,280.0,36.66666666666667,17.06,5.463333333333334
p1,102,1,102,280.0,36.66666666666667,15.84,5.463333333333334
p1,103,1,103,280.0,36.66666666666667,14.23,5.463333333333334
p1,104,1,104,280.0,36.66666666666667,10.35,5.463333333333334
p1,105,1,105,280.0,36.66666666666667,9.22,5.463333333333334
p1,106,1,106,260.0,36.66666666666667,8.41,5.463333333333334
p1,107,1,107,260.0,36.66666666666667,6.9,5.463333333333334
p1,108,1,108,260.0,36.66666666666667,3.94,5.463333333333334
p1,109,1,109,260.0,0.0,0.0,0.0
p1,120,1,120,0.0,0.0,0.0,0.0
p1,121,1,121,0.0,0.0,0.0,0.0
p1,284,1,284,0.0,0.0,0.0,0.0
p1,291,1,291,0.0,0.0,0.0,0.0
p1,292,1,292,0.0,0.0,0.0,0.0
p1,295,1,295,0.0,0.0,0.0,0.0
p1,297,1,297,0.0,0.0,0.0,0.0
p1,299,1,299,0.0,0.0,0.0,0.0
p1,301,1,301,0.0,0.0,0.0,0.0
p1,302,1,302,0.0,0.0,0.0,0.0
p1,307,1,307,0.0,0.0,0.0,0.0
p1,308,1,308,0.0,26.66666666666668,0.0,3.973333333333335
p1,309,1,309,0.0,26.66666666666668,0.0,3.973333333333335
p1,310,1,310,0.0,26.66666666666668,0.0,3.973333333333335
p1,311,1,311,0.0,185.0,0.0,27.564999999999998
p1,312,1,312,0.0,185.0,0.0,27.564999999999998
p1,313,1,313,0.0,185.0,0.0,27.564999999999998
p1,314,1,314,0.0,185.0,0.0,27.564999999999998
p1,315,1,315,0.0,185.0,0.0,27.564999999999998
p1,316,1,316,0.0,185.0,0.0,27.564999999999998
p1,317,1,317,0.0,185.0,0.0,27.564999999999998
p1,318,1,318,0.0,185.0,0.0,27.564999999999998
p1,320,1,320,0.0,0.0,0.0,0.0
p1,321,1,321,0.0,0.0,0.0,0.0
p1,322,1,322,0.0,0.0,0.0,0.0
p1,323,1,323,0.0,0.0,0.0,0.0
p1,326,1,326,0.0,0.0,0.0,0.0
p1,327,1,327,0.0,0.0,0.0,0.0
p1,328,1,328,0.0,0.0,0.0,0.0
p1,329,1,329,5.0,19.99999999999999,0.0,2.979999999999998
p1,330,1,330,5.0,19.99999999999999,0.0,2.979999999999998
p1,331,1,331,5.0,19.99999999999999,0.0,2.979999999999998
p1,332,1,332,5.0,130.0,0.13,19.369999999999997
p1,333,1,333,5.0,130.0,0.0,19.369999999999997
p1,334,1,334,0.0,130.0,0.0,19.369999999999997
p1,335,1,335,5.0,130.0,0.0,19.369999999999997
p1,336,1,336,5.0,130.0,0.0,19.369999999999997
p1,337,1,337,5.0,156.66666666666669,0.0,23.343333333333334
p1,338,1,338,0.0,200.0,0.0,29.8
p1,339,1,339,0.0,200.0,0.0,29.8
p1,340,1,340,0.0,200.0,0.0,29.8
p1,341,1,341,0.0,200.0,0.0,29.8
p1,342,1,342,0.0,200.0,0.0,29.8
p1,343,1,343,0.0,200.0,0.0,29.8
p1,344,1,344,0.0,200.0,0.0,29.8
p1,345,1,345,0.0,200.0,0.0,29.8
p1,346,1,346,0.0,200.0,0.0,29.8
p1,347,1,347,0.0,200.0,0.0,29.8
p1,348,1,348,0.0,200.0,0.0,29.8
p1,349,1,349,0.0,200.0,0.0,29.8
p1,350,1,350,0.0,200.0,0.0,29.8
p1,351,1,351,0.0,200.0,0.0,29.8
p1,352,1,352,0.0,200.0,0.0,29.8
p1,353,1,353,0.0,200.0,0.0,29.8
p1,354,1,354,0.0,200.0,0.0,29.8
p1,355,1,355,5.0,200.0,0.2,29.8
p1,356,1,356,5.0,200.0,0.97,29.8
p1,357,1,357,10.0,200.0,2.24,29.8
p1,358,1,358,12.8,200.0,3.01,29.8
p1,359,1,359,17.9,200.0,3.9,29.8
p1,360,1,360,23.5,200.0,5.2,29.8
p1,361,1,361,27.0,200.0,5.8,29.8
p1,362,1,362,28.2,200.0,5.92,29.8
p1,363,1,363,31.0,200.0,6.79,29.8
p1,364,1,364,40.0,200.0,8.7,29.8
p1,365,1,365,40.0,200.0,8.7,29.8
p1,366,2,1,40.0,200.0,8.7,29.8
p1,367,2,2,40.0,200.0,8.7,29.8
