# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cycles:P'
# Event count (approx.): 2495377035070
#
# Children      Self  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................  ....................
#
    94.63%     0.00%  openwepp-cli-hi  [unknown]          [k] 0xffffffffffffffff                                                                                                                                                                                                                                                                       -      -
    44.15%     0.13%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::scheduler::HillslopePhaseScheduler::execute_with_kernel_indexed_internal::_$u7b$$u7b$closure$u7d$$u7d$::hdc4ce344fc3056f0                                                                                                                               -      -
    34.95%     0.08%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::scheduler::HillslopePhaseScheduler::execute_with_kernel_indexed_internal                                                                                                                                                                                -      -
    20.61%     0.52%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost_entry::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::compute_active_frost_coupling                                                                                            -      -
    20.18%     0.23%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::execute_persistent_scheduler_kernel_lifecycle                                                                                                                                                                                               -      -
    19.29%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::ClimateExecutionAccumulator::apply_hillslope_day                                                                                                                                                                                                             -      -
    18.60%    17.10%  openwepp-cli-hi  libc.so.6          [.] __memcmp_sse2                                                                                                                                                                                                                                                                            -      -
    17.15%     0.26%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_runoff_reconciliation::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::run_runoff_reconciliation                                                                                  -      -
    15.63%     0.68%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_kernel_contract::lib_mod::writeback::apply_kernel_writeback                                                                                                                                                                                                                     -      -
    14.83%     8.85%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::state_value_for_symbol                                                                                                            -      -
    12.47%     0.25%  openwepp-cli-hi  openwepp-cli-hill  [.] <openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel as openwepp_kernel_contract::lib_mod::core_types::HillslopeKernel>::run_hillslope_phase                                                                                                                                 -      -
    11.52%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::decomposition_phase_dispatch_for_state_indexed                                                                                                                                                                                               -      -
     9.19%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::build_perennial_decomposition_control                                                                                                                                                                                                        -      -
     9.18%     7.72%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::ensure_no_overflow_indexed_symbols_for_decomposition                                                                                                                                                                                         -      -
     8.12%     0.73%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::fmt::format::format_inner                                                                                                                                                                                                                                                         -      -
     7.95%     3.93%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::insert                                                                                                                                                                                                                                  -      -
     7.49%     0.00%  openwepp-cli-hi  libc.so.6          [.] __GI___libc_free (inlined)                                                                                                                                                                                                                                                               -      -
     7.20%     0.00%  openwepp-cli-hi  libc.so.6          [.] __GI___libc_malloc (inlined)                                                                                                                                                                                                                                                             -      -
     7.00%     0.89%  openwepp-cli-hi  openwepp-cli-hill  [.] core::fmt::write                                                                                                                                                                                                                                                                         -      -
     6.91%     6.91%  openwepp-cli-hi  [unknown]          [k] 0xffffffff99201720                                                                                                                                                                                                                                                                       -      -
     6.49%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_infiltration_evap::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::compute_same_pass_wb14_infiltration_lineage                                                                    -      -
     6.38%     0.28%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::optional_state_scalar_for_indexed_symbol                                                                                          -      -
     5.73%     0.07%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::seed_wb11_runtime_surface_inputs                                                                                                                                                                                                            -      -
     5.67%     2.08%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost_entry::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::compute_active_frost_hourly_state                                                                                        -      -
     5.16%     3.93%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_kernel_contract::lib_mod::core_types::HotSymbolTables::state_grid_symbol                                                                                                                                                                                                        -      -
     4.78%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] core::slice::sort::stable::driftsort_main                                                                                                                                                                                                                                                -      -
     4.77%     1.73%  openwepp-cli-hi  openwepp-cli-hill  [.] core::slice::sort::stable::quicksort::quicksort                                                                                                                                                                                                                                          -      -
     4.77%     0.06%  openwepp-cli-hi  openwepp-cli-hill  [.] core::slice::sort::stable::drift::sort                                                                                                                                                                                                                                                   -      -
