# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 61K of event 'cycles:P'
# Event count (approx.): 4076178927368
#
# Children      Self  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................  ....................
#
    95.37%     0.00%  openwepp-cli-hi  [unknown]          [.] 0xffffffffffffffff                                                                                                                                                                                                                                                                       -      -
    51.05%     0.15%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::execute_persistent_scheduler_kernel_lifecycle                                                                                                                                                                                               -      -
    44.24%     0.00%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::ClimateExecutionAccumulator::apply_hillslope_day                                                                                                                                                                                                             -      -
    33.49%    14.19%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::day_frame::HillslopeLaneDenseState::sync_from_writeback_surface                                                                                                                                                                                         -      -
    29.03%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::scheduler::HillslopePhaseScheduler::execute_with_kernel_indexed_internal                                                                                                                                                                                -      -
    28.90%     0.10%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::scheduler::HillslopePhaseScheduler::execute_with_kernel_indexed_internal::_$u7b$$u7b$closure$u7d$$u7d$::hdc4ce344fc3056f0                                                                                                                               -      -
    21.84%    19.94%  openwepp-cli-hi  libc.so.6          [.] __memcmp_sse2                                                                                                                                                                                                                                                                            -      -
     9.47%     0.31%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost_entry::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::compute_active_frost_coupling                                                                                            -      -
     8.09%     0.27%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::day_frame::HillslopeLaneDenseState::apply_kernel_writeback_payload                                                                                                                                                                                      -      -
     8.08%     0.17%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_runoff_reconciliation::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::run_runoff_reconciliation                                                                                  -      -
     7.49%     0.00%  openwepp-cli-hi  libc.so.6          [.] __GI___libc_malloc (inlined)                                                                                                                                                                                                                                                             -      -
     7.34%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::decomposition_phase_dispatch_for_state_indexed                                                                                                                                                                                               -      -
     7.07%     0.00%  openwepp-cli-hi  libc.so.6          [.] __GI___libc_free (inlined)                                                                                                                                                                                                                                                               -      -
     6.95%     6.95%  openwepp-cli-hi  [unknown]          [k] 0xffffffff99201720                                                                                                                                                                                                                                                                       -      -
     6.32%     0.14%  openwepp-cli-hi  openwepp-cli-hill  [.] <openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel as openwepp_kernel_contract::lib_mod::core_types::HillslopeKernel>::run_hillslope_phase                                                                                                                                 -      -
     5.86%     3.43%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_kernel_contract::lib_mod::core_types::SymbolRegistry::id_of                                                                                                                                                                                                                     -      -
     5.86%     4.87%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::ensure_no_overflow_indexed_symbols_for_decomposition                                                                                                                                                                                         -      -
     5.84%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::build_perennial_decomposition_control                                                                                                                                                                                                        -      -
     5.67%     0.38%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::day_frame::HillslopeLaneDenseState::flush_dirty_to_writeback_surface                                                                                                                                                                                    -      -
     5.26%     2.61%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::insert                                                                                                                                                                                                                                  -      -
     4.99%     0.42%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::fmt::format::format_inner                                                                                                                                                                                                                                                         -      -
     4.96%     3.94%  openwepp-cli-hi  libc.so.6          [.] _int_malloc                                                                                                                                                                                                                                                                              -      -
     4.67%     0.14%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_kernel_contract::lib_mod::core_types::HotSymbolTables::hot_state_symbols                                                                                                                                                                                                        -      -
     4.34%     0.56%  openwepp-cli-hi  openwepp-cli-hill  [.] core::fmt::write                                                                                                                                                                                                                                                                         -      -
