cell_id,site_id,water_year,signature,bucket,bucket_label,snow_route,snow_route_label,residual_days,window_start,window_end,max_frdp_m,median_frdp_m,max_frozen_water_m,max_air_temp_c,max_surface_temp_c,min_snow_depth_m,median_snow_depth_m,max_snow_depth_m,paired_snow_obs_days,mean_snow_depth_residual_m,paired_observed_snow_depth_delta_m,paired_model_snow_depth_delta_m,snow_buried_warm_wet_material_days,snow_free_warm_wet_material_days,snow_buried_mean_snow_depth_residual_m,snow_buried_snow_water_delta_m,snow_buried_mean_qsrf_w_m2,snow_buried_mean_quf_w_m2,snow_buried_mean_resistance_m2_k_w,snow_buried_total_runoff_m,snow_free_mean_snow_depth_residual_m,snow_free_snow_water_delta_m,snow_free_mean_qsrf_w_m2,snow_free_mean_quf_w_m2,snow_free_total_runoff_m,snow_water_delta_total_m,total_precip_m,total_rain_melt_m,material_days,warm_wet_material_days,cold_surface_warm_wet_stalled_days,warm_surface_stalled_days,retreat_days,bucket_reason
site1_sleepers_south_field_vt:1986:thaw,site1_sleepers_south_field_vt,1986,thaw,H1a,missing wet/advective thaw energy,SNOW-FREE-PERSISTENT,snow-free material persistence,19,1986-03-26,1986-04-14,0.11018992996274526,0.07148939558944867,0.01859101191635729,22.638902047287857,23.098711950854568,0.0,0.00017725353853331104,0.5081055388421283,4,0.0035763847105320656,-0.4938,-0.5081055388421283,6,13,0.014305538842128263,-0.20736911395402374,0.05807282979878075,1.2286836342787302,0.7198319275209433,0.0,0.0,-0.08352046738181412,0.1551644795333387,2.89319507685175,0.0,-0.26523109127559097,0.039,0.32988958133583784,19,19,0,0,19,material frost persists through warm/rain/melt days; wet heat is not represented in the current dry surface heat path
site1_sleepers_south_field_vt:1987:thaw,site1_sleepers_south_field_vt,1987,thaw,H1a,missing wet/advective thaw energy,MIXED-SNOW-CONTROL,mixed snow-buried and snow-free persistence,20,1987-03-18,1987-04-07,0.13787455212661776,0.12685603496300848,0.019832367923344977,17.649801551062357,15.081357301645447,0.0,0.11670539473298888,0.5418248602649728,4,-0.012577404754080007,-0.55075,-0.5352168671423941,11,10,-0.025154809508160014,-0.18408804332566062,0.21067423909529878,0.4524326885432076,0.8999055099010732,0.0,0.0,-0.060920216050620195,0.19513633366027527,2.378925874766945,0.0,-0.24500825937628082,0.0748,0.3198082593762808,21,21,6,0,15,material frost persists through warm/rain/melt days while the modeled surface remains at or below freezing
site2_sleepers_w9_hardwood_vt:1994:thaw,site2_sleepers_w9_hardwood_vt,1994,thaw,H1a,missing wet/advective thaw energy,SNOW-BURIED-ACCUMULATION,snow-buried persistence,35,1994-03-03,1994-04-07,0.1478960598433148,0.1478960598433148,0.018690339806353016,10.559062114843986,0.0,0.394312657978005,0.7863586417011376,1.0349063184125968,3,-0.07121928454508801,-0.28933300000000006,-0.3183631764346623,32,0,-0.08375455607251575,0.018633226195830604,0.46839015674486845,0.907582348311774,4.060404507970536,0.0,,0,,,0,-0.0020667737986599932,0.1788,0.16016677380416944,36,32,16,0,16,material frost persists through warm/rain/melt days while the modeled surface remains at or below freezing
site2_sleepers_w9_hardwood_vt:1995:thaw,site2_sleepers_w9_hardwood_vt,1995,thaw,H1b,state-machine thaw asymmetry,MIXED-SNOW-CONTROL,mixed snow-buried and snow-free persistence,18,1995-03-02,1995-03-20,0.13685475605808725,0.13685475605808725,0.021754805778503857,12.762268380589394,19.539221349279888,0.0,0.12513541483405374,0.4217384767339333,3,-0.2477538410886889,-0.441667,-0.4217384767339333,7,9,,0.0013369722579480853,1.175394850974675,0.0,3.4325411171822098,0.0,-0.2741665,-0.07159043026463202,0.10555612905090295,0.0,0.0,-0.07025345800668394,0.042,0.11225345800668392,19,16,10,6,0,material frost persists through days with surface temperature above freezing and no next-day top-front retreat
site2_sleepers_w9_hardwood_vt:1996:thaw,site2_sleepers_w9_hardwood_vt,1996,thaw,H1a,missing wet/advective thaw energy,SNOW-BURIED-UNDER-MELT,snow-buried persistence,39,1996-02-23,1996-04-02,0.0786462934183478,0.0786462934183478,0.022307503327042236,14.947206499194245,0.0,0.14296415914280403,0.3601727890599802,0.6805178803363486,6,-0.05497870299713606,-0.15999999999999998,-0.18890844908415017,38,0,-0.05497870299713606,-0.10235864971594585,0.9431861223043814,0.3576799186117117,1.4101939713898708,0.0,,0,,,0,-0.09376588818340267,0.08220000000000001,0.1845586497159459,40,38,34,0,4,material frost persists through warm/rain/melt days while the modeled surface remains at or below freezing
site2_sleepers_w9_hardwood_vt:1997:thaw,site2_sleepers_w9_hardwood_vt,1997,thaw,H1a,missing wet/advective thaw energy,SNOW-BURIED-UNDER-MELT,snow-buried persistence,84,1997-01-15,1997-04-09,0.09954287740310029,0.08618228873829639,0.016262258980654334,13.27049192699738,0.0,0.19337507980962645,0.8192499928836865,1.1400282836748645,8,0.04446875011417947,-0.07,-0.3871635965821648,58,0,0.08248944806066585,-0.060864671225784095,0.6505006726604574,0.48884803436065977,5.282137163111005,0.0,,0,,,0,-0.052770672810841246,0.2639,0.31437084418190336,82,58,43,0,15,material frost persists through warm/rain/melt days while the modeled surface remains at or below freezing
site2_sleepers_w9_hardwood_vt:2004:thaw,site2_sleepers_w9_hardwood_vt,2004,thaw,H1a,missing wet/advective thaw energy,SNOW-BURIED-UNDER-MELT,snow-buried persistence,41,2004-02-11,2004-03-23,0.2029291811522551,0.2018916986899974,0.019592133730418994,8.267396413076343,0.0,0.43234010153082647,0.6216429575174443,0.9086025473535666,2,0.026091939468866898,-0.1552,-0.27462121576939946,25,0,0.026091939468866898,-0.01644019429193261,0.6128481501852157,0.06951366823559804,2.553316354163559,0.0,,0,,,0,-0.01744019398359853,0.0508,0.06724019429193263,42,25,24,0,2,material frost persists through warm/rain/melt days while the modeled surface remains at or below freezing
site2_sleepers_w9_hardwood_vt:2006:thaw,site2_sleepers_w9_hardwood_vt,2006,thaw,H1a,missing wet/advective thaw energy,SNOW-FREE-PERSISTENT,snow-free material persistence,17,2006-03-21,2006-04-07,0.168807974569019,0.13994908773822023,0.023054445719973594,19.9433293223579,24.45912624008354,0.0,0.014584903856320747,0.25895200181501205,2,-0.04052399909249398,-0.246666,-0.25895200181501205,6,11,-0.034380998184987965,-0.05402689855636374,0.4279213238907138,0.7034161984220418,0.46694216903186475,0.0,-0.046667,-0.06483216197729078,0.2314010512598692,2.411774981230152,0.0,-0.11885906053052529,0.0483,0.1671590605336545,18,17,1,0,17,material frost persists through warm/rain/melt days while the modeled surface remains at or below freezing
site2_sleepers_w9_hardwood_vt:2009:thaw,site2_sleepers_w9_hardwood_vt,2009,thaw,H1a,missing wet/advective thaw energy,SNOW-BURIED-UNDER-MELT,snow-buried persistence,111,2008-12-17,2009-04-07,0.09019749274836139,0.06429449825296357,0.016235797712429174,13.859716807442053,0.0,0.04285708696455329,0.836672675463767,1.124613746780775,5,0.0789685107389071,-0.194,-0.6584188165269558,60,3,0.09179570196288744,-0.2071484717074098,0.6177529752923056,0.2639867086474742,4.326100145015442,0.0,-0.21514291303544672,-0.029949010850760176,0.04744122936870298,2.8986808275089495,0.0,-0.13446988690038258,0.3331,0.45736988690058744,77,63,49,0,14,material frost persists through warm/rain/melt days while the modeled surface remains at or below freezing
site2_sleepers_w9_hardwood_vt:2010:thaw,site2_sleepers_w9_hardwood_vt,2010,thaw,H1b,state-machine thaw asymmetry,SNOW-BURIED-UNDER-MELT,snow-buried persistence,50,2010-02-02,2010-03-24,0.1058136925231759,0.10581369252317589,0.011146678604727102,16.05746822612779,21.936430046977815,0.0,0.535130934533345,0.7048336639289843,3,-0.021585405980113586,-0.29000000000000004,-0.5823254908357728,29,9,-0.16064127717492188,-0.07371556671647368,0.4659777413554522,0.0,3.191948084308142,0.0,-0.09822021580059581,-0.07515748987896288,0.14875404375859874,0.0401229233302891,0.0,-0.14887305659543656,0.1028,0.25167305659543654,51,38,32,4,2,material frost persists through days with surface temperature above freezing and no next-day top-front retreat
