label,jobs,repeat,exit_code,elapsed_seconds_python,wall_seconds_time,user_seconds,system_seconds,cpu_percent,max_rss_kib,worker_elapsed_ms,route_stage_ms,output_publication_ms,job_min_ms,job_median_ms,job_max_ms,identity_matches_jobs1_rep1_rows,stage_root
jobs1-rep1,1,1,0,37.268971,37.26,36.53,0.72,100%,24276,37155,2,90,1043,1134.5,1370,True,/tmp/wshedw3_ca_scaling_release/jobs1-rep1
jobs1-rep2,1,2,0,36.699703,36.69,35.97,0.72,100%,24288,36583,1,92,1026,1110.5,1345,True,/tmp/wshedw3_ca_scaling_release/jobs1-rep2
jobs1-rep3,1,3,0,36.937583,36.93,36.19,0.73,100%,24300,36812,2,99,1027,1111.5,1290,True,/tmp/wshedw3_ca_scaling_release/jobs1-rep3
jobs2-rep1,2,1,0,19.389137,19.38,37.46,0.75,197%,24280,19247,2,117,1037,1164.0,1606,True,/tmp/wshedw3_ca_scaling_release/jobs2-rep1
jobs2-rep2,2,2,0,19.601307,19.59,38.21,0.7,198%,24320,19493,1,80,1026,1112.5,2125,True,/tmp/wshedw3_ca_scaling_release/jobs2-rep2
jobs2-rep3,2,3,0,18.418979,18.41,35.97,0.7,199%,24336,18311,2,84,1017,1087.0,1342,True,/tmp/wshedw3_ca_scaling_release/jobs2-rep3
jobs4-rep1,4,1,0,9.522220,9.52,36.15,0.69,387%,24324,9428,1,74,1003,1138.0,1305,True,/tmp/wshedw3_ca_scaling_release/jobs4-rep1
jobs4-rep2,4,2,0,9.523814,9.52,36.57,0.71,391%,24300,9393,2,102,1040,1132.5,1339,True,/tmp/wshedw3_ca_scaling_release/jobs4-rep2
jobs4-rep3,4,3,0,9.567459,9.56,36.84,0.69,392%,24280,9469,1,75,1052,1130.5,1379,True,/tmp/wshedw3_ca_scaling_release/jobs4-rep3
jobs8-rep1,8,1,0,5.055152,5.05,37.92,0.73,764%,24336,4952,1,83,1091,1174.5,1365,True,/tmp/wshedw3_ca_scaling_release/jobs8-rep1
jobs8-rep2,8,2,0,5.228183,5.22,39.57,0.7,770%,24292,5139,1,70,1079,1280.5,1512,True,/tmp/wshedw3_ca_scaling_release/jobs8-rep2
jobs8-rep3,8,3,0,5.063758,5.06,37.68,0.71,758%,24320,4940,2,98,1074,1171.5,1361,True,/tmp/wshedw3_ca_scaling_release/jobs8-rep3
jobs16-rep1,16,1,0,2.620965,2.61,37.14,0.66,1443%,24312,2507,1,92,1068,1158.5,1340,True,/tmp/wshedw3_ca_scaling_release/jobs16-rep1
jobs16-rep2,16,2,0,2.806585,2.8,37.99,0.67,1379%,24300,2713,1,71,1062,1161.5,1394,True,/tmp/wshedw3_ca_scaling_release/jobs16-rep2
jobs16-rep3,16,3,0,2.595491,2.59,37.26,0.67,1463%,24248,2485,1,88,1067,1157.5,1331,True,/tmp/wshedw3_ca_scaling_release/jobs16-rep3
jobs32-rep1,32,1,0,2.026780,2.02,46.92,0.68,2352%,24316,1905,2,97,1106,1473.5,1903,True,/tmp/wshedw3_ca_scaling_release/jobs32-rep1
jobs32-rep2,32,2,0,2.069244,2.06,49.05,0.67,2405%,24280,1969,1,79,1163,1576.5,1967,True,/tmp/wshedw3_ca_scaling_release/jobs32-rep2
jobs32-rep3,32,3,0,2.033945,2.03,47.26,0.74,2363%,24288,1943,1,72,1125,1564.0,1941,True,/tmp/wshedw3_ca_scaling_release/jobs32-rep3
