arm_id,site,day,month,year,precipitation_mm,runoff_mm,sediment_delivery_kg_m
hubbard_constant,HUBBARD_BROOK,26,3,5,0.3,52.6,0.0
hubbard_constant,HUBBARD_BROOK,2,4,7,0.0,4.4,0.0
hubbard_constant,HUBBARD_BROOK,14,4,11,0.0,1.6,0.0
hubbard_constant,HUBBARD_BROOK,29,8,12,79.7,8.1,0.0
hubbard_constant,HUBBARD_BROOK,11,10,12,112.8,3.9,0.0
hubbard_constant,HUBBARD_BROOK,14,4,20,1.0,4.5,0.0
hubbard_constant,HUBBARD_BROOK,28,4,21,44.2,4.1,0.0
hubbard_constant,HUBBARD_BROOK,30,6,21,81.5,24.7,0.2
hubbard_constant,HUBBARD_BROOK,4,4,23,96.7,16.2,0.0
hubbard_constant,HUBBARD_BROOK,2,9,23,84.3,17.7,0.0
hubbard_constant,HUBBARD_BROOK,20,10,23,114.8,4.7,0.0
hubbard_constant,HUBBARD_BROOK,17,8,30,77.9,12.6,0.0
hubbard_constant,HUBBARD_BROOK,26,4,31,11.9,53.9,0.0
hubbard_constant,HUBBARD_BROOK,27,4,31,0.0,6.4,0.0
hubbard_constant,HUBBARD_BROOK,6,10,34,132.9,53.8,0.0
hubbard_constant,HUBBARD_BROOK,9,4,36,96.3,45.8,0.0
hubbard_constant,HUBBARD_BROOK,10,4,36,89.7,77.3,0.0
hubbard_constant,HUBBARD_BROOK,18,4,37,45.8,1.7,0.0
hubbard_constant,HUBBARD_BROOK,7,9,38,129.1,21.0,0.0
hubbard_constant,HUBBARD_BROOK,10,9,38,130.4,24.1,0.0
hubbard_constant,HUBBARD_BROOK,16,10,40,180.1,55.0,0.0
hubbard_constant,HUBBARD_BROOK,8,8,44,139.4,23.5,0.9
hubbard_constant,HUBBARD_BROOK,9,8,44,126.0,76.5,4.6
hubbard_constant,HUBBARD_BROOK,10,8,44,57.3,9.1,0.0
hubbard_constant,HUBBARD_BROOK,24,8,45,115.6,14.0,0.0
hubbard_constant,HUBBARD_BROOK,13,8,47,171.1,47.3,0.0
hubbard_constant,HUBBARD_BROOK,15,8,47,96.4,10.6,0.0
hubbard_constant,HUBBARD_BROOK,24,6,56,174.3,54.0,0.0
hubbard_constant,HUBBARD_BROOK,3,5,59,13.4,11.9,0.0
hubbard_constant,HUBBARD_BROOK,4,5,59,110.7,76.6,0.0
hubbard_constant,HUBBARD_BROOK,5,5,59,51.6,3.2,0.0
hubbard_constant,HUBBARD_BROOK,20,8,59,56.2,6.3,0.0
hubbard_constant,HUBBARD_BROOK,6,5,68,2.0,35.9,0.0
hubbard_constant,HUBBARD_BROOK,12,10,68,79.5,8.5,0.0
hubbard_constant,HUBBARD_BROOK,13,10,68,89.1,83.2,0.0
hubbard_constant,HUBBARD_BROOK,22,9,69,97.3,14.8,0.0
hubbard_constant,HUBBARD_BROOK,10,10,70,228.8,23.7,0.0
hubbard_constant,HUBBARD_BROOK,19,8,76,143.0,29.8,0.0
hubbard_constant,HUBBARD_BROOK,22,8,76,130.6,23.3,0.0
hubbard_constant,HUBBARD_BROOK,15,4,80,150.5,55.9,0.0
hubbard_constant,HUBBARD_BROOK,6,4,81,0.0,0.7,0.0
hubbard_constant,HUBBARD_BROOK,9,10,84,115.7,2.4,0.0
hubbard_constant,HUBBARD_BROOK,14,10,85,169.0,49.0,0.0
hubbard_constant,HUBBARD_BROOK,5,5,87,0.3,10.2,0.0
hubbard_constant,HUBBARD_BROOK,6,5,87,0.0,16.2,0.0
hubbard_constant,HUBBARD_BROOK,8,5,87,31.1,38.0,0.0
hubbard_constant,HUBBARD_BROOK,2,10,90,195.8,91.3,0.0
hubbard_constant,HUBBARD_BROOK,20,10,92,109.5,32.5,0.0
hubbard_hardwood_095,HUBBARD_BROOK,26,3,5,0.3,23.1,0.0
hubbard_hardwood_095,HUBBARD_BROOK,30,9,10,63.6,0.2,0.0
hubbard_hardwood_095,HUBBARD_BROOK,29,8,12,79.7,4.1,0.1
hubbard_hardwood_095,HUBBARD_BROOK,11,10,12,112.8,1.6,0.0
hubbard_hardwood_095,HUBBARD_BROOK,28,4,21,44.2,4.6,0.0
hubbard_hardwood_095,HUBBARD_BROOK,30,6,21,81.5,20.3,0.4
hubbard_hardwood_095,HUBBARD_BROOK,4,4,23,96.7,20.4,0.0
hubbard_hardwood_095,HUBBARD_BROOK,2,9,23,84.3,13.0,0.0
hubbard_hardwood_095,HUBBARD_BROOK,20,10,23,114.8,2.7,0.0
hubbard_hardwood_095,HUBBARD_BROOK,8,7,28,70.5,0.0,0.0
hubbard_hardwood_095,HUBBARD_BROOK,27,4,30,1.7,12.8,0.0
hubbard_hardwood_095,HUBBARD_BROOK,17,8,30,77.9,8.5,0.3
hubbard_hardwood_095,HUBBARD_BROOK,1,5,31,0.0,12.6,0.0
hubbard_hardwood_095,HUBBARD_BROOK,2,5,31,0.0,8.1,0.0
hubbard_hardwood_095,HUBBARD_BROOK,15,6,32,63.8,0.0,0.0
hubbard_hardwood_095,HUBBARD_BROOK,6,10,34,132.9,51.0,2.2
hubbard_hardwood_095,HUBBARD_BROOK,9,4,36,96.3,33.3,0.0
hubbard_hardwood_095,HUBBARD_BROOK,10,4,36,89.7,71.2,0.0
hubbard_hardwood_095,HUBBARD_BROOK,7,9,38,129.1,18.1,0.0
hubbard_hardwood_095,HUBBARD_BROOK,10,9,38,130.4,21.6,0.0
hubbard_hardwood_095,HUBBARD_BROOK,16,10,40,180.1,53.2,0.0
hubbard_hardwood_095,HUBBARD_BROOK,8,8,44,139.4,21.3,1.1
hubbard_hardwood_095,HUBBARD_BROOK,9,8,44,126.0,75.1,2.8
hubbard_hardwood_095,HUBBARD_BROOK,10,8,44,57.3,7.5,0.0
hubbard_hardwood_095,HUBBARD_BROOK,24,8,45,115.6,10.0,0.0
hubbard_hardwood_095,HUBBARD_BROOK,13,8,47,171.1,44.6,0.0
hubbard_hardwood_095,HUBBARD_BROOK,15,8,47,96.4,8.4,0.0
hubbard_hardwood_095,HUBBARD_BROOK,24,6,56,174.3,50.9,2.3
hubbard_hardwood_095,HUBBARD_BROOK,4,5,59,110.7,100.8,0.0
hubbard_hardwood_095,HUBBARD_BROOK,5,5,59,51.6,39.2,0.0
hubbard_hardwood_095,HUBBARD_BROOK,10,7,62,48.3,0.0,0.0
hubbard_hardwood_095,HUBBARD_BROOK,7,5,63,0.0,5.9,0.0
hubbard_hardwood_095,HUBBARD_BROOK,9,5,68,0.0,1.0,0.0
