arm_id,site,surface,recurrence_years,empirical_rank_100_years,return_level,unit
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,2,50,0.0,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,2,50,0.0,mm/h
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,5,20,24.1,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,5,20,2.368,mm/h
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,10,10,53.8,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,10,10,4.214,mm/h
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,20,5,76.5,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,20,5,11.545,mm/h
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,25,4,76.6,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,25,4,14.892,mm/h
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,50,2,83.2,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,50,2,35.747,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,2,50,0.0,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,2,50,0.0,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,5,20,21.3,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,5,20,2.57,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,10,10,46.5,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,10,10,5.322,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,20,5,71.2,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,20,5,22.36,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,25,4,75.1,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,25,4,30.636,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,50,2,87.3,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,50,2,92.007,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,2,50,0.0,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,2,50,0.0,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,5,20,21.3,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,5,20,2.569,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,10,10,46.5,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,10,10,5.321,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,20,5,71.2,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,20,5,22.36,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,25,4,75.1,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,25,4,30.627,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,50,2,87.3,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,50,2,92.007,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,2,50,51.9,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,2,50,14.162,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,5,20,73.2,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,5,20,36.612,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,10,10,104.0,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,10,10,55.185,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,20,5,117.3,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,20,5,69.92,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,25,4,121.4,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,25,4,71.863,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,50,2,139.8,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,50,2,91.901,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,2,50,49.5,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,2,50,21.163,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,5,20,70.0,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,5,20,37.622,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,10,10,102.5,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,10,10,50.959,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,20,5,117.3,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,20,5,60.589,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,25,4,117.7,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,25,4,62.383,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,50,2,137.2,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,50,2,88.101,mm/h
