arm_id,site,surface,recurrence_years,empirical_rank_100_years,return_level,unit
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,2,50,0.0,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,2,50,0.0,mm/h
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,5,20,0.0,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,5,20,0.0,mm/h
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,10,10,0.0,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,10,10,0.0,mm/h
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,20,5,8.4,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,20,5,7.864,mm/h
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,25,4,10.2,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,25,4,10.221,mm/h
hubbard_constant,HUBBARD_BROOK,daily_hillslope_surface_runoff,50,2,30.6,mm
hubbard_constant,HUBBARD_BROOK,peak_hillslope_runoff_rate,50,2,36.683,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,2,50,0.0,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,2,50,0.131,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,5,20,1.3,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,5,20,1.375,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,10,10,2.7,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,10,10,6.195,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,20,5,32.7,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,20,5,27.359,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,25,4,36.9,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,25,4,46.229,mm/h
hubbard_hardwood_095,HUBBARD_BROOK,daily_hillslope_surface_runoff,50,2,47.5,mm
hubbard_hardwood_095,HUBBARD_BROOK,peak_hillslope_runoff_rate,50,2,54.88,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,2,50,0.0,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,2,50,0.131,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,5,20,1.3,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,5,20,1.376,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,10,10,2.7,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,10,10,6.195,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,20,5,32.7,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,20,5,27.359,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,25,4,36.9,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,25,4,46.229,mm/h
hubbard_hardwood_092,HUBBARD_BROOK,daily_hillslope_surface_runoff,50,2,47.5,mm
hubbard_hardwood_092,HUBBARD_BROOK,peak_hillslope_runoff_rate,50,2,54.88,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,2,50,20.3,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,2,50,5.218,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,5,20,42.4,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,5,20,15.731,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,10,10,75.2,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,10,10,30.137,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,20,5,95.6,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,20,5,39.277,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,25,4,97.5,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,25,4,41.081,mm/h
santee_constant,SANTEE,daily_hillslope_surface_runoff,50,2,120.1,mm
santee_constant,SANTEE,peak_hillslope_runoff_rate,50,2,62.022,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,2,50,59.3,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,2,50,23.188,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,5,20,82.3,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,5,20,37.285,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,10,10,109.9,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,10,10,45.731,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,20,5,133.8,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,20,5,62.088,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,25,4,134.5,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,25,4,62.355,mm/h
santee_mixed,SANTEE,daily_hillslope_surface_runoff,50,2,157.6,mm
santee_mixed,SANTEE,peak_hillslope_runoff_rate,50,2,87.753,mm/h
