candidate_id,temperature_pair_id,vpd_pair_id,photoperiod_pair_id,minimum_temperature_inactive_c,minimum_temperature_unconstrained_c,vapor_pressure_deficit_unconstrained_pa,vapor_pressure_deficit_inactive_pa,photoperiod_inactive_hours,photoperiod_unconstrained_hours,boundary_class,saturation_flags
GSI-0001,temperature-q00-q05,vpd-q00-q05,photoperiod-q00-q05,-27.520000000,-14.298500000,30.266994000,111.993704700,10.935970516,11.239373219,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0002,temperature-q00-q05,vpd-q00-q05,photoperiod-q00-q25,-27.520000000,-14.298500000,30.266994000,111.993704700,10.935970516,12.478643418,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0003,temperature-q00-q05,vpd-q00-q05,photoperiod-q00-q50,-27.520000000,-14.298500000,30.266994000,111.993704700,10.935970516,13.947157389,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0004,temperature-q00-q05,vpd-q00-q05,photoperiod-q00-q75,-27.520000000,-14.298500000,30.266994000,111.993704700,10.935970516,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0005,temperature-q00-q05,vpd-q00-q05,photoperiod-q00-q95,-27.520000000,-14.298500000,30.266994000,111.993704700,10.935970516,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0006,temperature-q00-q05,vpd-q00-q05,photoperiod-q00-q100,-27.520000000,-14.298500000,30.266994000,111.993704700,10.935970516,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0007,temperature-q00-q05,vpd-q00-q05,photoperiod-q05-q25,-27.520000000,-14.298500000,30.266994000,111.993704700,11.239373219,12.478643418,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0008,temperature-q00-q05,vpd-q00-q05,photoperiod-q05-q50,-27.520000000,-14.298500000,30.266994000,111.993704700,11.239373219,13.947157389,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0009,temperature-q00-q05,vpd-q00-q05,photoperiod-q05-q75,-27.520000000,-14.298500000,30.266994000,111.993704700,11.239373219,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0010,temperature-q00-q05,vpd-q00-q05,photoperiod-q05-q95,-27.520000000,-14.298500000,30.266994000,111.993704700,11.239373219,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
