phase,order,command_id,harvard_access,cost_class,argv_authority
calibration,1,prepare,NONE,QUICK,direct-execution-plan.json
calibration,2,build_executor,NONE,QUICK,direct-execution-plan.json
calibration,3,build_production_runner,NONE,HEAVY,direct-execution-plan.json
calibration,4,native_proof,NONE,HEAVY,direct-execution-plan.json
calibration,5,synthetic_gsi,NONE,QUICK,direct-execution-plan.json
calibration,6,hubbard_producer,NONE,HEAVY,direct-execution-plan.json
calibration,7,hubbard_primary_reconstruct,NONE,HEAVY,direct-execution-plan.json
calibration,8,hubbard_verify_reconstruct,NONE,HEAVY,direct-execution-plan.json
calibration,9,retain_trace,NONE,HEAVY,direct-execution-plan.json
calibration,10,readiness,NONE,HEAVY,direct-execution-plan.json
calibration,11,summarize_pre_freeze,NONE,QUICK,direct-execution-plan.json
custody,12,freeze,NONE,QUICK,direct-execution-plan.json
custody,13,freeze_verify_a,NONE,QUICK,direct-execution-plan.json
custody,14,freeze_verify_b,NONE,QUICK,direct-execution-plan.json
holdout,15,freeze_barrier,NONE,QUICK,direct-execution-plan.json
holdout,16,holdout,OPENS_HARVARD,HEAVY,direct-execution-plan.json
holdout,17,summarize_post_holdout,NONE,QUICK,direct-execution-plan.json
holdout,18,terminal_validate,NONE,HEAVY,direct-execution-plan.json
