family,pair_id,lower_operand,lower_level,lower_value,upper_operand,upper_level,upper_value,role
temperature,temperature-q00-q05,minimum_temperature_inactive_c,q00,-27.520000000,minimum_temperature_unconstrained_c,q05,-14.298500000,forcing_support_grid_not_probability_prior
temperature,temperature-q00-q25,minimum_temperature_inactive_c,q00,-27.520000000,minimum_temperature_unconstrained_c,q25,-4.670000000,forcing_support_grid_not_probability_prior
temperature,temperature-q00-q50,minimum_temperature_inactive_c,q00,-27.520000000,minimum_temperature_unconstrained_c,q50,0.590000000,forcing_support_grid_not_probability_prior
temperature,temperature-q00-q75,minimum_temperature_inactive_c,q00,-27.520000000,minimum_temperature_unconstrained_c,q75,6.700000000,forcing_support_grid_not_probability_prior
temperature,temperature-q00-q95,minimum_temperature_inactive_c,q00,-27.520000000,minimum_temperature_unconstrained_c,q95,12.610000000,forcing_support_grid_not_probability_prior
temperature,temperature-q00-q100,minimum_temperature_inactive_c,q00,-27.520000000,minimum_temperature_unconstrained_c,q100,19.910000000,forcing_support_grid_not_probability_prior
temperature,temperature-q05-q25,minimum_temperature_inactive_c,q05,-14.298500000,minimum_temperature_unconstrained_c,q25,-4.670000000,forcing_support_grid_not_probability_prior
temperature,temperature-q05-q50,minimum_temperature_inactive_c,q05,-14.298500000,minimum_temperature_unconstrained_c,q50,0.590000000,forcing_support_grid_not_probability_prior
temperature,temperature-q05-q75,minimum_temperature_inactive_c,q05,-14.298500000,minimum_temperature_unconstrained_c,q75,6.700000000,forcing_support_grid_not_probability_prior
temperature,temperature-q05-q95,minimum_temperature_inactive_c,q05,-14.298500000,minimum_temperature_unconstrained_c,q95,12.610000000,forcing_support_grid_not_probability_prior
temperature,temperature-q05-q100,minimum_temperature_inactive_c,q05,-14.298500000,minimum_temperature_unconstrained_c,q100,19.910000000,forcing_support_grid_not_probability_prior
temperature,temperature-q25-q50,minimum_temperature_inactive_c,q25,-4.670000000,minimum_temperature_unconstrained_c,q50,0.590000000,forcing_support_grid_not_probability_prior
temperature,temperature-q25-q75,minimum_temperature_inactive_c,q25,-4.670000000,minimum_temperature_unconstrained_c,q75,6.700000000,forcing_support_grid_not_probability_prior
temperature,temperature-q25-q95,minimum_temperature_inactive_c,q25,-4.670000000,minimum_temperature_unconstrained_c,q95,12.610000000,forcing_support_grid_not_probability_prior
temperature,temperature-q25-q100,minimum_temperature_inactive_c,q25,-4.670000000,minimum_temperature_unconstrained_c,q100,19.910000000,forcing_support_grid_not_probability_prior
