case_id,selector,production_returncode,compared_days,compared_values,state,trace,patched_keys,management_sha256,runner_sha256,expected_probe_sha256,native_proof_source_sha256,production_argv,expected_argv,research_environment,toolchain
native_default,native_fixture_defaults,0,16437,131496,PASS_BIT_EXACT,/home/workdir/cal04b-objects/native-proof/native_default/canopy-research.jsonl,NONE,70c5aff2de0afea86f87ec7adf15e9ad98c7fe5a2ff83e50c63dfb5c5daaaf25,5036b9e30bc9157ef9e4ed9ccb0ee8e48582edd7563c99e4a41c5ad993926c88,66df5d47b5063bdf0b70e5bdb89509024ff28417c31bab4c2048fdb202e70e89,4df28c58cda64ca5f335b45b9f480dacfd70855a0e167f2538da749b40aa73b5,/home/workdir/openWEPP/target/debug/openwepp-cli-hill --run-dir /home/workdir/cal04b-objects/native-proof/native_default --run-file p10.native.run.toml --output-dir /home/workdir/cal04b-objects/native-proof/native_default/output --direct-production-executor,/home/workdir/openWEPP/docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe --climate /home/workdir/cal04b-objects/native-proof/native_default/p10.cli --output /home/workdir/cal04b-objects/native-proof/native_default/expected.csv --tmin-inactive -2.0 --tmin-unconstrained 5.0 --vpd-unconstrained 900.0 --vpd-inactive 4100.0 --photo-inactive 10.0 --photo-unconstrained 11.0 --bf 0.2 --bs 0.1 --fe 0.0 --lai 2.0 --cs 0.2 --bb 14.0,OPENWEPP_CANOPY_RESEARCH_TRACE_PATH=/home/workdir/cal04b-objects/native-proof/native_default/canopy-research.jsonl;OPENWEPP_CANOPY_RESEARCH_SITE_ID=hubbard_brook;OPENWEPP_CANOPY_RESEARCH_ARM_ID=deciduous,rustc 1.92.0 (ded5c06cf 2025-12-08)
interior,GSI-5557,0,16437,131496,PASS_BIT_EXACT,/home/workdir/cal04b-objects/native-proof/interior/canopy-research.jsonl,minimum_temperature_inactive_c;minimum_temperature_unconstrained_c;photoperiod_inactive_hours;photoperiod_unconstrained_hours;vapor_pressure_deficit_inactive_pa;vapor_pressure_deficit_unconstrained_pa,282da9de843af4464e9665a4486a3cdc46321bef063f28d9ebd69e8ed1a51a7a,5036b9e30bc9157ef9e4ed9ccb0ee8e48582edd7563c99e4a41c5ad993926c88,66df5d47b5063bdf0b70e5bdb89509024ff28417c31bab4c2048fdb202e70e89,4df28c58cda64ca5f335b45b9f480dacfd70855a0e167f2538da749b40aa73b5,/home/workdir/openWEPP/target/debug/openwepp-cli-hill --run-dir /home/workdir/cal04b-objects/native-proof/interior --run-file p10.native.run.toml --output-dir /home/workdir/cal04b-objects/native-proof/interior/output --direct-production-executor,/home/workdir/openWEPP/docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe --climate /home/workdir/cal04b-objects/native-proof/interior/p10.cli --output /home/workdir/cal04b-objects/native-proof/interior/expected.csv --tmin-inactive -4.67 --tmin-unconstrained 6.7 --vpd-unconstrained 221.146809 --vpd-inactive 655.89577675 --photo-inactive 12.478643418 --photo-unconstrained 15.020315923 --bf 0.2 --bs 0.1 --fe 0.0 --lai 2.0 --cs 0.2 --bb 14.0,OPENWEPP_CANOPY_RESEARCH_TRACE_PATH=/home/workdir/cal04b-objects/native-proof/interior/canopy-research.jsonl;OPENWEPP_CANOPY_RESEARCH_SITE_ID=hubbard_brook;OPENWEPP_CANOPY_RESEARCH_ARM_ID=deciduous,rustc 1.92.0 (ded5c06cf 2025-12-08)
double_boundary,GSI-0001,0,16437,131496,PASS_BIT_EXACT,/home/workdir/cal04b-objects/native-proof/double_boundary/canopy-research.jsonl,minimum_temperature_inactive_c;minimum_temperature_unconstrained_c;photoperiod_inactive_hours;photoperiod_unconstrained_hours;vapor_pressure_deficit_inactive_pa;vapor_pressure_deficit_unconstrained_pa,7ccb2f668cbe7057a1477dbb57b1baed291675148953f56b010408224ebf764a,5036b9e30bc9157ef9e4ed9ccb0ee8e48582edd7563c99e4a41c5ad993926c88,66df5d47b5063bdf0b70e5bdb89509024ff28417c31bab4c2048fdb202e70e89,4df28c58cda64ca5f335b45b9f480dacfd70855a0e167f2538da749b40aa73b5,/home/workdir/openWEPP/target/debug/openwepp-cli-hill --run-dir /home/workdir/cal04b-objects/native-proof/double_boundary --run-file p10.native.run.toml --output-dir /home/workdir/cal04b-objects/native-proof/double_boundary/output --direct-production-executor,/home/workdir/openWEPP/docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe --climate /home/workdir/cal04b-objects/native-proof/double_boundary/p10.cli --output /home/workdir/cal04b-objects/native-proof/double_boundary/expected.csv --tmin-inactive -27.52 --tmin-unconstrained -14.2985 --vpd-unconstrained 30.266994 --vpd-inactive 111.9937047 --photo-inactive 10.935970516 --photo-unconstrained 11.239373219 --bf 0.2 --bs 0.1 --fe 0.0 --lai 2.0 --cs 0.2 --bb 14.0,OPENWEPP_CANOPY_RESEARCH_TRACE_PATH=/home/workdir/cal04b-objects/native-proof/double_boundary/canopy-research.jsonl;OPENWEPP_CANOPY_RESEARCH_SITE_ID=hubbard_brook;OPENWEPP_CANOPY_RESEARCH_ARM_ID=deciduous,rustc 1.92.0 (ded5c06cf 2025-12-08)
saturated_first,GSI-0021,0,16437,131496,PASS_BIT_EXACT,/home/workdir/cal04b-objects/native-proof/saturated_first/canopy-research.jsonl,minimum_temperature_inactive_c;minimum_temperature_unconstrained_c;photoperiod_inactive_hours;photoperiod_unconstrained_hours;vapor_pressure_deficit_inactive_pa;vapor_pressure_deficit_unconstrained_pa,5fcd36c51be5b54dbb2a9d0e5b7474911b24c3d1072c4cfc83991f9e7c789b28,5036b9e30bc9157ef9e4ed9ccb0ee8e48582edd7563c99e4a41c5ad993926c88,66df5d47b5063bdf0b70e5bdb89509024ff28417c31bab4c2048fdb202e70e89,4df28c58cda64ca5f335b45b9f480dacfd70855a0e167f2538da749b40aa73b5,/home/workdir/openWEPP/target/debug/openwepp-cli-hill --run-dir /home/workdir/cal04b-objects/native-proof/saturated_first --run-file p10.native.run.toml --output-dir /home/workdir/cal04b-objects/native-proof/saturated_first/output --direct-production-executor,/home/workdir/openWEPP/docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe --climate /home/workdir/cal04b-objects/native-proof/saturated_first/p10.cli --output /home/workdir/cal04b-objects/native-proof/saturated_first/expected.csv --tmin-inactive -27.52 --tmin-unconstrained -14.2985 --vpd-unconstrained 30.266994 --vpd-inactive 111.9937047 --photo-inactive 15.287745094 --photo-unconstrained 15.29420801 --bf 0.2 --bs 0.1 --fe 0.0 --lai 2.0 --cs 0.2 --bb 14.0,OPENWEPP_CANOPY_RESEARCH_TRACE_PATH=/home/workdir/cal04b-objects/native-proof/saturated_first/canopy-research.jsonl;OPENWEPP_CANOPY_RESEARCH_SITE_ID=hubbard_brook;OPENWEPP_CANOPY_RESEARCH_ARM_ID=deciduous,rustc 1.92.0 (ded5c06cf 2025-12-08)
all_operands,native defaults plus all six canopy operands,0,16437,131496,PASS_BIT_EXACT,/home/workdir/cal04b-objects/native-proof/all_operands/canopy-research.jsonl,bb;evergreen_fraction;structural_biomass_kg_m2;structural_canopy_cover_fraction;summer_foliar_biomass_kg_m2;xmxlai,7a0d44431d7b6cadc37b596fae49af271deda4d4fa843747fe5d8d76bc0b311a,5036b9e30bc9157ef9e4ed9ccb0ee8e48582edd7563c99e4a41c5ad993926c88,66df5d47b5063bdf0b70e5bdb89509024ff28417c31bab4c2048fdb202e70e89,4df28c58cda64ca5f335b45b9f480dacfd70855a0e167f2538da749b40aa73b5,/home/workdir/openWEPP/target/debug/openwepp-cli-hill --run-dir /home/workdir/cal04b-objects/native-proof/all_operands --run-file p10.native.run.toml --output-dir /home/workdir/cal04b-objects/native-proof/all_operands/output --direct-production-executor,/home/workdir/openWEPP/docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe --climate /home/workdir/cal04b-objects/native-proof/all_operands/p10.cli --output /home/workdir/cal04b-objects/native-proof/all_operands/expected.csv --tmin-inactive -2.0 --tmin-unconstrained 5.0 --vpd-unconstrained 900.0 --vpd-inactive 4100.0 --photo-inactive 10.0 --photo-unconstrained 11.0 --bf 0.3 --bs 0.2 --fe 0.5 --lai 6.0 --cs 0.5 --bb 10.0,OPENWEPP_CANOPY_RESEARCH_TRACE_PATH=/home/workdir/cal04b-objects/native-proof/all_operands/canopy-research.jsonl;OPENWEPP_CANOPY_RESEARCH_SITE_ID=hubbard_brook;OPENWEPP_CANOPY_RESEARCH_ARM_ID=deciduous,rustc 1.92.0 (ded5c06cf 2025-12-08)
perturb_bf_max,native defaults plus Bf_max=0.30,0,16437,131496,PASS_BIT_EXACT,/home/workdir/cal04b-objects/native-proof/perturb_bf_max/canopy-research.jsonl,summer_foliar_biomass_kg_m2,bf2962fd8911a77753f811b469a9ef7d5db06a38e3ab3d0087ece1c58e8a714c,5036b9e30bc9157ef9e4ed9ccb0ee8e48582edd7563c99e4a41c5ad993926c88,66df5d47b5063bdf0b70e5bdb89509024ff28417c31bab4c2048fdb202e70e89,4df28c58cda64ca5f335b45b9f480dacfd70855a0e167f2538da749b40aa73b5,/home/workdir/openWEPP/target/debug/openwepp-cli-hill --run-dir /home/workdir/cal04b-objects/native-proof/perturb_bf_max --run-file p10.native.run.toml --output-dir /home/workdir/cal04b-objects/native-proof/perturb_bf_max/output --direct-production-executor,/home/workdir/openWEPP/docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe --climate /home/workdir/cal04b-objects/native-proof/perturb_bf_max/p10.cli --output /home/workdir/cal04b-objects/native-proof/perturb_bf_max/expected.csv --tmin-inactive -2.0 --tmin-unconstrained 5.0 --vpd-unconstrained 900.0 --vpd-inactive 4100.0 --photo-inactive 10.0 --photo-unconstrained 11.0 --bf 0.3 --bs 0.1 --fe 0.0 --lai 2.0 --cs 0.2 --bb 14.0,OPENWEPP_CANOPY_RESEARCH_TRACE_PATH=/home/workdir/cal04b-objects/native-proof/perturb_bf_max/canopy-research.jsonl;OPENWEPP_CANOPY_RESEARCH_SITE_ID=hubbard_brook;OPENWEPP_CANOPY_RESEARCH_ARM_ID=deciduous,rustc 1.92.0 (ded5c06cf 2025-12-08)
perturb_bs,native defaults plus Bs=0.20,0,16437,131496,PASS_BIT_EXACT,/home/workdir/cal04b-objects/native-proof/perturb_bs/canopy-research.jsonl,structural_biomass_kg_m2,62bf8a1987869bd6b3ce1a5380e1cd4a3db8461a819bc26a2d3472bdd4575d6e,5036b9e30bc9157ef9e4ed9ccb0ee8e48582edd7563c99e4a41c5ad993926c88,66df5d47b5063bdf0b70e5bdb89509024ff28417c31bab4c2048fdb202e70e89,4df28c58cda64ca5f335b45b9f480dacfd70855a0e167f2538da749b40aa73b5,/home/workdir/openWEPP/target/debug/openwepp-cli-hill --run-dir /home/workdir/cal04b-objects/native-proof/perturb_bs --run-file p10.native.run.toml --output-dir /home/workdir/cal04b-objects/native-proof/perturb_bs/output --direct-production-executor,/home/workdir/openWEPP/docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe --climate /home/workdir/cal04b-objects/native-proof/perturb_bs/p10.cli --output /home/workdir/cal04b-objects/native-proof/perturb_bs/expected.csv --tmin-inactive -2.0 --tmin-unconstrained 5.0 --vpd-unconstrained 900.0 --vpd-inactive 4100.0 --photo-inactive 10.0 --photo-unconstrained 11.0 --bf 0.2 --bs 0.2 --fe 0.0 --lai 2.0 --cs 0.2 --bb 14.0,OPENWEPP_CANOPY_RESEARCH_TRACE_PATH=/home/workdir/cal04b-objects/native-proof/perturb_bs/canopy-research.jsonl;OPENWEPP_CANOPY_RESEARCH_SITE_ID=hubbard_brook;OPENWEPP_CANOPY_RESEARCH_ARM_ID=deciduous,rustc 1.92.0 (ded5c06cf 2025-12-08)
perturb_fe,native defaults plus fe=0.50,0,16437,131496,PASS_BIT_EXACT,/home/workdir/cal04b-objects/native-proof/perturb_fe/canopy-research.jsonl,evergreen_fraction,432e8c900ea49225a1581d0e53ffeb9bcd89b7f173f2d9a92b70a2dbbc65f4c4,5036b9e30bc9157ef9e4ed9ccb0ee8e48582edd7563c99e4a41c5ad993926c88,66df5d47b5063bdf0b70e5bdb89509024ff28417c31bab4c2048fdb202e70e89,4df28c58cda64ca5f335b45b9f480dacfd70855a0e167f2538da749b40aa73b5,/home/workdir/openWEPP/target/debug/openwepp-cli-hill --run-dir /home/workdir/cal04b-objects/native-proof/perturb_fe --run-file p10.native.run.toml --output-dir /home/workdir/cal04b-objects/native-proof/perturb_fe/output --direct-production-executor,/home/workdir/openWEPP/docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe --climate /home/workdir/cal04b-objects/native-proof/perturb_fe/p10.cli --output /home/workdir/cal04b-objects/native-proof/perturb_fe/expected.csv --tmin-inactive -2.0 --tmin-unconstrained 5.0 --vpd-unconstrained 900.0 --vpd-inactive 4100.0 --photo-inactive 10.0 --photo-unconstrained 11.0 --bf 0.2 --bs 0.1 --fe 0.5 --lai 2.0 --cs 0.2 --bb 14.0,OPENWEPP_CANOPY_RESEARCH_TRACE_PATH=/home/workdir/cal04b-objects/native-proof/perturb_fe/canopy-research.jsonl;OPENWEPP_CANOPY_RESEARCH_SITE_ID=hubbard_brook;OPENWEPP_CANOPY_RESEARCH_ARM_ID=deciduous,rustc 1.92.0 (ded5c06cf 2025-12-08)
perturb_xmxlai,native defaults plus xmxlai=6.00,0,16437,131496,PASS_BIT_EXACT,/home/workdir/cal04b-objects/native-proof/perturb_xmxlai/canopy-research.jsonl,xmxlai,006c4ae796fa7aecd58ad60d554b0c7c15829cab5a7f3636d3355c94d0c240a7,5036b9e30bc9157ef9e4ed9ccb0ee8e48582edd7563c99e4a41c5ad993926c88,66df5d47b5063bdf0b70e5bdb89509024ff28417c31bab4c2048fdb202e70e89,4df28c58cda64ca5f335b45b9f480dacfd70855a0e167f2538da749b40aa73b5,/home/workdir/openWEPP/target/debug/openwepp-cli-hill --run-dir /home/workdir/cal04b-objects/native-proof/perturb_xmxlai --run-file p10.native.run.toml --output-dir /home/workdir/cal04b-objects/native-proof/perturb_xmxlai/output --direct-production-executor,/home/workdir/openWEPP/docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe --climate /home/workdir/cal04b-objects/native-proof/perturb_xmxlai/p10.cli --output /home/workdir/cal04b-objects/native-proof/perturb_xmxlai/expected.csv --tmin-inactive -2.0 --tmin-unconstrained 5.0 --vpd-unconstrained 900.0 --vpd-inactive 4100.0 --photo-inactive 10.0 --photo-unconstrained 11.0 --bf 0.2 --bs 0.1 --fe 0.0 --lai 6.0 --cs 0.2 --bb 14.0,OPENWEPP_CANOPY_RESEARCH_TRACE_PATH=/home/workdir/cal04b-objects/native-proof/perturb_xmxlai/canopy-research.jsonl;OPENWEPP_CANOPY_RESEARCH_SITE_ID=hubbard_brook;OPENWEPP_CANOPY_RESEARCH_ARM_ID=deciduous,rustc 1.92.0 (ded5c06cf 2025-12-08)
perturb_cs,native defaults plus Cs=0.50,0,16437,131496,PASS_BIT_EXACT,/home/workdir/cal04b-objects/native-proof/perturb_cs/canopy-research.jsonl,structural_canopy_cover_fraction,50ee4415e09a8cc02d002910f6b5e0c44e58898e890c87ec8be15d8735298a02,5036b9e30bc9157ef9e4ed9ccb0ee8e48582edd7563c99e4a41c5ad993926c88,66df5d47b5063bdf0b70e5bdb89509024ff28417c31bab4c2048fdb202e70e89,4df28c58cda64ca5f335b45b9f480dacfd70855a0e167f2538da749b40aa73b5,/home/workdir/openWEPP/target/debug/openwepp-cli-hill --run-dir /home/workdir/cal04b-objects/native-proof/perturb_cs --run-file p10.native.run.toml --output-dir /home/workdir/cal04b-objects/native-proof/perturb_cs/output --direct-production-executor,/home/workdir/openWEPP/docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe --climate /home/workdir/cal04b-objects/native-proof/perturb_cs/p10.cli --output /home/workdir/cal04b-objects/native-proof/perturb_cs/expected.csv --tmin-inactive -2.0 --tmin-unconstrained 5.0 --vpd-unconstrained 900.0 --vpd-inactive 4100.0 --photo-inactive 10.0 --photo-unconstrained 11.0 --bf 0.2 --bs 0.1 --fe 0.0 --lai 2.0 --cs 0.5 --bb 14.0,OPENWEPP_CANOPY_RESEARCH_TRACE_PATH=/home/workdir/cal04b-objects/native-proof/perturb_cs/canopy-research.jsonl;OPENWEPP_CANOPY_RESEARCH_SITE_ID=hubbard_brook;OPENWEPP_CANOPY_RESEARCH_ARM_ID=deciduous,rustc 1.92.0 (ded5c06cf 2025-12-08)
