case_id,mutated_field,value_class,value,expected_variant,expected_field
ZERO-SOURCE,surface_litter_input_kg_m2,VALID_ZERO,0,STATE,not_applicable
ZERO-STOCK,surface_residue_seed_kg_m2,VALID_ZERO,0,STATE,not_applicable
ZERO-RATE,surface_decomposition_rate,VALID_DIRECT_KERNEL_ZERO,0,STATE,not_applicable
NEG-SOURCE,surface_litter_input_kg_m2,NEGATIVE,-0.1,NegativeDirectValue,decomposition.surface_litter_input_kg_m2
NEG-STOCK,surface_residue_seed_kg_m2,NEGATIVE,-0.1,NegativeDirectValue,decomposition.surface_residue_seed_kg_m2
NEG-RATE,surface_decomposition_rate,NEGATIVE,-0.1,NegativeDirectValue,decomposition.surface_decomposition_rate
NEG-PRECIP,precipitation_m,NEGATIVE,-0.1,NegativeDirectValue,decomposition.precipitation_m
NAN-SOURCE,surface_litter_input_kg_m2,NAN,NaN,NonFiniteDirectValue,decomposition.surface_litter_input_kg_m2
POSINF-STOCK,surface_residue_seed_kg_m2,POSITIVE_INFINITY,inf,NonFiniteDirectValue,decomposition.surface_residue_seed_kg_m2
NEGINF-RATE,surface_decomposition_rate,NEGATIVE_INFINITY,-inf,NonFiniteDirectValue,decomposition.surface_decomposition_rate
STRESS-HIGH,water_stress_fraction,ABOVE_DOMAIN,1.1,DirectDomainViolation,decomposition.water_stress_fraction
STRESS-LOW,water_stress_fraction,BELOW_DOMAIN,-0.1,NegativeDirectValue,decomposition.water_stress_fraction
DAY-ZERO,runtime_day_of_year,BELOW_DOMAIN,0,DirectDomainViolation,decomposition.runtime_day_of_year
DAY-HIGH,runtime_day_of_year,ABOVE_DOMAIN,367,DirectDomainViolation,decomposition.runtime_day_of_year
CONTEXT-MISSING,active_context,MISSING,Missing,DirectDomainViolation,decomposition.active_context
CONTEXT-AMBIGUOUS,active_context,AMBIGUOUS,Ambiguous,DirectDomainViolation,decomposition.active_context
