site,stratum,fixture,member_id,quantity,units,matched_count,bias,mae,rmse,verdict
harvard,deciduous,harvard_deciduous_ma,GSI-2198,density,kg_m3,425,46.47642030883206,93.65953556973807,118.56754809858728,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2198,snow_depth,m,448,0.05109662514961754,0.12806613861609212,0.17271277885635192,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2198,swe,mm,0,,,,INVALID_SOURCE_UNIT_IDENTITY_CONTRADICTION
harvard,deciduous,harvard_deciduous_ma,GSI-2199,density,kg_m3,425,46.47642030883206,93.65953556973807,118.56754809858728,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2199,snow_depth,m,448,0.05109662514961754,0.12806613861609212,0.17271277885635192,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2199,swe,mm,0,,,,INVALID_SOURCE_UNIT_IDENTITY_CONTRADICTION
harvard,deciduous,harvard_deciduous_ma,GSI-2629,density,kg_m3,425,46.49846044982849,93.6608831373103,118.56320645955455,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2629,snow_depth,m,448,0.05117056860063179,0.12799996748123785,0.17267799998522468,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2629,swe,mm,0,,,,INVALID_SOURCE_UNIT_IDENTITY_CONTRADICTION
harvard,deciduous,harvard_deciduous_ma,GSI-2630,density,kg_m3,425,46.49365565521795,93.65607834269974,118.56435211419878,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2630,snow_depth,m,448,0.05114881325798977,0.12801573046028034,0.17268620103603619,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2630,swe,mm,0,,,,INVALID_SOURCE_UNIT_IDENTITY_CONTRADICTION
harvard,deciduous,harvard_deciduous_ma,GSI-2631,density,kg_m3,425,46.493546343835746,93.65596903131754,118.5643799107049,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2631,snow_depth,m,448,0.05114836289072909,0.12801613874986717,0.172686393630014,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2631,swe,mm,0,,,,INVALID_SOURCE_UNIT_IDENTITY_CONTRADICTION
harvard,deciduous,harvard_deciduous_ma,GSI-2634,density,kg_m3,425,46.47797279589861,93.65798308267152,118.56749484301245,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2634,snow_depth,m,448,0.051104840606762146,0.1280579231589475,0.17270835630779346,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2634,swe,mm,0,,,,INVALID_SOURCE_UNIT_IDENTITY_CONTRADICTION
harvard,deciduous,harvard_deciduous_ma,GSI-2635,density,kg_m3,425,46.47475124285805,93.6612046357121,118.5676149899612,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2635,snow_depth,m,448,0.05109543039341779,0.12806733337229187,0.1727135416868585,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2635,swe,mm,0,,,,INVALID_SOURCE_UNIT_IDENTITY_CONTRADICTION
harvard,deciduous,harvard_deciduous_ma,GSI-2636,density,kg_m3,425,46.47471711889664,93.66123875967348,118.56761646171469,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2636,snow_depth,m,448,0.05109534352906101,0.12806742023664866,0.17271359070393213,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2636,swe,mm,0,,,,INVALID_SOURCE_UNIT_IDENTITY_CONTRADICTION
harvard,deciduous,harvard_deciduous_ma,GSI-2638,density,kg_m3,425,46.47642030883206,93.65953556973807,118.56754809858728,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2638,snow_depth,m,448,0.05109662514961754,0.12806613861609212,0.17271277885635192,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-2638,swe,mm,0,,,,INVALID_SOURCE_UNIT_IDENTITY_CONTRADICTION
harvard,deciduous,harvard_deciduous_ma,GSI-3941,density,kg_m3,425,46.47642030883206,93.65953556973807,118.56754809858728,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-3941,snow_depth,m,448,0.05109662514961754,0.12806613861609212,0.17271277885635192,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-3941,swe,mm,0,,,,INVALID_SOURCE_UNIT_IDENTITY_CONTRADICTION
harvard,deciduous,harvard_deciduous_ma,GSI-3942,density,kg_m3,425,46.47642030883206,93.65953556973807,118.56754809858728,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,harvard_deciduous_ma,GSI-3942,snow_depth,m,448,0.05109662514961754,0.12806613861609212,0.17271277885635192,BOUNDED_NO_SOURCE_UNCERTAINTY
