site_id,vegetation_class,year,direction,date_50,doy_50
SH-DB-BEZA,DB,2023,rising,2023-10-30,303
SH-DB-BEZA,DB,2024,rising,2024-08-24,237
SH-DB-BEZA,DB,2024,falling,2024-05-21,142
SH-DB-BEZA,DB,2025,rising,2025-09-05,248
SH-DB-BEZA,DB,2025,falling,2025-05-01,121
SH-DB-BEZA,DB,2026,falling,2026-04-26,116
SH-EN-ALERCE,EN,2024,rising,2024-11-07,312
SH-EN-ALERCE,EN,2024,falling,2024-05-16,137
SH-EN-ALERCE,EN,2025,rising,2025-11-07,311
SH-EN-ALERCE,EN,2025,falling,2025-04-29,119
SH-EN-ALERCE,EN,2026,falling,2026-04-10,100
