scenario,member_or_default,event_id,operator,model_level,threshold_gsi21,direction,crossing_sequence,crossing_ordinal,crossing_date,inside_event_window
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.50,0.085275229320187759,rising,1,738508.202508066,2022-12-19,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.50,0.085275229320187759,falling,2,738569.268293273,2023-02-18,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.50,0.085275229320187759,rising,3,738888.443237090,2024-01-03,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.50,0.085275229320187759,falling,4,738911.182105627,2024-01-26,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.50,0.085275229320187759,rising,5,739273.285426035,2025-01-22,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.50,0.085275229320187759,falling,6,739308.901528962,2025-02-26,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,rising,1,738167.024318286,2022-01-12,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,falling,2,738190.978309146,2022-02-04,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,rising,3,738192.766367886,2022-02-06,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,falling,4,738213.917055027,2022-02-27,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,rising,5,738490.315259417,2022-12-01,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,falling,6,738581.236687979,2023-03-02,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,rising,7,738832.838988515,2023-11-08,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,falling,8,738853.385652407,2023-11-29,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,rising,9,738883.467146492,2023-12-29,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,falling,10,738950.949840491,2024-03-05,True
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,rising,11,739220.677663204,2024-11-30,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,falling,12,739239.029444508,2024-12-19,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,rising,13,739266.686621565,2025-01-15,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,falling,14,739322.142211616,2025-03-12,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,rising,15,739573.694074762,2025-11-18,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,falling,16,739596.929213052,2025-12-11,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,rising,17,739602.268438438,2025-12-17,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.10,0.017055045864037551,falling,18,739657.685496402,2026-02-10,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,rising,1,738167.988540247,2022-01-12,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,falling,2,738168.244525853,2022-01-13,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,rising,3,738169.465959971,2022-01-14,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,falling,4,738187.432229416,2022-02-01,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,rising,5,738494.304594719,2022-12-05,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,falling,6,738499.732909897,2022-12-10,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,rising,7,738501.997823796,2022-12-12,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,falling,8,738578.462970752,2023-02-27,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,rising,9,738884.798750774,2023-12-30,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,falling,10,738915.718398589,2024-01-30,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,rising,11,738920.948607125,2024-02-04,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,falling,12,738944.372990225,2024-02-28,True
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,rising,13,739268.274244213,2025-01-17,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,falling,14,739317.242426858,2025-03-07,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,rising,15,739575.830743432,2025-11-20,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,falling,16,739594.761820548,2025-12-09,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,rising,17,739608.227278194,2025-12-23,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,falling,18,739633.461853289,2026-01-17,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,rising,19,739636.358000301,2026-01-20,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.20,0.034110091728075102,falling,20,739645.380262149,2026-01-29,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,rising,1,738170.993181546,2022-01-15,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,falling,2,738172.453260848,2022-01-17,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,rising,3,738173.671107090,2022-01-18,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,falling,4,738175.387260863,2022-01-20,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,rising,5,738502.828533173,2022-12-13,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,falling,6,738577.081309767,2023-02-26,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,rising,7,738885.327994118,2023-12-31,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,falling,8,738914.719502083,2024-01-29,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,rising,9,738921.995302165,2024-02-05,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,falling,10,738943.001655014,2024-02-27,True
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,rising,11,739269.280269732,2025-01-18,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,falling,12,739315.110455798,2025-03-05,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,rising,13,739588.451532585,2025-12-03,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,falling,14,739594.018206128,2025-12-09,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,rising,15,739610.429462584,2025-12-25,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,falling,16,739631.667261988,2026-01-15,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,rising,17,739637.069486850,2026-01-21,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.25,0.04263761466009388,falling,18,739644.597185747,2026-01-28,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,rising,1,738503.468898330,2022-12-14,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,falling,2,738575.715536363,2023-02-24,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,rising,3,738885.858368232,2023-12-31,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,falling,4,738913.955705886,2024-01-28,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,rising,5,738923.281748465,2024-02-07,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,falling,6,738926.353176889,2024-02-10,True
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,rising,7,738931.146853857,2024-02-15,True
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,falling,8,738941.921344842,2024-02-25,True
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,rising,9,739270.361835154,2025-01-19,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,falling,10,739313.727244451,2025-03-03,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,rising,11,739610.989230964,2025-12-25,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,falling,12,739631.150410988,2026-01-15,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,rising,13,739639.731924561,2026-01-23,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.30,0.051165137592112657,falling,14,739641.450433961,2026-01-25,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.40,0.068220183456150205,rising,1,738505.721785978,2022-12-16,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.40,0.068220183456150205,falling,2,738571.283384554,2023-02-20,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.40,0.068220183456150205,rising,3,738886.954417260,2024-01-01,False
BASE,GSI-2198,2024-falling,EVENT_YEAR_RELATIVE,0.40,0.068220183456150205,falling,4,738912.561408313,2024-01-27,False
