scenario,member_or_default,event_id,event_year,direction,operator,model_level,observed_date,threshold_gsi21,event_date_gsi21,matched,selected_crossing_ordinal,selected_crossing_date,residual_days,global_same_direction_count,in_window_count,extra_in_window_count,out_of_window_count
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.10,2024-05-21,0.017055045864037551,0,True,738950.949840491,2024-03-05,-76.050159509,9,1,0,8
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.20,2024-05-21,0.034110091728075102,0,True,738944.372990225,2024-02-28,-82.627009775,10,1,0,9
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.25,2024-05-21,0.04263761466009388,0,True,738943.001655014,2024-02-27,-83.998344986,9,1,0,8
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.30,2024-05-21,0.051165137592112657,0,True,738926.353176889,2024-02-10,-100.646823111,7,2,1,5
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.40,2024-05-21,0.068220183456150205,0,False,,,,4,0,0,4
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.50,2024-05-21,0.085275229320187759,0,False,,,,3,0,0,3
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.60,2024-05-21,0.10233027518422531,0,False,,,,4,0,0,4
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.70,2024-05-21,0.11938532104826285,0,False,,,,4,0,0,4
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.75,2024-05-21,0.12791284398028163,0,False,,,,5,0,0,5
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.80,2024-05-21,0.13644036691230041,0,False,,,,4,0,0,4
BASE,GSI-2198,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.90,2024-05-21,0.15349541277633796,0,False,,,,3,0,0,3
BASE,GSI-2198,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.10,2024-08-24,0.017055045864037551,0,True,739220.677663204,2024-11-30,98.677663204,9,1,0,8
