member,gcc_mean_score_days,gcc_mean_rank,gcc_90_score_days,gcc_90_rank,rank_difference,in_both_top_quartiles
GSI-2198,119.73724046750188,28,126.40390713416855,28,0,False
GSI-2199,119.73724046750188,29,126.40390713416855,29,0,False
GSI-2629,92.34356345274136,10,99.01023011940804,10,0,True
GSI-2630,92.34356345274136,11,99.01023011940804,11,0,False
GSI-2631,92.34356345274136,12,99.01023011940804,12,0,False
GSI-2634,98.73192786566021,22,105.39859453232687,22,0,False
GSI-2635,98.73192786566021,23,105.39859453232687,23,0,False
GSI-2636,98.73192786566021,24,105.39859453232687,24,0,False
GSI-2638,119.74152536333229,34,126.40819202999894,34,0,False
GSI-3941,125.15364346201143,36,131.8203101286781,36,0,False
GSI-3942,125.15364346201143,37,131.8203101286781,37,0,False
GSI-3962,119.73724046750188,30,126.40390713416855,30,0,False
GSI-3963,119.73724046750188,31,126.40390713416855,31,0,False
GSI-4372,92.5253313544187,15,99.19199802108535,15,0,False
GSI-4377,98.88484748865206,26,105.55151415531873,26,0,False
GSI-4393,92.21477358899817,7,98.88144025566483,7,0,True
GSI-4394,92.21477358899817,8,98.88144025566483,8,0,True
GSI-4395,92.21477358899817,9,98.88144025566483,9,0,True
GSI-4398,98.63150693982607,16,105.29817360649274,16,0,False
GSI-4399,98.63150693982607,17,105.29817360649274,17,0,False
GSI-4400,98.63150693982607,18,105.29817360649274,18,0,False
GSI-4402,119.73724046750188,32,126.40390713416855,32,0,False
GSI-4831,59.12471335983719,1,65.87471335983719,1,0,True
GSI-4832,85.7172888632631,2,92.38395552992976,2,0,True
GSI-4833,92.38695329116308,13,99.05361995782975,13,0,False
GSI-4837,89.50372778266319,3,96.17039444932986,3,0,True
GSI-4838,98.7737253754943,25,105.44039204216097,25,0,False
GSI-4842,119.74326460700831,35,126.40993127367499,35,0,False
GSI-5695,92.522508619586,14,99.18917528625268,14,0,False
GSI-5700,98.88484748865206,27,105.55151415531873,27,0,False
GSI-5716,92.21195085416548,4,98.87861752083215,4,0,True
GSI-5717,92.21195085416548,5,98.87861752083215,5,0,True
GSI-5718,92.21195085416548,6,98.87861752083215,6,0,True
GSI-5721,98.63150693982607,19,105.29817360649274,19,0,False
GSI-5722,98.63150693982607,20,105.29817360649274,20,0,False
GSI-5723,98.63150693982607,21,105.29817360649274,21,0,False
GSI-5725,119.73724046750188,33,126.40390713416855,33,0,False
