index,site,stratum,day_of_year,median,count
0,harvard,deciduous,1,0.15,3
1,harvard,deciduous,2,0.105,4
2,harvard,deciduous,3,0.14500000000000002,4
3,harvard,deciduous,4,0.14,4
4,harvard,deciduous,5,0.13,4
5,harvard,deciduous,6,0.055,4
6,harvard,deciduous,7,0.075,4
7,harvard,deciduous,8,0.14,4
8,harvard,deciduous,9,0.125,4
9,harvard,deciduous,10,0.125,4
10,harvard,deciduous,11,0.155,4
11,harvard,deciduous,12,0.26,4
12,harvard,deciduous,13,0.245,4
13,harvard,deciduous,14,0.245,4
14,harvard,deciduous,15,0.245,4
15,harvard,deciduous,16,0.25,4
16,harvard,deciduous,17,0.25,4
17,harvard,deciduous,18,0.35,4
18,harvard,deciduous,19,0.38,4
19,harvard,deciduous,20,0.365,4
20,harvard,deciduous,21,0.385,4
21,harvard,deciduous,22,0.38,4
22,harvard,deciduous,23,0.375,4
23,harvard,deciduous,24,0.345,4
24,harvard,deciduous,25,0.29000000000000004,4
25,harvard,deciduous,26,0.245,4
26,harvard,deciduous,27,0.245,4
27,harvard,deciduous,28,0.29000000000000004,4
28,harvard,deciduous,29,0.30000000000000004,4
29,harvard,deciduous,30,0.30000000000000004,4
30,harvard,deciduous,31,0.31,4
31,harvard,deciduous,32,0.30000000000000004,4
32,harvard,deciduous,33,0.29500000000000004,4
33,harvard,deciduous,34,0.29500000000000004,4
34,harvard,deciduous,35,0.315,4
35,harvard,deciduous,36,0.345,4
36,harvard,deciduous,37,0.35,4
37,harvard,deciduous,38,0.33999999999999997,4
38,harvard,deciduous,39,0.33999999999999997,4
39,harvard,deciduous,40,0.33,4
40,harvard,deciduous,41,0.33,4
41,harvard,deciduous,42,0.33,4
42,harvard,deciduous,43,0.28,4
43,harvard,deciduous,44,0.275,4
44,harvard,deciduous,45,0.375,4
45,harvard,deciduous,46,0.365,4
46,harvard,deciduous,47,0.38,4
47,harvard,deciduous,48,0.395,4
48,harvard,deciduous,49,0.3,5
49,harvard,deciduous,50,0.3,5
50,harvard,deciduous,51,0.3,5
51,harvard,deciduous,52,0.29,5
52,harvard,deciduous,53,0.29,5
53,harvard,deciduous,54,0.36,5
54,harvard,deciduous,55,0.37,5
55,harvard,deciduous,56,0.35,5
56,harvard,deciduous,57,0.32,5
57,harvard,deciduous,58,0.38,5
58,harvard,deciduous,59,0.31,5
59,harvard,deciduous,60,0.3,5
60,harvard,deciduous,61,0.4,5
61,harvard,deciduous,62,0.435,4
62,harvard,deciduous,63,0.42500000000000004,4
63,harvard,deciduous,64,0.4,4
64,harvard,deciduous,65,0.385,4
65,harvard,deciduous,66,0.33999999999999997,4
66,harvard,deciduous,67,0.375,4
67,harvard,deciduous,68,0.33499999999999996,4
68,harvard,deciduous,69,0.32,4
69,harvard,deciduous,70,0.275,4
70,harvard,deciduous,71,0.24,4
71,harvard,deciduous,72,0.215,4
72,harvard,deciduous,73,0.235,4
73,harvard,deciduous,74,0.23500000000000001,4
74,harvard,deciduous,75,0.23,4
75,harvard,deciduous,76,0.21500000000000002,4
76,harvard,deciduous,77,0.21000000000000002,4
77,harvard,deciduous,78,0.24,4
78,harvard,deciduous,79,0.225,4
79,harvard,deciduous,80,0.255,4
80,harvard,deciduous,81,0.275,4
81,harvard,deciduous,82,0.26,4
82,harvard,deciduous,83,0.24,4
83,harvard,deciduous,84,0.23,4
84,harvard,deciduous,85,0.21500000000000002,4
85,harvard,deciduous,86,0.2,4
86,harvard,deciduous,87,0.185,4
87,harvard,deciduous,88,0.16999999999999998,4
88,harvard,deciduous,89,0.16,4
89,harvard,deciduous,90,0.14,3
90,harvard,deciduous,91,0.13,3
91,harvard,deciduous,92,0.12,3
92,harvard,deciduous,93,0.1,3
93,harvard,deciduous,94,0.04,3
94,harvard,deciduous,95,0.02,3
95,harvard,deciduous,96,0.025,2
96,harvard,deciduous,97,0.01,2
97,harvard,deciduous,98,0.0,2
98,harvard,deciduous,99,0.0,1
99,harvard,deciduous,100,0.0,1
100,harvard,deciduous,101,0.0,1
101,harvard,deciduous,102,0.0,1
102,harvard,deciduous,103,0.0,1
103,harvard,deciduous,104,0.0,1
104,harvard,deciduous,105,0.0,1
105,harvard,deciduous,106,0.1,1
106,harvard,deciduous,107,0.02,1
107,harvard,deciduous,108,0.0,1
108,harvard,deciduous,341,0.0,1
109,harvard,deciduous,342,0.01,1
110,harvard,deciduous,343,0.02,1
