lane_id,stratum,corpus,observation_file,observation_sha256,record_count,water_year_min,water_year_max,water_year_count,eb04u_role,reason
harvard_hardwood,hardwood,cancov_forest,tests/fixtures/cancov_forest/observations/sites/harvard_hf237_strata.csv,63240caf3c681df2c641dffc50591e10ce3a0a7506cf40aa994dd03be1e5e1ea,821,2009,2014,6,DIAGNOSTIC_ONLY,previously consumed by EB-04S/04T and now used to design mechanisms/operators
harvard_open,open,cancov_forest,tests/fixtures/cancov_forest/observations/sites/harvard_hf237_strata.csv,63240caf3c681df2c641dffc50591e10ce3a0a7506cf40aa994dd03be1e5e1ea,821,2009,2014,6,DIAGNOSTIC_ONLY,previously consumed by EB-04S/04T and now used to design mechanisms/operators
marcell_conifer,conifer,cancov_forest,tests/fixtures/cancov_forest/observations/sites/marcell_rds_2021_0016_stratum_means.csv,17838330c032755dd0d9f7036f4897ba7bf9d61bad15a41d12650af1e2a88365,237,1962,2019,57,DIAGNOSTIC_ONLY,previously consumed by EB-04S/04T and now used to design mechanisms/operators
marcell_deciduous,deciduous,cancov_forest,tests/fixtures/cancov_forest/observations/sites/marcell_rds_2021_0016_stratum_means.csv,17838330c032755dd0d9f7036f4897ba7bf9d61bad15a41d12650af1e2a88365,255,1962,2019,57,DIAGNOSTIC_ONLY,previously consumed by EB-04S/04T and now used to design mechanisms/operators
marcell_open,open,cancov_forest,tests/fixtures/cancov_forest/observations/sites/marcell_rds_2021_0016_stratum_means.csv,17838330c032755dd0d9f7036f4897ba7bf9d61bad15a41d12650af1e2a88365,214,1962,2019,57,DIAGNOSTIC_ONLY,previously consumed by EB-04S/04T and now used to design mechanisms/operators
snotel_css_lab_ca,open,snotel_observed,tests/fixtures/snotel_observed/observations/sites/snotel_css_lab_ca.csv,c145be9ca6222b8c5ed521b5a11e837f3d213882f0969ab85a53e5d4975eb538,15379,1981,2025,45,DIAGNOSTIC_ONLY,previously consumed by EB-04S/04T and now used to design mechanisms/operators
snotel_mica_creek_st_joe_id,open,snotel_observed,tests/fixtures/snotel_observed/observations/sites/snotel_mica_creek_st_joe_id.csv,7050f3ed53e70dd4c600b99f192e074948086ac2c5a7df15f802d91224c037ce,12448,1990,2025,36,DIAGNOSTIC_ONLY,previously consumed by EB-04S/04T and now used to design mechanisms/operators
snotel_niwot_co,open,snotel_observed,tests/fixtures/snotel_observed/observations/sites/snotel_niwot_co.csv,3f75d2804db807c3a4b93cc94b4dfcb3e9ad44ecdc6ea328182b820b598f4d1c,16022,1980,2025,46,DIAGNOSTIC_ONLY,previously consumed by EB-04S/04T and now used to design mechanisms/operators
snotel_paradise_wa,open,snotel_observed,tests/fixtures/snotel_observed/observations/sites/snotel_paradise_wa.csv,a8505c16a121a27f6d30d034a4d828e0ba3618ac93dbe909324806f708c22795,15204,1980,2025,46,DIAGNOSTIC_ONLY,previously consumed by EB-04S/04T and now used to design mechanisms/operators
snotel_snowbird_ut,open,snotel_observed,tests/fixtures/snotel_observed/observations/sites/snotel_snowbird_ut.csv,7fffbfb6e060635c0c5d46835c108022e0386baa94d96e7dabb667b932691992,11946,1989,2025,37,DIAGNOSTIC_ONLY,previously consumed by EB-04S/04T and now used to design mechanisms/operators
