sim_day_index,partition,prior_status,corrected_status,prior_runoff_m,corrected_runoff_m,prior_peakro_m_s,corrected_peakro_m_s,prior_flux_ratio,corrected_flux_ratio
19,clean_to_clean,clean,clean,2.27013821423265351e-02,1.36999814007716467e-02,6.95367053165127554e-07,6.86821532643149897e-07,3.27071968353668152e-04,3.11596524705850305e-04
20,clean_to_clean,clean,clean,2.86750442344311969e-02,2.86652734294227524e-02,5.39964921021267868e-07,5.39794125005384032e-07,2.34021087518918340e-03,2.33327738119640292e-03
21,clean_to_clean,clean,clean,3.82153613146946555e-02,3.82059397324824926e-02,1.25794440045025410e-06,1.25764687562689282e-06,1.95448420772195735e-04,1.95447932296259088e-04
22,clean_to_clean,clean,clean,5.26963771046727938e-02,5.26762818484613274e-02,1.90851871770064580e-06,1.90781193037951994e-06,3.83018689475329594e-03,3.83086058297949297e-03
23,absent_to_refused,absent,refused,,1.95598635147935448e-02,,8.57645198858584046e-07,,5.16991293933150974e-03
24,clean_to_clean,clean,clean,1.95998490388958682e-02,1.95998490388958682e-02,1.71388438671658386e-06,1.16491310604163226e-06,3.93957960259001729e-03,1.95147088177114136e-04
25,refused_to_refused,refused,refused,1.57840350994908132e-02,1.57840350994905322e-02,1.04562526458757463e-06,6.41158665086736154e-07,9.86632703569465148e-03,9.05604327727876392e-03
26,clean_to_clean,clean,clean,2.94528623076188711e-02,2.94528623076188711e-02,2.62344184073969132e-06,1.49520615478182367e-06,1.79088009062127802e-04,3.76781069639057749e-03
27,clean_to_clean,clean,clean,3.38165918678158331e-02,3.38165918678158331e-02,1.77085917460227853e-06,1.26830970440686237e-06,3.92776033001501681e-03,1.95463566214941492e-04
28,clean_to_refused,clean,refused,1.51632533414696753e-02,1.51632533414696753e-02,1.39017860509852819e-06,6.52109159550311642e-07,3.53023966929573094e-03,1.00916363512338139e-02
31,clean_to_clean,clean,clean,2.61670021915681207e-02,2.31202477402360253e-02,2.57147332797804923e-06,1.26361195556251915e-06,1.80127957321799909e-04,1.95457152514576959e-04
36,clean_to_absent,clean,absent,3.43436071425497202e-02,,2.08961334734634002e-06,,3.61708153065060621e-03,
37,clean_to_clean,clean,clean,1.74034917488799651e-02,1.74034917488799651e-02,1.06261029004140091e-06,8.40144241388799964e-07,1.94470064417080800e-04,4.72206025571607780e-03
45,clean_to_clean,clean,clean,2.74497899938159484e-02,2.51469217204873391e-02,2.19860212372055587e-06,1.36446297953233213e-06,1.86492611940586029e-04,1.95462313646201032e-04
46,refused_to_clean,refused,clean,1.50181725040041351e-02,1.89832544484234700e-02,8.80804352549978185e-07,1.08903024444577892e-06,5.77223055935372886e-03,1.94677212795531094e-04
89,clean_to_clean,clean,clean,3.58079613655164081e-02,3.63598990511205533e-02,2.31455960550668171e-06,1.82377851512248679e-06,1.84559209371640921e-04,3.89900697273821029e-03
90,clean_to_refused,clean,refused,2.53011642872740389e-02,2.40921842488614826e-02,1.50127300627948640e-06,1.02693867505396581e-06,3.77808132442709714e-03,9.44804629470210287e-03
266,clean_to_clean,clean,clean,9.77687961369179404e-03,9.77687961357112841e-03,2.81764649238200637e-06,2.81764649238062655e-06,1.75230413245677899e-04,1.75230413245439862e-04
