model,metric,hardwood_minus_open
B,total_hyetograph_precipitation_m,-0.031299999999994554
B,total_ground_snow_accumulation_m,0.14976478014650141
B,total_sublimation_m,0
B,total_snowpack_swe_loss_m,0.19136658711241772
B,total_longwave_energy_j_m2,0
B,total_latent_energy_j_m2,0
B,peak_swe_m,0.010019739956565687
B,peak_depth_m,0.020106478846920739
L,total_hyetograph_precipitation_m,-0.031299999999994554
L,total_ground_snow_accumulation_m,0.14976478014650141
L,total_sublimation_m,0
L,total_snowpack_swe_loss_m,0.19136658711241772
L,total_longwave_energy_j_m2,-4330069750.6377792
L,total_latent_energy_j_m2,0
L,peak_swe_m,0.010019739956565687
L,peak_depth_m,0.020106478846920739
S,total_hyetograph_precipitation_m,-0.00010000000000001674
S,total_ground_snow_accumulation_m,0.0027102787192194028
S,total_sublimation_m,0.0057074874659987819
S,total_snowpack_swe_loss_m,-0.0029719983548288781
S,total_longwave_energy_j_m2,0
S,total_latent_energy_j_m2,-16280353.990673892
S,peak_swe_m,2.8003298330289694e-05
S,peak_depth_m,0.052028657855490129
LS,total_hyetograph_precipitation_m,0
LS,total_ground_snow_accumulation_m,0.0003781452344717405
LS,total_sublimation_m,-0.0018154632225330799
LS,total_snowpack_swe_loss_m,0.0013001409876575408
LS,total_longwave_energy_j_m2,-8997313.2900166102
LS,total_latent_energy_j_m2,5136527.3967674058
LS,peak_swe_m,0.00070779389044592876
LS,peak_depth_m,0.0013559269931914184
