model,day_index,open_phase_model,hardwood_phase_model,open_precipitation_m,hardwood_precipitation_m,open_ground_accumulation_m,hardwood_ground_accumulation_m,precipitation_equal,accumulation_equal,phase_model_equal
B,0,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,1,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,2,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,3,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,4,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,5,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,6,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,7,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,8,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,9,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,10,harder_pomeroy_hourly,harder_pomeroy_hourly,0.02569999999999999,0.02569999999999999,0.01465701818164856,0.01503516022874501,True,False,True
B,11,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,12,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,13,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,14,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,15,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,16,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,17,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,18,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,19,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,20,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,21,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0025,0.0025,0.00249998956284359,0.00249999275021888,True,False,True
B,22,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,23,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,24,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,25,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,26,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,27,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,28,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,29,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,30,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,31,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,32,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,33,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,34,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,35,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,36,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
B,37,harder_pomeroy_hourly,harder_pomeroy_hourly,0.0,0.0,0.0,0.0,True,True,True
