block,order,arm,run,elapsed_ms,rss_kib,hwm_kib,smaps_rss_kib,private_clean_kib,private_dirty_kib,private_total_kib
1,AB,B,4,3,20392,20500,20956,19440,1632,21072
1,AB,B,4,38,24948,25448,25440,23468,3496,26964
1,AB,B,4,75,30276,30276,30276,23756,6512,30268
1,AB,B,4,112,31264,31368,31368,23756,7604,31360
1,AB,B,4,149,32028,32276,32028,23756,8264,32020
1,AB,B,4,186,32684,32684,32684,24268,8408,32676
1,AB,B,4,223,32684,32684,32684,24268,8408,32676
1,AB,B,4,260,32920,32920,32920,24268,8644,32912
1,AB,B,4,298,33200,33200,33200,24268,8924,33192
1,AB,B,4,336,33200,33200,33200,24268,8924,33192
1,AB,B,4,375,33404,33404,33404,24268,9132,33400
1,AB,B,4,413,33408,33408,33408,24268,9132,33400
1,AB,B,4,452,33408,33408,33408,24268,9132,33400
1,AB,B,4,490,33408,33408,33408,24268,9132,33400
1,AB,B,4,527,33408,33408,33408,24268,9132,33400
1,AB,B,4,565,33512,33512,33512,24268,9236,33504
1,AB,B,4,602,33512,33512,33512,24268,9236,33504
1,AB,B,4,638,33560,33560,33560,24268,9284,33552
1,AB,B,4,676,33560,33560,33560,24268,9288,33556
1,AB,B,4,714,33632,33632,33632,24268,9356,33624
1,AB,B,4,752,33728,33728,33728,24268,9452,33720
1,AB,B,4,789,33780,33780,33780,24268,9504,33772
1,AB,B,4,825,34052,34052,34052,24460,10168,34628
1,AB,B,4,863,34792,36336,34792,24460,10324,34784
1,AB,B,4,900,36048,36336,36048,24460,11580,36040
1,AB,B,4,937,36068,36336,36068,24460,11620,36080
1,AB,B,4,974,36088,36336,36088,24460,11620,36080
1,AB,B,4,1011,36768,36768,36768,24460,12304,36764
1,AB,B,4,1049,36816,36816,36816,24460,12348,36808
1,AB,B,4,1086,36816,36816,36816,24460,12348,36808
1,AB,B,4,1122,36816,36824,36824,24460,12356,36816
1,AB,B,4,1160,37076,37076,37076,24460,12608,37068
1,AB,B,4,1198,37076,37076,37076,24460,12608,37068
1,AB,B,4,1235,37076,37076,37076,24460,12608,37068
1,AB,B,4,1271,37144,37144,37144,24460,12676,37136
1,AB,B,4,1308,37144,37144,37144,24460,12676,37136
1,AB,B,4,1345,37144,37144,37144,24460,12676,37136
1,AB,B,4,1384,37248,37248,37248,24460,12780,37240
1,AB,B,4,1421,37248,37248,37248,24460,12780,37240
1,AB,B,4,1458,37452,37452,37452,24460,12984,37444
1,AB,B,4,1496,37452,37452,37452,24460,12984,37444
1,AB,B,4,1534,37508,37508,37508,24460,13040,37500
1,AB,B,4,1570,37508,37508,37508,24460,13072,37532
1,AB,B,4,1608,37540,37540,37540,24460,13072,37532
1,AB,B,4,1645,37576,37596,37596,24460,13128,37588
1,AB,B,4,1682,37644,37644,37644,24460,13208,37668
1,AB,B,4,1720,37676,37676,37676,24460,13224,37684
1,AB,B,4,1756,40352,40476,40476,24460,16008,40468
1,AB,B,4,1793,41948,41948,41948,24460,17480,41940
1,AB,B,4,1830,42028,42028,42028,24460,17560,42020
1,AB,B,4,1866,42028,42028,42028,24460,17560,42020
1,AB,B,4,1904,42028,42028,42028,24460,17560,42020
1,AB,B,4,1942,42028,42028,42028,24460,17560,42020
1,AB,B,4,1980,42028,42028,42028,24460,17560,42020
1,AB,B,4,2018,42028,42028,42028,24460,17560,42020
1,AB,B,4,2056,42028,42028,42028,24460,17560,42020
1,AB,B,4,2094,42028,42028,42028,24460,17560,42020
1,AB,B,4,2132,42028,42028,42028,24460,17560,42020
1,AB,B,4,2169,42032,42032,42032,24460,17564,42024
1,AB,B,4,2207,42032,42032,42032,24460,17564,42024
1,AB,B,4,2243,42032,42032,42032,24460,17564,42024
1,AB,B,4,2281,42032,42032,42032,24460,17564,42024
1,AB,B,4,2319,42032,42032,42032,24460,17564,42024
1,AB,B,4,2357,42032,42032,42032,24460,17564,42024
1,AB,B,4,2394,42032,42032,42032,24460,17564,42024
1,AB,B,4,2433,42032,42032,42032,24460,17564,42024
1,AB,B,4,2470,42032,42032,42032,24460,17564,42024
1,AB,B,4,2508,42032,42032,42032,24460,17564,42024
1,AB,B,4,2546,42032,42032,42032,24460,17564,42024
1,AB,B,4,2583,42032,42032,42032,24460,17564,42024
1,AB,B,4,2621,42032,42032,42032,24460,17564,42024
1,AB,B,4,2659,42112,42112,42792,24460,18976,43436
1,AB,B,4,2698,44084,44404,47280,24460,22812,47272
1,AB,B,4,2736,47292,47292,47292,24460,22824,47284
1,AB,B,4,2775,47292,47292,47292,24460,22824,47284
1,AB,B,4,2812,47292,47292,47292,24460,22824,47284
1,AB,B,4,2850,47292,47292,47292,24460,22824,47284
1,AB,B,4,2888,47292,47292,47292,24460,22824,47284
1,AB,B,4,2926,47292,47292,47292,24460,22824,47284
