year,project,archive,contact,type,plot,lat,long,obs.exp,treatment,treat.year,tract,transect,distance.m,size.class,count,d2q,a,dens,volume,mass
2013,phveg,hf271,barker.plotkin,Tsuga,1,42.53644986,-72.18105127,obs,NA,NA,prospect hill,1,3,1,4,0.000154,1.13,0.387,0.000286234,110.772518
2013,phveg,hf271,barker.plotkin,Tsuga,1,42.53644986,-72.18105127,obs,NA,NA,prospect hill,1,3,2,2,0.00189,1.13,0.389,0.001756435,683.253322
2013,phveg,hf271,barker.plotkin,Tsuga,1,42.53644986,-72.18105127,obs,NA,NA,prospect hill,2,3,1,5,0.000154,1.13,0.387,0.000357792,138.4656475
2013,phveg,hf271,barker.plotkin,Tsuga,1,42.53644986,-72.18105127,obs,NA,NA,prospect hill,2,3,2,2,0.00189,1.13,0.389,0.001756435,683.253322
2013,phveg,hf271,barker.plotkin,Tsuga,6,42.54582309,-72.1788506,obs,NA,NA,prospect hill,1,3,1,7,0.000154,1.13,0.387,0.000500909,193.8519065
2013,phveg,hf271,barker.plotkin,Tsuga,6,42.54582309,-72.1788506,obs,NA,NA,prospect hill,1,3,2,0,0.00189,1.13,0.389,0,0
2013,phveg,hf271,barker.plotkin,Tsuga,6,42.54582309,-72.1788506,obs,NA,NA,prospect hill,2,3,1,8,0.000154,1.13,0.387,0.000572468,221.545036
2013,phveg,hf271,barker.plotkin,Tsuga,6,42.54582309,-72.1788506,obs,NA,NA,prospect hill,2,3,2,0,0.00189,1.13,0.389,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,8,42.54390297,-72.17877349,obs,NA,NA,prospect hill,1,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,8,42.54390297,-72.17877349,obs,NA,NA,prospect hill,1,3,1,4,0.000172,1.11,0.39,0.000314032,122.4723162
2013,phveg,hf271,barker.plotkin,AcerBetula,8,42.54390297,-72.17877349,obs,NA,NA,prospect hill,2,3,2,4,0.001758,1.03,0.342,0.002978366,1018.601004
2013,phveg,hf271,barker.plotkin,AcerBetula,8,42.54390297,-72.17877349,obs,NA,NA,prospect hill,2,3,1,4,0.000172,1.11,0.39,0.000314032,122.4723162
2013,phveg,hf271,barker.plotkin,AcerBetula,9,42.54552,-72.16907856,obs,NA,NA,prospect hill,1,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,9,42.54552,-72.16907856,obs,NA,NA,prospect hill,1,3,1,7,0.000172,1.11,0.39,0.000549555,214.3265534
2013,phveg,hf271,barker.plotkin,AcerBetula,9,42.54552,-72.16907856,obs,NA,NA,prospect hill,2,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,9,42.54552,-72.16907856,obs,NA,NA,prospect hill,2,3,1,3,0.000172,1.11,0.39,0.000235524,91.85423715
2013,phveg,hf271,barker.plotkin,AcerBetula,13,42.547748,-72.16930563,obs,NA,NA,prospect hill,1,3,2,3,0.001758,1.03,0.342,0.002233774,763.9507533
2013,phveg,hf271,barker.plotkin,AcerBetula,13,42.547748,-72.16930563,obs,NA,NA,prospect hill,1,3,1,17,0.000172,1.11,0.39,0.001334634,520.5073439
2013,phveg,hf271,barker.plotkin,AcerBetula,13,42.547748,-72.16930563,obs,NA,NA,prospect hill,2,3,2,7,0.001758,1.03,0.342,0.00521214,1782.551758
2013,phveg,hf271,barker.plotkin,AcerBetula,13,42.547748,-72.16930563,obs,NA,NA,prospect hill,2,3,1,10,0.000172,1.11,0.39,0.000785079,306.1807905
2013,phveg,hf271,barker.plotkin,AcerBetula,14,42.54801387,-72.17019025,obs,NA,NA,prospect hill,1,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,14,42.54801387,-72.17019025,obs,NA,NA,prospect hill,1,3,1,9,0.000172,1.11,0.39,0.000706571,275.5627115
2013,phveg,hf271,barker.plotkin,AcerBetula,14,42.54801387,-72.17019025,obs,NA,NA,prospect hill,2,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,14,42.54801387,-72.17019025,obs,NA,NA,prospect hill,2,3,1,9,0.000172,1.11,0.39,0.000706571,275.5627115
2013,phveg,hf271,barker.plotkin,AcerBetula,15,42.53994025,-72.18996752,obs,NA,NA,prospect hill,1,3,2,4,0.001758,1.03,0.342,0.002978366,1018.601004
2013,phveg,hf271,barker.plotkin,AcerBetula,15,42.53994025,-72.18996752,obs,NA,NA,prospect hill,1,3,1,7,0.000172,1.11,0.39,0.000549555,214.3265534
2013,phveg,hf271,barker.plotkin,AcerBetula,15,42.53994025,-72.18996752,obs,NA,NA,prospect hill,2,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,15,42.53994025,-72.18996752,obs,NA,NA,prospect hill,2,3,1,4,0.000172,1.11,0.39,0.000314032,122.4723162
2013,phveg,hf271,barker.plotkin,AcerBetula,16,42.54766711,-72.17126573,obs,NA,NA,prospect hill,1,3,2,4,0.001758,1.03,0.342,0.002978366,1018.601004
2013,phveg,hf271,barker.plotkin,AcerBetula,16,42.54766711,-72.17126573,obs,NA,NA,prospect hill,1,3,1,12,0.000172,1.11,0.39,0.000942095,367.4169486
2013,phveg,hf271,barker.plotkin,AcerBetula,16,42.54766711,-72.17126573,obs,NA,NA,prospect hill,2,3,2,4,0.001758,1.03,0.342,0.002978366,1018.601004
2013,phveg,hf271,barker.plotkin,AcerBetula,16,42.54766711,-72.17126573,obs,NA,NA,prospect hill,2,3,1,10,0.000172,1.11,0.39,0.000785079,306.1807905
2013,phveg,hf271,barker.plotkin,AcerBetula,18,42.54793307,-72.1728987,obs,NA,NA,prospect hill,1,3,2,6,0.001758,1.03,0.342,0.004467548,1527.901507
2013,phveg,hf271,barker.plotkin,AcerBetula,18,42.54793307,-72.1728987,obs,NA,NA,prospect hill,1,3,1,19,0.000172,1.11,0.39,0.00149165,581.743502
2013,phveg,hf271,barker.plotkin,AcerBetula,18,42.54793307,-72.1728987,obs,NA,NA,prospect hill,2,3,2,0,0.001758,1.03,0.342,0,0
2013,phveg,hf271,barker.plotkin,AcerBetula,18,42.54793307,-72.1728987,obs,NA,NA,prospect hill,2,3,1,11,0.000172,1.11,0.39,0.000863587,336.7988696
2013,phveg,hf271,barker.plotkin,AcerBetula,19,42.54299923,-72.17889997,obs,NA,NA,prospect hill,1,3,2,2,0.001758,1.03,0.342,0.001489183,509.3005022
2013,phveg,hf271,barker.plotkin,AcerBetula,19,42.54299923,-72.17889997,obs,NA,NA,prospect hill,1,3,1,4,0.000172,1.11,0.39,0.000314032,122.4723162
2013,phveg,hf271,barker.plotkin,AcerBetula,19,42.54299923,-72.17889997,obs,NA,NA,prospect hill,2,3,2,2,0.001758,1.03,0.342,0.001489183,509.3005022
2013,phveg,hf271,barker.plotkin,AcerBetula,19,42.54299923,-72.17889997,obs,NA,NA,prospect hill,2,3,1,3,0.000172,1.11,0.39,0.000235524,91.85423715
2013,phveg,hf271,barker.plotkin,Pinus,24,42.55025569,-72.17102241,obs,NA,NA,prospect hill,1,3,1,7,0.000187,1.13,0.395,0.000611174,241.4138969
2013,phveg,hf271,barker.plotkin,Pinus,24,42.55025569,-72.17102241,obs,NA,NA,prospect hill,1,3,2,1,0.001656,1.13,0.397,0.000769486,305.4859142
2013,phveg,hf271,barker.plotkin,Pinus,24,42.55025569,-72.17102241,obs,NA,NA,prospect hill,2,3,1,6,0.000187,1.13,0.395,0.000523864,206.9261973
2013,phveg,hf271,barker.plotkin,Pinus,24,42.55025569,-72.17102241,obs,NA,NA,prospect hill,2,3,2,0,0.001656,1.13,0.397,0,0
2013,phveg,hf271,barker.plotkin,Pinus,26,42.55163862,-72.17022135,obs,NA,NA,prospect hill,1,3,1,12,0.000187,1.13,0.395,0.001047728,413.8523947
2013,phveg,hf271,barker.plotkin,Pinus,26,42.55163862,-72.17022135,obs,NA,NA,prospect hill,1,3,2,3,0.001656,1.13,0.397,0.002308458,916.4577426
2013,phveg,hf271,barker.plotkin,Pinus,26,42.55163862,-72.17022135,obs,NA,NA,prospect hill,2,3,1,7,0.000187,1.13,0.395,0.000611174,241.4138969
2013,phveg,hf271,barker.plotkin,Pinus,26,42.55163862,-72.17022135,obs,NA,NA,prospect hill,2,3,2,4,0.001656,1.13,0.397,0.003077944,1221.943657
2013,phveg,hf271,barker.plotkin,AcerBetula,27,42.55108844,-72.17114386,obs,NA,NA,prospect hill,1,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,27,42.55108844,-72.17114386,obs,NA,NA,prospect hill,1,3,1,6,0.000172,1.11,0.39,0.000471047,183.7084743
2013,phveg,hf271,barker.plotkin,AcerBetula,27,42.55108844,-72.17114386,obs,NA,NA,prospect hill,2,3,2,1,0.001758,1.03,0.342,0.000744591,254.6502511
2013,phveg,hf271,barker.plotkin,AcerBetula,27,42.55108844,-72.17114386,obs,NA,NA,prospect hill,2,3,1,10,0.000172,1.11,0.39,0.000785079,306.1807905
