Latitude: 43.950917  Longitude: -71.728739
X & Y on Lambert Conformal Conic: 2122666.36 516890.35
Tile: 11935
Elevation: 541 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),tmax (deg c),tmin (deg c),vp (Pa)
1989,1,31590.62,-5.28,-16.01,175.28
1989,2,31639.16,-2.39,-11.83,247.07
1989,3,31691.65,-3.69,-11.61,251.39
1989,4,31748.07,-14.51,-23.85,88.98
1989,5,31808.35,-13.60,-25.16,79.03
1989,6,31872.47,-9.34,-23.37,92.85
1989,7,31940.37,-3.42,-19.00,136.09
1989,8,32011.99,3.84,-9.27,302.79
1989,9,32087.29,-1.19,-7.97,335.29
1989,10,32166.22,-4.18,-14.54,198.17
1989,11,32248.70,-3.10,-14.75,194.68
1989,12,32334.70,0.96,-16.69,165.68
1989,13,32424.14,1.03,-13.85,209.65
1989,14,32516.97,3.36,-15.23,187.04
1989,15,32613.12,5.33,-7.99,334.68
1989,16,32712.53,0.03,-5.76,397.55
1989,17,32815.14,-1.99,-11.72,249.17
1989,18,32920.87,0.69,-8.59,319.55
1989,19,33029.66,1.38,-4.89,424.65
1989,20,33141.45,0.25,-7.66,343.40
1989,21,33256.17,-8.64,-21.23,112.22
1989,22,33373.74,-1.45,-21.61,108.51
1989,23,33494.10,4.85,-15.24,186.91
1989,24,33617.19,5.70,-12.59,232.41
1989,25,33742.93,-2.23,-13.82,210.11
1989,26,33871.25,-0.16,-16.38,169.96
1989,27,34002.08,-1.26,-10.54,273.88
1989,28,34135.36,2.54,-14.01,206.91
1989,29,34271.02,4.19,-9.69,292.90
1989,30,34408.99,2.82,-6.50,375.61
1989,31,34549.21,3.68,-5.53,404.64
1989,32,34691.60,11.04,-2.73,499.41
1989,33,34836.10,-0.18,-8.25,328.10
1989,34,34982.65,-4.24,-11.46,254.47
1989,35,35131.18,-10.99,-18.66,140.12
1989,36,35281.63,-7.74,-18.84,137.99
1989,37,35433.93,-4.38,-15.55,182.19
1989,38,35588.03,-3.71,-14.03,206.58
1989,39,35743.86,-4.81,-19.19,133.90
1989,40,35901.36,-10.05,-20.37,120.95
1989,41,36060.47,-6.96,-22.34,101.79
1989,42,36221.14,-3.64,-16.61,166.75
1989,43,36383.31,-1.71,-12.89,226.68
1989,44,36546.92,-2.80,-17.76,151.29
1989,45,36711.92,5.27,-11.24,259.11
1989,46,36878.26,0.86,-6.08,388.04
1989,47,37045.87,-1.88,-11.12,261.45
1989,48,37214.72,-11.26,-24.67,82.59
1989,49,37384.75,-9.55,-25.05,79.81
1989,50,37555.91,-4.14,-21.21,112.35
1989,51,37728.15,3.08,-15.44,183.90
1989,52,37901.43,4.58,-8.33,326.05
1989,53,38075.69,4.50,-2.72,499.92
1989,54,38250.91,-1.27,-8.23,328.50
1989,55,38427.02,-6.19,-16.34,170.55
1989,56,38604.00,-6.71,-15.21,187.38
1989,57,38781.79,-4.22,-19.46,130.82
1989,58,38960.36,-2.26,-15.30,185.98
1989,59,39139.66,0.07,-16.74,164.97
1989,60,39319.67,-0.91,-13.59,214.13
1989,61,39500.33,-5.54,-14.90,192.35
1989,62,39681.61,-3.83,-14.64,196.47
1989,63,39863.48,-3.58,-11.34,256.96
1989,64,40045.90,1.16,-9.05,308.26
1989,65,40228.84,-5.59,-15.02,190.40
1989,66,40412.25,-11.25,-25.06,79.75
1989,67,40596.12,-4.13,-23.47,92.01
1989,68,40780.40,0.59,-19.91,125.84
1989,69,40965.06,2.21,-15.50,182.96
1989,70,41150.08,4.06,-11.76,248.47
1989,71,41335.41,-0.40,-11.04,263.15
1989,72,41521.03,-0.15,-17.92,149.26
1989,73,41706.92,8.48,-10.29,279.37
1989,74,41893.03,14.49,-2.70,500.79
1989,75,42079.34,5.41,-3.50,471.73
1989,76,42265.82,3.20,-6.40,378.60
1989,77,42452.45,1.91,-5.47,406.56
1989,78,42639.19,-2.47,-10.64,271.78
1989,79,42826.01,1.23,-14.09,205.53
1989,80,43012.89,1.56,-9.13,306.13
1989,81,43199.80,-1.73,-13.32,219.03
1989,82,43386.70,3.65,-14.50,198.69
1989,83,43573.58,3.74,-9.21,304.18
1989,84,43760.41,8.43,-4.44,439.64
1989,85,43947.14,8.08,-1.33,554.07
1989,86,44133.77,16.70,-4.27,407.48
1989,87,44320.25,17.87,0.80,646.97
1989,88,44506.57,14.45,0.65,634.91
1989,89,44692.68,1.60,-3.06,487.50
1989,90,44878.56,1.76,-2.29,516.24
1989,91,45064.18,3.33,-3.29,479.03
1989,92,45249.52,7.42,-6.47,376.68
1989,93,45434.53,3.90,-3.25,480.53
1989,94,45619.20,6.08,-0.93,570.53
1989,95,45803.48,15.45,1.28,669.92
1989,96,45987.34,8.77,1.10,661.15
1989,97,46170.76,6.20,-0.99,568.06
1989,98,46353.70,4.60,-3.36,476.68
