date,year,doy,image_count,smooth_gcc_mean,smooth_ci_gcc_mean,smooth_gcc_90,smooth_ci_gcc_90,outlierflag_gcc_mean,outlierflag_gcc_90,int_flag
2024-01-01,2024,1,23,0.36387,0.0008,0.36878,0.00055,0,0,NA
2024-01-02,2024,2,21,0.36275,0.00085,0.36899,0.00058,0,0,NA
2024-01-03,2024,3,23,0.36229,0.00083,0.36927,0.00056,0,0,NA
2024-01-04,2024,4,0,0.36223,0.0009,0.36964,0.00061,0,0,NA
2024-01-05,2024,5,22,0.3635,0.00083,0.37021,0.00056,0,0,NA
2024-01-06,2024,6,22,0.36498,0.00085,0.3709,0.00058,0,0,NA
2024-01-07,2024,7,22,0.36587,0.0008,0.37181,0.00055,0,0,NA
2024-01-08,2024,8,23,0.36655,0.00075,0.37275,0.00051,0,0,NA
2024-01-09,2024,9,22,0.36701,0.00081,0.37361,0.00055,0,0,NA
2024-01-10,2024,10,22,0.36722,0.00076,0.37425,0.00052,0,0,NA
2024-01-11,2024,11,21,0.36724,0.00079,0.37465,0.00054,0,0,NA
2024-01-12,2024,12,22,0.36706,0.00079,0.37456,0.00054,0,0,NA
2024-01-13,2024,13,21,0.36636,0.00075,0.37418,0.00051,0,0,NA
2024-01-14,2024,14,23,0.36574,0.00079,0.37369,0.00054,0,0,NA
2024-01-15,2024,15,22,0.36606,0.00075,0.37326,0.00051,0,0,NA
2024-01-16,2024,16,21,0.36663,0.00079,0.37293,0.00054,0,0,NA
2024-01-17,2024,17,20,0.36755,0.00079,0.37306,0.00054,0,0,NA
2024-01-18,2024,18,22,0.36855,0.00075,0.37346,0.00051,0,0,NA
2024-01-19,2024,19,21,0.3694,0.00079,0.37387,0.00054,0,0,NA
2024-01-20,2024,20,22,0.36956,0.00075,0.37403,0.00051,0,0,NA
2024-01-21,2024,21,22,0.36917,0.00079,0.37398,0.00054,0,0,NA
2024-01-22,2024,22,23,0.36784,0.00079,0.3734,0.00054,0,0,NA
2024-01-23,2024,23,22,0.36612,0.00075,0.3726,0.00051,0,0,NA
2024-01-24,2024,24,21,0.36439,0.00079,0.37176,0.00054,0,0,NA
2024-01-25,2024,25,22,0.36303,0.00075,0.37117,0.00051,0,0,NA
2024-01-26,2024,26,14,0.36206,0.00079,0.37068,0.00054,0,0,NA
2024-01-27,2024,27,20,0.36246,0.00079,0.3705,0.00054,0,0,NA
2024-01-28,2024,28,22,0.36315,0.00076,0.37039,0.00052,0,0,NA
2024-01-29,2024,29,22,0.36398,0.00081,0.37028,0.00055,0,0,NA
2024-01-30,2024,30,22,0.36451,0.00082,0.37005,0.00055,0,0,NA
2024-01-31,2024,31,23,0.36488,0.00084,0.36974,0.00057,0,0,NA
2024-02-01,2024,32,23,0.36489,0.00089,0.36925,0.0006,0,0,NA
2024-02-02,2024,33,21,0.36482,0.00103,0.36917,0.0007,0,0,NA
2024-02-03,2024,34,0,0.36472,0.00121,0.36928,0.00082,0,0,NA
2024-02-04,2024,35,0,0.36466,0.00111,0.37034,0.00075,0,0,NA
2024-02-05,2024,36,0,0.36463,0.00121,0.37139,0.00082,0,0,NA
2024-02-06,2024,37,23,0.36451,0.00104,0.37147,0.00071,0,0,NA
2024-02-07,2024,38,23,0.36479,0.00086,0.3712,0.00058,0,0,NA
2024-02-08,2024,39,23,0.36518,0.00084,0.37068,0.00057,0,0,NA
2024-02-09,2024,40,19,0.36567,0.00082,0.37058,0.00055,0,0,NA
2024-02-10,2024,41,22,0.36611,0.00081,0.37067,0.00055,0,0,NA
2024-02-11,2024,42,22,0.36641,0.00079,0.37082,0.00054,0,0,NA
2024-02-12,2024,43,23,0.36666,0.00075,0.37094,0.00051,0,0,NA
2024-02-13,2024,44,22,0.36677,0.00079,0.37102,0.00054,0,0,NA
2024-02-14,2024,45,23,0.36661,0.00075,0.37085,0.00051,0,0,NA
2024-02-15,2024,46,23,0.3663,0.00079,0.37058,0.00054,0,0,NA
2024-02-16,2024,47,20,0.36596,0.00079,0.3702,0.00054,0,0,NA
2024-02-17,2024,48,22,0.36527,0.00075,0.36992,0.00051,0,0,NA
2024-02-18,2024,49,22,0.36455,0.00079,0.36964,0.00054,0,0,NA
2024-02-19,2024,50,21,0.36412,0.00075,0.36935,0.00051,0,0,NA
2024-02-20,2024,51,23,0.36388,0.00079,0.36906,0.00054,0,0,NA
2024-02-21,2024,52,20,0.36423,0.00079,0.36887,0.00054,0,0,NA
2024-02-22,2024,53,23,0.36451,0.00075,0.3687,0.00051,0,0,NA
2024-02-23,2024,54,21,0.3647,0.00079,0.36854,0.00054,0,0,NA
2024-02-24,2024,55,21,0.36435,0.00075,0.36829,0.00051,0,0,NA
2024-02-25,2024,56,21,0.364,0.00079,0.36809,0.00054,0,0,NA
2024-02-26,2024,57,22,0.3639,0.00079,0.36809,0.00054,0,0,NA
2024-02-27,2024,58,22,0.36394,0.00075,0.36808,0.00051,0,0,NA
2024-02-28,2024,59,21,0.364,0.00079,0.36807,0.00054,0,0,NA
2024-02-29,2024,60,20,0.36417,0.00079,0.36803,0.00054,0,0,NA
2024-03-01,2024,61,21,0.36388,0.00076,0.36795,0.00052,0,0,NA
2024-03-02,2024,62,21,0.36355,0.0008,0.36783,0.00054,0,0,NA
2024-03-03,2024,63,20,0.36334,0.0008,0.36754,0.00055,0,0,NA
2024-03-04,2024,64,20,0.36346,0.00081,0.36725,0.00055,0,0,NA
2024-03-05,2024,65,20,0.36367,0.00089,0.36701,0.0006,0,0,NA
2024-03-06,2024,66,0,0.36388,0.00084,0.36694,0.00057,0,0,NA
2024-03-07,2024,67,20,0.36402,0.00089,0.36692,0.0006,0,0,NA
2024-03-08,2024,68,19,0.36386,0.00085,0.36698,0.00058,0,0,NA
2024-03-09,2024,69,21,0.36353,0.00077,0.36697,0.00052,0,0,NA
2024-03-10,2024,70,20,0.36313,0.0008,0.36691,0.00054,0,0,NA
2024-03-11,2024,71,20,0.36268,0.00076,0.36658,0.00052,0,0,NA
2024-03-12,2024,72,21,0.3622,0.00079,0.36616,0.00054,0,0,NA
2024-03-13,2024,73,21,0.36181,0.00079,0.36574,0.00054,0,0,NA
2024-03-14,2024,74,20,0.36153,0.00075,0.36541,0.00051,0,0,NA
2024-03-15,2024,75,21,0.36128,0.00079,0.36511,0.00054,0,0,NA
2024-03-16,2024,76,21,0.36097,0.00075,0.36489,0.00051,0,0,NA
2024-03-17,2024,77,20,0.36069,0.00079,0.36473,0.00054,0,0,NA
2024-03-18,2024,78,21,0.36052,0.00079,0.36471,0.00054,0,0,NA
2024-03-19,2024,79,20,0.36037,0.00075,0.36466,0.00051,0,0,NA
2024-03-20,2024,80,21,0.36025,0.00079,0.36459,0.00054,0,0,NA
2024-03-21,2024,81,21,0.36022,0.00075,0.36448,0.00051,0,0,NA
2024-03-22,2024,82,19,0.36019,0.00079,0.36433,0.00054,0,0,NA
2024-03-23,2024,83,21,0.36005,0.00079,0.36408,0.00054,0,0,NA
2024-03-24,2024,84,21,0.35994,0.00075,0.36378,0.00051,0,0,NA
2024-03-25,2024,85,17,0.35985,0.00079,0.36347,0.00054,0,0,NA
2024-03-26,2024,86,18,0.35971,0.00075,0.36313,0.00051,0,0,NA
2024-03-27,2024,87,21,0.35958,0.00079,0.36281,0.00054,0,0,NA
2024-03-28,2024,88,20,0.35949,0.00079,0.36251,0.00054,0,0,NA
2024-03-29,2024,89,20,0.35954,0.00075,0.36239,0.00051,0,0,NA
2024-03-30,2024,90,19,0.35962,0.00079,0.36235,0.00054,0,0,NA
2024-03-31,2024,91,19,0.35968,0.00079,0.36234,0.00054,0,0,NA
2024-04-01,2024,92,20,0.35977,0.00084,0.36238,0.00057,0,0,NA
2024-04-02,2024,93,20,0.35992,0.00084,0.36246,0.00057,0,0,NA
2024-04-03,2024,94,19,0.36005,0.00086,0.36262,0.00058,0,0,NA
2024-04-04,2024,95,19,0.36015,0.00104,0.36276,0.00071,0,0,NA
2024-04-05,2024,96,0,0.36028,0.0011,0.36297,0.00075,0,0,NA
2024-04-06,2024,97,0,0.36038,0.00129,0.36314,0.00088,0,0,NA
2024-04-07,2024,98,0,0.3601,0.00121,0.36286,0.00082,0,0,NA
2024-04-08,2024,99,20,0.36008,0.00103,0.36291,0.0007,0,0,NA
2024-04-09,2024,100,20,0.36006,0.00089,0.36295,0.0006,0,0,NA
2024-04-10,2024,101,20,0.36009,0.00077,0.36297,0.00052,0,0,NA
2024-04-11,2024,102,18,0.36015,0.00084,0.36298,0.00057,0,0,NA
2024-04-12,2024,103,19,0.36023,0.00081,0.36298,0.00055,0,0,NA
2024-04-13,2024,104,19,0.36016,0.00076,0.36275,0.00052,0,0,NA
2024-04-14,2024,105,17,0.36008,0.00079,0.36247,0.00054,0,0,NA
2024-04-15,2024,106,20,0.36004,0.00075,0.36225,0.00051,0,0,NA
2024-04-16,2024,107,20,0.36004,0.00079,0.36211,0.00054,0,0,NA
2024-04-17,2024,108,19,0.36014,0.00079,0.36226,0.00054,0,0,NA
2024-04-18,2024,109,19,0.36027,0.00075,0.36251,0.00051,0,0,NA
2024-04-19,2024,110,20,0.36035,0.00079,0.36273,0.00054,0,0,NA
2024-04-20,2024,111,20,0.36023,0.00076,0.36268,0.00052,0,0,NA
2024-04-21,2024,112,19,0.35999,0.0008,0.3625,0.00054,0,0,NA
2024-04-22,2024,113,20,0.35955,0.0008,0.362,0.00055,0,0,NA
2024-04-23,2024,114,19,0.35919,0.00081,0.36161,0.00055,0,0,NA
2024-04-24,2024,115,17,0.35885,0.00089,0.36122,0.0006,0,0,NA
2024-04-25,2024,116,0,0.35852,0.00084,0.36092,0.00057,0,0,NA
2024-04-26,2024,117,20,0.35824,0.00089,0.36064,0.0006,0,0,NA
2024-04-27,2024,118,20,0.3581,0.00085,0.36037,0.00058,0,0,NA
2024-04-28,2024,119,19,0.35816,0.00077,0.36027,0.00052,0,0,NA
2024-04-29,2024,120,19,0.35826,0.0008,0.36018,0.00054,0,0,NA
2024-04-30,2024,121,20,0.35831,0.00076,0.36006,0.00052,0,0,NA
2024-05-01,2024,122,18,0.3583,0.00079,0.3599,0.00054,0,0,NA
2024-05-02,2024,123,18,0.35814,0.00081,0.35963,0.00055,0,0,NA
2024-05-03,2024,124,18,0.35777,0.00082,0.35919,0.00055,0,0,NA
2024-05-04,2024,125,19,0.35736,0.00084,0.35878,0.00057,0,0,NA
2024-05-05,2024,126,19,0.3571,0.00086,0.35862,0.00058,0,0,NA
2024-05-06,2024,127,19,0.35691,0.00104,0.35846,0.00071,0,0,NA
